prior_name,effect_prior_sd,base_model,condition,rating,n_observed,observed_proportion,predicted_mean,predicted_median,predicted_l95,predicted_u95,observed_within_predictive_95,absolute_difference
primary,1.5,gemma3,CONTEXT,1,150,0,0.003660000000000001,0,0,0.02,TRUE,0
primary,1.5,gemma3,CONTEXT,2,150,0,0.002933333333333331,0,0,0.02,TRUE,0
primary,1.5,gemma3,CONTEXT,3,150,1,0.9873133333333334,0.9866666666666667,0.96,1,TRUE,0.013333333333333308
primary,1.5,gemma3,CONTEXT,4,150,0,0.006093333333333333,0.006666666666666667,0,0.02666666666666667,TRUE,0.006666666666666667
primary,1.5,gemma3,ZEROSHOT,1,150,0,0.005506666666666668,0,0,0.02666666666666667,TRUE,0
primary,1.5,gemma3,ZEROSHOT,2,150,0,0.004033333333333334,0,0,0.02,TRUE,0
primary,1.5,gemma3,ZEROSHOT,3,150,1,0.9867133333333333,0.9866666666666667,0.96,1,TRUE,0.013333333333333308
primary,1.5,gemma3,ZEROSHOT,4,150,0,0.003746666666666668,0,0,0.02,TRUE,0
primary,1.5,llama,CONTEXT,1,150,0.02666666666666667,0.018473333333333335,0.013333333333333334,0,0.04666666666666667,TRUE,0.013333333333333334
primary,1.5,llama,CONTEXT,2,150,0.06666666666666667,0.08279333333333333,0.08,0.03333333333333333,0.14016666666666652,TRUE,0.013333333333333336
primary,1.5,llama,CONTEXT,3,150,0.6466666666666666,0.6323866666666667,0.6333333333333333,0.5398333333333334,0.7266666666666667,TRUE,0.013333333333333308
primary,1.5,llama,CONTEXT,4,150,0.26,0.2663466666666667,0.26666666666666666,0.16666666666666666,0.36666666666666664,TRUE,0.006666666666666654
primary,1.5,llama,ZEROSHOT,1,150,0.04666666666666667,0.05786,0.05333333333333334,0.013333333333333334,0.11333333333333333,TRUE,0.006666666666666668
primary,1.5,llama,ZEROSHOT,2,150,0.22666666666666666,0.21175333333333332,0.21333333333333335,0.13333333333333333,0.30666666666666664,TRUE,0.013333333333333308
primary,1.5,llama,ZEROSHOT,3,150,0.6266666666666667,0.6305866666666666,0.6333333333333333,0.5333333333333333,0.7266666666666667,TRUE,0.006666666666666599
primary,1.5,llama,ZEROSHOT,4,150,0.1,0.0998,0.09333333333333334,0.04,0.16666666666666666,TRUE,0.006666666666666668
primary,1.5,mistral,CONTEXT,1,150,0,0.004206666666666668,0,0,0.02666666666666667,TRUE,0
primary,1.5,mistral,CONTEXT,2,150,0,0.0029333333333333325,0,0,0.02,TRUE,0
primary,1.5,mistral,CONTEXT,3,150,1,0.9863466666666667,0.9866666666666667,0.9533333333333334,1,TRUE,0.013333333333333308
primary,1.5,mistral,CONTEXT,4,150,0,0.0065133333333333345,0.006666666666666667,0,0.02666666666666667,TRUE,0.006666666666666667
primary,1.5,mistral,ZEROSHOT,1,150,0,0.005433333333333334,0.0033333333333333335,0,0.02,TRUE,0.0033333333333333335
primary,1.5,mistral,ZEROSHOT,2,150,0,0.004126666666666667,0,0,0.02,TRUE,0
primary,1.5,mistral,ZEROSHOT,3,150,1,0.98658,0.9866666666666667,0.96,1,TRUE,0.013333333333333308
primary,1.5,mistral,ZEROSHOT,4,150,0,0.0038599999999999993,0,0,0.02,TRUE,0
primary,1.5,phi4,CONTEXT,1,150,0,0.011340000000000001,0.006666666666666667,0,0.04,TRUE,0.006666666666666667
primary,1.5,phi4,CONTEXT,2,150,0,0.006946666666666668,0.006666666666666667,0,0.03333333333333333,TRUE,0.006666666666666667
primary,1.5,phi4,CONTEXT,3,150,1,0.9572466666666667,0.96,0.9131666666666667,0.9933333333333333,FALSE,0.040000000000000036
primary,1.5,phi4,CONTEXT,4,150,0,0.024466666666666668,0.02,0,0.06666666666666667,TRUE,0.02
primary,1.5,phi4,ZEROSHOT,1,150,0,0.0015466666666666658,0,0,0.013333333333333334,TRUE,0
primary,1.5,phi4,ZEROSHOT,2,150,0,0.0012666666666666672,0,0,0.013333333333333334,TRUE,0
primary,1.5,phi4,ZEROSHOT,3,150,0.8333333333333334,0.8520133333333333,0.8533333333333334,0.7733333333333333,0.92,TRUE,0.020000000000000018
primary,1.5,phi4,ZEROSHOT,4,150,0.16666666666666666,0.14517333333333332,0.14666666666666667,0.08,0.22666666666666666,TRUE,0.01999999999999999
