variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
"b_Intercept[gemma3,1]",-5.496243061594176,-5.412532960735948,0.8839279824298502,0.8746272831238135,-7.069565400779178,-4.2032756787282155,0.9998788461492986,6436.648099128277,4914.297750801524
"b_Intercept[gemma3,2]",-4.820386524797233,-4.779655525626494,0.6859470940094133,0.680202357718509,-6.018767913808404,-3.7704323654756196,1.0002746396442006,8201.135853190317,6181.493908019099
"b_Intercept[gemma3,3]",5.914911176577512,5.849163591017489,0.9408850091639013,0.9314010603745865,4.491799960179476,7.571805645589344,1.00009246954516,8853.914405893016,6203.91916949084
"b_Intercept[llama,1]",-2.8299181649140017,-2.815361992129559,0.3098556493821797,0.3056870378514579,-3.365219268761767,-2.3382969733394483,1.0005358838208138,5401.765044585249,4553.006597735326
"b_Intercept[llama,2]",-1.0109661902495153,-1.0095000696939012,0.1705300093406889,0.17246909242484243,-1.2935579669051267,-0.73715561495563,0.9997907275615255,10747.144136145424,7101.630781382814
"b_Intercept[llama,3]",2.2217694362844074,2.218113180477024,0.2194247301656061,0.22015696458487052,1.8687398068522403,2.5861572683523093,1.0007162968716676,7402.297556800939,6596.92571866974
"b_Intercept[mistral,1]",-5.478898197942682,-5.40398821787498,0.8599181073823287,0.8439381413931103,-6.982620486627368,-4.211978165031798,1.0004662798145565,6661.221307236695,5633.857025147657
"b_Intercept[mistral,2]",-4.806281665870608,-4.769461219011598,0.6669409995699347,0.6699997648116034,-5.947196229782914,-3.7775229549816522,1.0009996088158062,7946.101210550696,6118.916246524104
"b_Intercept[mistral,3]",5.926963593882802,5.846020583581447,0.9345766291627575,0.9214173962080721,4.553300979543409,7.590436783538989,1.0006172382635627,9191.25672767939,6134.056308481023
"b_Intercept[phi4,1]",-6.66261714551997,-6.603615485521691,0.8120762313120881,0.782757811141342,-8.088777764203968,-5.434896426112885,1.0002269782564146,5335.585259078192,5180.52825497554
"b_Intercept[phi4,2]",-6.1097143760474415,-6.078221044396747,0.6717521137046977,0.6647320762079438,-7.253054345573784,-5.0527403230799575,0.9998491499160774,5807.957397662713,5744.681770356763
"b_Intercept[phi4,3]",1.7942987105772261,1.7892473432615534,0.2322587369965264,0.2277757044041903,1.4190013810689919,2.186998542159924,1.0021368871758252,8304.904914565517,5857.97138800298
b_base_modelgemma3:context_indicator,0.4126135182458104,0.406750547739406,0.8474172029931928,0.833285825060551,-0.9725580973737991,1.7869585507621326,1.0001920816145993,8012.019239401922,5481.387245462601
b_base_modelllama:context_indicator,1.1831497615355837,1.1798012967565255,0.24708012138099156,0.24394359611400543,0.7707813415654856,1.5902340005949305,1.0003455163213602,7898.6326577166265,6047.017638217791
b_base_modelmistral:context_indicator,0.42386932354617435,0.4080552880329972,0.8361236443387681,0.819153846810564,-0.9198659542383191,1.8426363594539625,1.0004236264235562,8403.585071824504,5251.015413530449
b_base_modelphi4:context_indicator,-1.9964114547738376,-1.9736320002252707,0.5075897917726017,0.4957386846914622,-2.8694319358762326,-1.1927043658058236,1.0002206517217254,7452.248890072113,5837.336830945032
disc,1,1,0,0,1,1,NA,NA,NA
Intercept_1[1],-5.496243061594176,-5.412532960735948,0.8839279824298502,0.8746272831238135,-7.069565400779178,-4.2032756787282155,0.9998788461492986,6436.648099128277,4914.297750801524
Intercept_1[2],-4.820386524797233,-4.779655525626494,0.6859470940094133,0.680202357718509,-6.018767913808404,-3.7704323654756196,1.0002746396442006,8201.135853190317,6181.493908019099
Intercept_1[3],5.914911176577512,5.849163591017489,0.9408850091639013,0.9314010603745865,4.491799960179476,7.571805645589344,1.00009246954516,8853.914405893016,6203.91916949084
Intercept_2[1],-2.8299181649140017,-2.815361992129559,0.3098556493821797,0.3056870378514579,-3.365219268761767,-2.3382969733394483,1.0005358838208138,5401.765044585249,4553.006597735326
Intercept_2[2],-1.0109661902495153,-1.0095000696939012,0.1705300093406889,0.17246909242484243,-1.2935579669051267,-0.73715561495563,0.9997907275615255,10747.144136145424,7101.630781382814
Intercept_2[3],2.2217694362844074,2.218113180477024,0.2194247301656061,0.22015696458487052,1.8687398068522403,2.5861572683523093,1.0007162968716676,7402.297556800939,6596.92571866974
Intercept_3[1],-5.478898197942682,-5.40398821787498,0.8599181073823287,0.8439381413931103,-6.982620486627368,-4.211978165031798,1.0004662798145565,6661.221307236695,5633.857025147657
Intercept_3[2],-4.806281665870608,-4.769461219011598,0.6669409995699347,0.6699997648116034,-5.947196229782914,-3.7775229549816522,1.0009996088158062,7946.101210550696,6118.916246524104
Intercept_3[3],5.926963593882802,5.846020583581447,0.9345766291627575,0.9214173962080721,4.553300979543409,7.590436783538989,1.0006172382635627,9191.25672767939,6134.056308481023
Intercept_4[1],-6.66261714551997,-6.603615485521691,0.8120762313120881,0.782757811141342,-8.088777764203968,-5.434896426112885,1.0002269782564146,5335.585259078192,5180.52825497554
Intercept_4[2],-6.1097143760474415,-6.078221044396747,0.6717521137046977,0.6647320762079438,-7.253054345573784,-5.0527403230799575,0.9998491499160774,5807.957397662713,5744.681770356763
Intercept_4[3],1.7942987105772261,1.7892473432615534,0.2322587369965264,0.2277757044041903,1.4190013810689919,2.186998542159924,1.0021368871758252,8304.904914565517,5857.97138800298
lprior,-61.442380550388165,-61.233810527852015,4.1022574888003325,4.00173794167691,-68.50758261332395,-55.111862259181095,1.0006773944361111,5748.029170921015,5411.979793616305
lp__,-428.91281628781127,-428.5707854394409,2.9291514195005393,2.8378927486902543,-434.1806933829344,-424.74240122307987,1.0001943176585375,3464.2604016735545,4883.376738938342
