prior_name,effect_prior_sd,base_model,condition,rating,n_observed,observed_proportion,predicted_mean,predicted_median,predicted_l95,predicted_u95,observed_within_predictive_95,absolute_difference
regularizing,0.75,gemma3,CONTEXT,1,150,0,0.004373333333333332,0,0,0.02666666666666667,TRUE,0
regularizing,0.75,gemma3,CONTEXT,2,150,0,0.003273333333333335,0,0,0.02,TRUE,0
regularizing,0.75,gemma3,CONTEXT,3,150,1,0.9869533333333333,0.9866666666666667,0.96,1,TRUE,0.013333333333333308
regularizing,0.75,gemma3,CONTEXT,4,150,0,0.0054,0,0,0.02666666666666667,TRUE,0
regularizing,0.75,gemma3,ZEROSHOT,1,150,0,0.005573333333333335,0.006666666666666667,0,0.02666666666666667,TRUE,0.006666666666666667
regularizing,0.75,gemma3,ZEROSHOT,2,150,0,0.0037733333333333325,0,0,0.02,TRUE,0
regularizing,0.75,gemma3,ZEROSHOT,3,150,1,0.9863866666666666,0.9866666666666667,0.96,1,TRUE,0.013333333333333308
regularizing,0.75,gemma3,ZEROSHOT,4,150,0,0.004266666666666668,0,0,0.02,TRUE,0
regularizing,0.75,llama,CONTEXT,1,150,0.02666666666666667,0.019906666666666666,0.02,0,0.04666666666666667,TRUE,0.006666666666666668
regularizing,0.75,llama,CONTEXT,2,150,0.06666666666666667,0.08722,0.08666666666666667,0.04,0.14666666666666667,TRUE,0.020000000000000004
regularizing,0.75,llama,CONTEXT,3,150,0.6466666666666666,0.6347333333333334,0.6333333333333333,0.5398333333333334,0.7266666666666667,TRUE,0.013333333333333308
regularizing,0.75,llama,CONTEXT,4,150,0.26,0.25814,0.25333333333333335,0.16666666666666666,0.3534999999999998,TRUE,0.006666666666666654
regularizing,0.75,llama,ZEROSHOT,1,150,0.04666666666666667,0.057326666666666665,0.05333333333333334,0.013333333333333334,0.11333333333333333,TRUE,0.006666666666666668
regularizing,0.75,llama,ZEROSHOT,2,150,0.22666666666666666,0.20682,0.20666666666666667,0.12666666666666668,0.29349999999999987,TRUE,0.01999999999999999
regularizing,0.75,llama,ZEROSHOT,3,150,0.6266666666666667,0.6311466666666666,0.6333333333333333,0.5398333333333334,0.7268333333333332,TRUE,0.006666666666666599
regularizing,0.75,llama,ZEROSHOT,4,150,0.1,0.10470666666666667,0.1,0.04666666666666667,0.17333333333333334,TRUE,0
regularizing,0.75,mistral,CONTEXT,1,150,0,0.0047399999999999986,0,0,0.020166666666666513,TRUE,0
regularizing,0.75,mistral,CONTEXT,2,150,0,0.0032066666666666667,0,0,0.02,TRUE,0
regularizing,0.75,mistral,CONTEXT,3,150,1,0.9865866666666666,0.9866666666666667,0.96,1,TRUE,0.013333333333333308
regularizing,0.75,mistral,CONTEXT,4,150,0,0.0054666666666666665,0,0,0.02666666666666667,TRUE,0
regularizing,0.75,mistral,ZEROSHOT,1,150,0,0.005113333333333333,0,0,0.02666666666666667,TRUE,0
regularizing,0.75,mistral,ZEROSHOT,2,150,0,0.0036066666666666677,0,0,0.02,TRUE,0
regularizing,0.75,mistral,ZEROSHOT,3,150,1,0.98682,0.9866666666666667,0.96,1,TRUE,0.013333333333333308
regularizing,0.75,mistral,ZEROSHOT,4,150,0,0.00446,0,0,0.02,TRUE,0
regularizing,0.75,phi4,CONTEXT,1,150,0,0.009659999999999998,0.006666666666666667,0,0.03349999999999985,TRUE,0.006666666666666667
regularizing,0.75,phi4,CONTEXT,2,150,0,0.006353333333333335,0,0,0.026833333333333185,TRUE,0
regularizing,0.75,phi4,CONTEXT,3,150,1,0.9494,0.9533333333333334,0.9,0.9866666666666667,FALSE,0.046666666666666634
regularizing,0.75,phi4,CONTEXT,4,150,0,0.03458666666666667,0.03333333333333333,0.006666666666666667,0.08,FALSE,0.03333333333333333
regularizing,0.75,phi4,ZEROSHOT,1,150,0,0.002179999999999999,0,0,0.013333333333333334,TRUE,0
regularizing,0.75,phi4,ZEROSHOT,2,150,0,0.0013666666666666662,0,0,0.013333333333333334,TRUE,0
regularizing,0.75,phi4,ZEROSHOT,3,150,0.8333333333333334,0.86198,0.8666666666666667,0.7866666666666666,0.9333333333333333,TRUE,0.033333333333333326
regularizing,0.75,phi4,ZEROSHOT,4,150,0.16666666666666666,0.13447333333333333,0.13333333333333333,0.06666666666666667,0.21333333333333335,TRUE,0.033333333333333326
