variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
"b_Intercept[gemma3,1]",-5.514963631889935,-5.440362932225531,0.8532752503019371,0.820380060317945,-7.00804677518563,-4.2721233789243485,1.000880185034666,6013.536760451027,5403.822696118718
"b_Intercept[gemma3,2]",-4.859557380464011,-4.823974823196311,0.6478949268221756,0.6391215247365725,-5.995004278364001,-3.868509876379155,0.9998680030789419,7755.074330315827,6506.876202889648
"b_Intercept[gemma3,3]",5.797663251380952,5.714886312225872,0.8745114950784432,0.8585751659873896,4.49198808260819,7.361489247586118,0.9998865452830892,10311.8259096546,6091.849168182508
"b_Intercept[llama,1]",-2.8631196501775182,-2.849644159812755,0.31776449529298484,0.3112606742541858,-3.4164972141126064,-2.369868642606651,1.000269214607777,5522.2251801791035,4664.297600700468
"b_Intercept[llama,2]",-1.0412917164852056,-1.0390250100400178,0.17109795231641275,0.1733899345682908,-1.3225677197708232,-0.7619571192075919,0.9998980000394619,9990.492084954678,6966.314295925829
"b_Intercept[llama,3]",2.1660974681714684,2.1608607718920827,0.21453771874436742,0.2178886424407737,1.8245349303040908,2.5259464022252205,1.0000358616180314,7835.157936042949,6274.461317209354
"b_Intercept[mistral,1]",-5.510377882975376,-5.443223459875645,0.8361696662417558,0.8185849200971634,-6.9781516328393565,-4.276411772400441,1.0002514846353745,6440.2001007480485,5189.272792437259
"b_Intercept[mistral,2]",-4.8575476273402955,-4.8113031419397725,0.6383804583458121,0.6256845125893499,-5.995649678314413,-3.892760994718019,1.0002540235705843,7971.514139721216,6691.269633453273
"b_Intercept[mistral,3]",5.779946932308692,5.69776629884796,0.8845254096383516,0.8487996806503239,4.475427566389765,7.367780160520409,1.000945149017167,10359.491863161888,6812.337615968313
"b_Intercept[phi4,1]",-6.376844883831554,-6.311437672439508,0.8039784647152981,0.7709246033663758,-7.796123306603209,-5.191459379240742,1.0008456155056065,4917.168377773461,4881.659845541145
"b_Intercept[phi4,2]",-5.786223656853634,-5.753462993610638,0.628231930461157,0.6189677913521586,-6.86600894031425,-4.815963536904083,1.0003569705613444,5943.083217246268,5375.175550432019
"b_Intercept[phi4,3]",1.881147349287254,1.876875200741901,0.22566264250442486,0.2238937512231501,1.5105856830590905,2.259594505671729,1.0001804708722632,8862.5139984207,5862.699797602867
b_base_modelgemma3:context_indicator,0.21477168021362048,0.20882331792221615,0.5875170825516682,0.5787331109548499,-0.7536919222278677,1.1881795995126379,0.9999965589693635,8657.03268555732,6357.362967924018
b_base_modelllama:context_indicator,1.0918072481587515,1.0917035709754686,0.2367883906615895,0.23579660910391853,0.7065644007963824,1.4789399931562404,0.9998233525000145,8667.066258741832,6071.824940806562
b_base_modelmistral:context_indicator,0.21206969682534982,0.21380672021724642,0.5994228462675388,0.60091068366312,-0.7672756203016089,1.1926264830362991,0.9999200604433423,9480.99565797117,5742.562160602032
b_base_modelphi4:context_indicator,-1.5212895073921244,-1.5130572258036563,0.40459332734539327,0.3963135455648326,-2.190011276328004,-0.8671153177614822,1.0000548052521716,8449.285361738685,5961.057839439393
disc,1,1,0,0,1,1,NA,NA,NA
Intercept_1[1],-5.514963631889935,-5.440362932225531,0.8532752503019371,0.820380060317945,-7.00804677518563,-4.2721233789243485,1.000880185034666,6013.536760451027,5403.822696118718
Intercept_1[2],-4.859557380464011,-4.823974823196311,0.6478949268221756,0.6391215247365725,-5.995004278364001,-3.868509876379155,0.9998680030789419,7755.074330315827,6506.876202889648
Intercept_1[3],5.797663251380952,5.714886312225872,0.8745114950784432,0.8585751659873896,4.49198808260819,7.361489247586118,0.9998865452830892,10311.8259096546,6091.849168182508
Intercept_2[1],-2.8631196501775182,-2.849644159812755,0.31776449529298484,0.3112606742541858,-3.4164972141126064,-2.369868642606651,1.000269214607777,5522.2251801791035,4664.297600700468
Intercept_2[2],-1.0412917164852056,-1.0390250100400178,0.17109795231641275,0.1733899345682908,-1.3225677197708232,-0.7619571192075919,0.9998980000394619,9990.492084954678,6966.314295925829
Intercept_2[3],2.1660974681714684,2.1608607718920827,0.21453771874436742,0.2178886424407737,1.8245349303040908,2.5259464022252205,1.0000358616180314,7835.157936042949,6274.461317209354
Intercept_3[1],-5.510377882975376,-5.443223459875645,0.8361696662417558,0.8185849200971634,-6.9781516328393565,-4.276411772400441,1.0002514846353745,6440.2001007480485,5189.272792437259
Intercept_3[2],-4.8575476273402955,-4.8113031419397725,0.6383804583458121,0.6256845125893499,-5.995649678314413,-3.892760994718019,1.0002540235705843,7971.514139721216,6691.269633453273
Intercept_3[3],5.779946932308692,5.69776629884796,0.8845254096383516,0.8487996806503239,4.475427566389765,7.367780160520409,1.000945149017167,10359.491863161888,6812.337615968313
Intercept_4[1],-6.376844883831554,-6.311437672439508,0.8039784647152981,0.7709246033663758,-7.796123306603209,-5.191459379240742,1.0008456155056065,4917.168377773461,4881.659845541145
Intercept_4[2],-5.786223656853634,-5.753462993610638,0.628231930461157,0.6189677913521586,-6.86600894031425,-4.815963536904083,1.0003569705613444,5943.083217246268,5375.175550432019
Intercept_4[3],1.881147349287254,1.876875200741901,0.22566264250442486,0.2238937512231501,1.5105856830590905,2.259594505671729,1.0001804708722632,8862.5139984207,5862.699797602867
lprior,-59.85639604108345,-59.63741857852018,4.229943530425215,4.208347102738079,-67.22138823253233,-53.403424468689444,0.9999773181952655,5395.725835921983,5414.432828427639
lp__,-428.99962618611414,-428.6589690548159,2.8526425032495175,2.7350196860466363,-434.0901046260419,-424.91981659385567,1.001216458839647,3356.7928177710273,5177.058791804383
