prior_name,effect_prior_sd,base_model,comparison,threshold_structure,log_odds_median,log_odds_l95,log_odds_u95,OR_median,OR_l95,OR_u95,posterior_probability_OR_gt_1,posterior_probability_OR_lt_1,conclusion
regularizing,0.75,gemma3,CONTEXT vs ZEROSHOT,base-model-specific,0.20882331792221615,-0.9388402526118227,1.3629815202126156,1.232227268568498,0.3910811317475894,3.9078299671763923,0.64525,0.35475,uncertain
primary,1.5,gemma3,CONTEXT vs ZEROSHOT,base-model-specific,0.406750547739406,-1.2322806201811751,2.1159293404481243,1.5019294105694845,0.2916267417200552,8.297293195366485,0.68725,0.31275,uncertain
weak,2.5,gemma3,CONTEXT vs ZEROSHOT,base-model-specific,0.5208886317998382,-1.238243234258052,2.4584329135643532,1.6835230209059264,0.2898930452490677,11.68648415378128,0.720125,0.279875,uncertain
regularizing,0.75,llama,CONTEXT vs ZEROSHOT,base-model-specific,1.0917035709754686,0.6327934441189664,1.5555767456115275,2.9793452781391823,1.8828629182071295,4.737818260260132,1,0,higher in Context
primary,1.5,llama,CONTEXT vs ZEROSHOT,base-model-specific,1.1798012967565255,0.7058184655266796,1.6746136138674965,3.253727612561394,2.0255038122724214,5.336732711137684,1,0,higher in Context
weak,2.5,llama,CONTEXT vs ZEROSHOT,base-model-specific,1.202583988137891,0.7180212593024637,1.6976879426354647,3.328707159812968,2.050372042846423,5.461305935913201,1,0,higher in Context
regularizing,0.75,mistral,CONTEXT vs ZEROSHOT,base-model-specific,0.21380672021724642,-0.956454900278963,1.3855794529418126,1.2383832776570198,0.38425272074207506,3.997141399977889,0.636125,0.363875,uncertain
primary,1.5,mistral,CONTEXT vs ZEROSHOT,base-model-specific,0.4080552880329972,-1.1846846199939502,2.1449670813892556,1.5038904249538865,0.30584262093925796,8.541761541679774,0.690875,0.309125,uncertain
weak,2.5,mistral,CONTEXT vs ZEROSHOT,base-model-specific,0.5297408808062053,-1.2902606812203326,2.5173525068845803,1.6984921912848336,0.2751990413630917,12.395735578202839,0.716,0.284,uncertain
regularizing,0.75,phi4,CONTEXT vs ZEROSHOT,base-model-specific,-1.5130572258036563,-2.3362768245707484,-0.7479306245787094,0.22023563805854424,0.09668695158148922,0.47334507448795987,0,1,lower in Context
primary,1.5,phi4,CONTEXT vs ZEROSHOT,base-model-specific,-1.9736320002252707,-3.05533682539292,-1.061012712017913,0.13895127000210453,0.047106852156827805,0.34610512832578233,0,1,lower in Context
weak,2.5,phi4,CONTEXT vs ZEROSHOT,base-model-specific,-2.1433415381457985,-3.285737629833366,-1.1653242513820201,0.11726235266409937,0.03741298234985405,0.31182153752702324,0,1,lower in Context
