prior_name,effect_prior_sd,base_model,condition,rating,n_observed,observed_proportion,predicted_mean,predicted_median,predicted_l95,predicted_u95,observed_within_predictive_95,absolute_difference
weak,2.5,gemma3,CONTEXT,1,150,0,0.0036466666666666674,0,0,0.02,TRUE,0
weak,2.5,gemma3,CONTEXT,2,150,0,0.002506666666666667,0,0,0.02,TRUE,0
weak,2.5,gemma3,CONTEXT,3,150,1,0.9878,0.9933333333333333,0.96,1,TRUE,0.00666666666666671
weak,2.5,gemma3,CONTEXT,4,150,0,0.0060466666666666655,0,0,0.026833333333333185,TRUE,0
weak,2.5,gemma3,ZEROSHOT,1,150,0,0.005746666666666667,0.006666666666666667,0,0.02666666666666667,TRUE,0.006666666666666667
weak,2.5,gemma3,ZEROSHOT,2,150,0,0.004146666666666667,0,0,0.020166666666666513,TRUE,0
weak,2.5,gemma3,ZEROSHOT,3,150,1,0.9864666666666667,0.9866666666666667,0.96,1,TRUE,0.013333333333333308
weak,2.5,gemma3,ZEROSHOT,4,150,0,0.0036400000000000004,0,0,0.02,TRUE,0
weak,2.5,llama,CONTEXT,1,150,0.02666666666666667,0.01818,0.013333333333333334,0,0.04666666666666667,TRUE,0.013333333333333334
weak,2.5,llama,CONTEXT,2,150,0.06666666666666667,0.08188666666666666,0.08,0.03333333333333333,0.14,TRUE,0.013333333333333336
weak,2.5,llama,CONTEXT,3,150,0.6466666666666666,0.6358,0.6333333333333333,0.54,0.7266666666666667,TRUE,0.013333333333333308
weak,2.5,llama,CONTEXT,4,150,0.26,0.26413333333333333,0.26,0.18,0.36666666666666664,TRUE,0
weak,2.5,llama,ZEROSHOT,1,150,0.04666666666666667,0.05803333333333333,0.05333333333333334,0.013333333333333334,0.11333333333333333,TRUE,0.006666666666666668
weak,2.5,llama,ZEROSHOT,2,150,0.22666666666666666,0.21099333333333334,0.20666666666666667,0.12666666666666668,0.30666666666666664,TRUE,0.01999999999999999
weak,2.5,llama,ZEROSHOT,3,150,0.6266666666666667,0.6320266666666666,0.6333333333333333,0.5333333333333333,0.7266666666666667,TRUE,0.006666666666666599
weak,2.5,llama,ZEROSHOT,4,150,0.1,0.09894666666666667,0.1,0.04,0.16666666666666666,TRUE,0
weak,2.5,mistral,CONTEXT,1,150,0,0.0035466666666666663,0,0,0.02,TRUE,0
weak,2.5,mistral,CONTEXT,2,150,0,0.0027466666666666664,0,0,0.02,TRUE,0
weak,2.5,mistral,CONTEXT,3,150,1,0.9872333333333333,0.9866666666666667,0.9666666666666667,1,TRUE,0.013333333333333308
weak,2.5,mistral,CONTEXT,4,150,0,0.006473333333333334,0.006666666666666667,0,0.02666666666666667,TRUE,0.006666666666666667
weak,2.5,mistral,ZEROSHOT,1,150,0,0.005926666666666668,0.006666666666666667,0,0.02666666666666667,TRUE,0.006666666666666667
weak,2.5,mistral,ZEROSHOT,2,150,0,0.004146666666666667,0,0,0.02666666666666667,TRUE,0
weak,2.5,mistral,ZEROSHOT,3,150,1,0.98626,0.9866666666666667,0.96,1,TRUE,0.013333333333333308
weak,2.5,mistral,ZEROSHOT,4,150,0,0.0036666666666666683,0,0,0.02,TRUE,0
weak,2.5,phi4,CONTEXT,1,150,0,0.012066666666666667,0.006666666666666667,0,0.04,TRUE,0.006666666666666667
weak,2.5,phi4,CONTEXT,2,150,0,0.007046666666666666,0.006666666666666667,0,0.03333333333333333,TRUE,0.006666666666666667
weak,2.5,phi4,CONTEXT,3,150,1,0.9596,0.96,0.9133333333333333,0.9933333333333333,FALSE,0.040000000000000036
weak,2.5,phi4,CONTEXT,4,150,0,0.02128666666666667,0.02,0,0.06,TRUE,0.02
weak,2.5,phi4,ZEROSHOT,1,150,0,0.001473333333333334,0,0,0.013333333333333334,TRUE,0
weak,2.5,phi4,ZEROSHOT,2,150,0,8.600000000000005e-4,0,0,0.006666666666666667,TRUE,0
weak,2.5,phi4,ZEROSHOT,3,150,0.8333333333333334,0.8485266666666667,0.8533333333333334,0.76,0.9266666666666666,TRUE,0.020000000000000018
weak,2.5,phi4,ZEROSHOT,4,150,0.16666666666666666,0.14914,0.14666666666666667,0.07333333333333333,0.23333333333333334,TRUE,0.01999999999999999
