variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
"b_Intercept[gemma3,1]",-5.471403903962161,-5.391309231282514,0.8808914798166575,0.8489407800453336,-7.038246799601619,-4.163989086696681,0.9999186887586413,5350.714923652751,4985.048970032744
"b_Intercept[gemma3,2]",-4.796418412272545,-4.749942729188793,0.6824953920685041,0.6795345431821825,-5.995453322863755,-3.7557706247630116,1.000153426324062,7713.6983056600575,5537.330964965023
"b_Intercept[gemma3,3]",6.001482699383003,5.926408993757827,0.9739325799693251,0.9745398228409496,4.5481526353412045,7.725799960367994,1.0000020681340296,7913.315120615995,5680.051724532446
"b_Intercept[llama,1]",-2.822411748362447,-2.8091328822082238,0.3162194003348487,0.31326847836207783,-3.3656237115647736,-2.323879013911122,1.002001028466825,6128.999360270126,4940.206907251675
"b_Intercept[llama,2]",-1.0049002316201456,-1.0036279039905525,0.17338798117184193,0.17464713708228397,-1.2952095924885918,-0.7190169575670865,1.0001272839117235,9916.909804022844,6563.502439648884
"b_Intercept[llama,3]",2.2362391056479267,2.2294361326739818,0.2263992045793739,0.22882338991048498,1.8755392439363543,2.619631777366981,1.0000749830241746,7775.710862551777,6352.89624484588
"b_Intercept[mistral,1]",-5.474070229505907,-5.403045431104774,0.8908307894257338,0.8594733590577872,-7.067088525806183,-4.168603718339498,1.0002322514111177,6401.14820479744,5139.235531053289
"b_Intercept[mistral,2]",-4.795559715210939,-4.746826927831182,0.6994111488018511,0.6964610872916795,-6.0232285799500636,-3.7344384066609044,1.0003676468053193,7981.744459040858,6310.528725956157
"b_Intercept[mistral,3]",6.005997007267131,5.9248994565504285,0.9920120975078911,0.974872161135957,4.496867790915832,7.774261919130291,1.0007674549605192,7969.443689293008,6020.929953234595
"b_Intercept[phi4,1]",-6.802513367392341,-6.7479292020844035,0.8253804610979958,0.8086539019241652,-8.239447186228395,-5.551590140938304,1.00066983319166,4240.827492959378,3825.914864039811
"b_Intercept[phi4,2]",-6.252511500156496,-6.226130391772067,0.6900350308845361,0.6849109967368311,-7.420157436083311,-5.160691531465773,1.0011497504294302,4963.241627183604,5182.915653925473
"b_Intercept[phi4,3]",1.77181080441429,1.7704552597245686,0.2295323763102584,0.2334400554438494,1.4021476315710832,2.1461105848161246,0.999830248765417,8768.699061330459,6111.103508744799
b_base_modelgemma3:context_indicator,0.549285652559998,0.5208886317998382,0.9385138701844109,0.9076016128439309,-0.9628283288636458,2.1718777168668097,0.9999486105426618,7061.67465758315,5279.871101759797
b_base_modelllama:context_indicator,1.2050499205239513,1.202583988137891,0.25169351896621983,0.2517101202576958,0.8013677185456107,1.6165343124110887,1.0000370139022496,8694.73099971836,6234.477770199359
b_base_modelmistral:context_indicator,0.5490068256483006,0.5297408808062053,0.9582511774560962,0.9380641069488649,-0.980101672909389,2.161947638930743,1.0005667564542997,6323.342002624761,5979.98838719466
b_base_modelphi4:context_indicator,-2.1645998803249844,-2.1433415381457985,0.54723694496902,0.546621304548482,-3.0898319337075537,-1.3048087736484797,1.0002962985665766,6513.573345586129,6074.4389523587715
disc,1,1,0,0,1,1,NA,NA,NA
Intercept_1[1],-5.471403903962161,-5.391309231282514,0.8808914798166575,0.8489407800453336,-7.038246799601619,-4.163989086696681,0.9999186887586413,5350.714923652751,4985.048970032744
Intercept_1[2],-4.796418412272545,-4.749942729188793,0.6824953920685041,0.6795345431821825,-5.995453322863755,-3.7557706247630116,1.000153426324062,7713.6983056600575,5537.330964965023
Intercept_1[3],6.001482699383003,5.926408993757827,0.9739325799693251,0.9745398228409496,4.5481526353412045,7.725799960367994,1.0000020681340296,7913.315120615995,5680.051724532446
Intercept_2[1],-2.822411748362447,-2.8091328822082238,0.3162194003348487,0.31326847836207783,-3.3656237115647736,-2.323879013911122,1.002001028466825,6128.999360270126,4940.206907251675
Intercept_2[2],-1.0049002316201456,-1.0036279039905525,0.17338798117184193,0.17464713708228397,-1.2952095924885918,-0.7190169575670865,1.0001272839117235,9916.909804022844,6563.502439648884
Intercept_2[3],2.2362391056479267,2.2294361326739818,0.2263992045793739,0.22882338991048498,1.8755392439363543,2.619631777366981,1.0000749830241746,7775.710862551777,6352.89624484588
Intercept_3[1],-5.474070229505907,-5.403045431104774,0.8908307894257338,0.8594733590577872,-7.067088525806183,-4.168603718339498,1.0002322514111177,6401.14820479744,5139.235531053289
Intercept_3[2],-4.795559715210939,-4.746826927831182,0.6994111488018511,0.6964610872916795,-6.0232285799500636,-3.7344384066609044,1.0003676468053193,7981.744459040858,6310.528725956157
Intercept_3[3],6.005997007267131,5.9248994565504285,0.9920120975078911,0.974872161135957,4.496867790915832,7.774261919130291,1.0007674549605192,7969.443689293008,6020.929953234595
Intercept_4[1],-6.802513367392341,-6.7479292020844035,0.8253804610979958,0.8086539019241652,-8.239447186228395,-5.551590140938304,1.00066983319166,4240.827492959378,3825.914864039811
Intercept_4[2],-6.252511500156496,-6.226130391772067,0.6900350308845361,0.6849109967368311,-7.420157436083311,-5.160691531465773,1.0011497504294302,4963.241627183604,5182.915653925473
Intercept_4[3],1.77181080441429,1.7704552597245686,0.2295323763102584,0.2334400554438494,1.4021476315710832,2.1461105848161246,0.999830248765417,8768.699061330459,6111.103508744799
lprior,-63.188928400252415,-62.98206151317793,4.016170942747152,4.036647655946398,-70.19425371666718,-56.9785344959811,1.0009661970765147,5356.2602041168175,5401.908040500453
lp__,-430.1222401416538,-429.8000894574604,2.8911447545391677,2.8200557940240034,-435.3359160608373,-425.9870334260536,1.0007949537158465,3439.9626214829145,5368.215989286703
