base_model,dc_solution,condition,rating,n_observed,observed_proportion,predicted_mean,predicted_median,predicted_l95,predicted_u95,observed_within_predictive_95,absolute_difference
gemma3,DC connectors,CONTEXT,2,150,0,0.017493333333333333,0.013333333333333334,0,0.05333333333333334,TRUE,0.013333333333333334
gemma3,DC connectors,CONTEXT,3,150,1,0.9497933333333334,0.9533333333333334,0.8933333333333333,0.9866666666666667,FALSE,0.046666666666666634
gemma3,DC connectors,CONTEXT,4,150,0,0.03271333333333334,0.03333333333333333,0.006666666666666667,0.07333333333333333,FALSE,0.03333333333333333
gemma3,DC connectors,ZEROSHOT,2,150,0,4.666666666666659e-5,0,0,0,TRUE,0
gemma3,DC connectors,ZEROSHOT,3,150,0.04666666666666667,0.0849,0.08,0.03333333333333333,0.15333333333333332,TRUE,0.03333333333333333
gemma3,DC connectors,ZEROSHOT,4,150,0.9533333333333334,0.9150533333333334,0.92,0.8466666666666667,0.9666666666666667,TRUE,0.033333333333333326
gemma3,DC measurement device,CONTEXT,2,150,0,0.01372,0.013333333333333334,0,0.04,TRUE,0.013333333333333334
gemma3,DC measurement device,CONTEXT,3,150,0.64,0.60446,0.6066666666666667,0.4866666666666667,0.7133333333333334,TRUE,0.033333333333333326
gemma3,DC measurement device,CONTEXT,4,150,0.36,0.38182,0.38,0.2731666666666666,0.5066666666666667,TRUE,0.020000000000000018
gemma3,DC measurement device,ZEROSHOT,2,150,0,2.533333333333327e-4,0,0,0.006666666666666667,TRUE,0
gemma3,DC measurement device,ZEROSHOT,3,150,0,0.030293333333333335,0.02666666666666667,0,0.07333333333333333,TRUE,0.02666666666666667
gemma3,DC measurement device,ZEROSHOT,4,150,1,0.9694533333333334,0.9733333333333334,0.9266666666666666,1,TRUE,0.026666666666666616
gemma3,DC solution design tool,CONTEXT,2,150,0,0.002573333333333331,0,0,0.02,TRUE,0
gemma3,DC solution design tool,CONTEXT,3,150,0,0.0019266666666666664,0,0,0.013333333333333334,TRUE,0
gemma3,DC solution design tool,CONTEXT,4,150,1,0.9954999999999999,1,0.98,1,TRUE,0
gemma3,DC solution design tool,ZEROSHOT,2,150,0,0.006953333333333334,0.006666666666666667,0,0.02666666666666667,TRUE,0.006666666666666667
gemma3,DC solution design tool,ZEROSHOT,3,150,0,0.005373333333333332,0,0,0.02666666666666667,TRUE,0
gemma3,DC solution design tool,ZEROSHOT,4,150,1,0.9876733333333333,0.9933333333333333,0.96,1,TRUE,0.00666666666666671
gemma3,DC-DC converter,CONTEXT,2,150,0,0.017233333333333333,0.013333333333333334,0,0.05333333333333334,TRUE,0.013333333333333334
gemma3,DC-DC converter,CONTEXT,3,150,1,0.9452533333333333,0.9466666666666667,0.8866666666666667,0.9866666666666667,FALSE,0.053333333333333344
gemma3,DC-DC converter,CONTEXT,4,150,0,0.037513333333333336,0.03333333333333333,0.006666666666666667,0.08666666666666667,FALSE,0.03333333333333333
gemma3,DC-DC converter,ZEROSHOT,2,150,0,1.3333333333333357e-5,0,0,0,TRUE,0
gemma3,DC-DC converter,ZEROSHOT,3,150,0,0.043133333333333336,0.04,0.006666666666666667,0.09333333333333334,FALSE,0.04
gemma3,DC-DC converter,ZEROSHOT,4,150,1,0.9568533333333333,0.96,0.9066666666666666,0.9933333333333333,FALSE,0.040000000000000036
gemma3,LVAC-LVDC interlink converter,CONTEXT,2,150,0,0.014006666666666667,0.013333333333333334,0,0.04666666666666667,TRUE,0.013333333333333334
gemma3,LVAC-LVDC interlink converter,CONTEXT,3,150,1,0.9594933333333333,0.96,0.9066666666666666,0.9933333333333333,FALSE,0.040000000000000036
gemma3,LVAC-LVDC interlink converter,CONTEXT,4,150,0,0.026500000000000003,0.02,0,0.07333333333333333,TRUE,0.02
gemma3,LVAC-LVDC interlink converter,ZEROSHOT,2,150,0,2.0666666666666685e-4,0,0,0.006666666666666667,TRUE,0
gemma3,LVAC-LVDC interlink converter,ZEROSHOT,3,150,0.3333333333333333,0.3629266666666667,0.3633333333333333,0.25333333333333335,0.4666666666666667,TRUE,0.02999999999999997
gemma3,LVAC-LVDC interlink converter,ZEROSHOT,4,150,0.6666666666666666,0.6368666666666667,0.6333333333333333,0.5333333333333333,0.7466666666666667,TRUE,0.033333333333333326
gemma3,Network design tool for DC solutions,CONTEXT,2,150,0,0.004346666666666668,0,0,0.02,TRUE,0
gemma3,Network design tool for DC solutions,CONTEXT,3,150,0.24666666666666667,0.24292666666666668,0.24,0.15333333333333332,0.3468333333333332,TRUE,0.006666666666666682
gemma3,Network design tool for DC solutions,CONTEXT,4,150,0.7533333333333333,0.7527266666666667,0.7533333333333333,0.6466666666666666,0.84,TRUE,0
gemma3,Network design tool for DC solutions,ZEROSHOT,2,150,0,0.005220000000000001,0,0,0.02,TRUE,0
gemma3,Network design tool for DC solutions,ZEROSHOT,3,150,0.26,0.2672733333333333,0.26666666666666666,0.16666666666666666,0.36666666666666664,TRUE,0.006666666666666654
gemma3,Network design tool for DC solutions,ZEROSHOT,4,150,0.74,0.7275066666666666,0.7266666666666667,0.6266666666666667,0.8266666666666667,TRUE,0.013333333333333308
gemma3,Protection DC system design tool,CONTEXT,2,150,0,7.999999999999983e-5,0,0,0,TRUE,0
gemma3,Protection DC system design tool,CONTEXT,3,150,0,0.013613333333333333,0.013333333333333334,0,0.04666666666666667,TRUE,0.013333333333333334
gemma3,Protection DC system design tool,CONTEXT,4,150,1,0.9863066666666667,0.9866666666666667,0.9533333333333334,1,TRUE,0.013333333333333308
gemma3,Protection DC system design tool,ZEROSHOT,2,150,0,0.008486666666666667,0.006666666666666667,0,0.03333333333333333,TRUE,0.006666666666666667
gemma3,Protection DC system design tool,ZEROSHOT,3,150,0.5733333333333334,0.5559333333333333,0.5533333333333333,0.44,0.66,TRUE,0.020000000000000018
gemma3,Protection DC system design tool,ZEROSHOT,4,150,0.4266666666666667,0.43558,0.43333333333333335,0.3333333333333333,0.5466666666666666,TRUE,0.006666666666666654
gemma3,Semiconductor-based circuit breaker,CONTEXT,2,150,0,0.002386666666666667,0,0,0.02,TRUE,0
gemma3,Semiconductor-based circuit breaker,CONTEXT,3,150,0,0.001966666666666667,0,0,0.013333333333333334,TRUE,0
gemma3,Semiconductor-based circuit breaker,CONTEXT,4,150,1,0.9956466666666667,1,0.98,1,TRUE,0
gemma3,Semiconductor-based circuit breaker,ZEROSHOT,2,150,0,0.00678,0.006666666666666667,0,0.02666666666666667,TRUE,0.006666666666666667
gemma3,Semiconductor-based circuit breaker,ZEROSHOT,3,150,0,0.0053933333333333324,0,0,0.02666666666666667,TRUE,0
gemma3,Semiconductor-based circuit breaker,ZEROSHOT,4,150,1,0.9878266666666666,0.9933333333333333,0.96,1,TRUE,0.00666666666666671
gemma3,Smart and sustainable DC cables,CONTEXT,2,150,0,4.53333333333333e-4,0,0,0.006666666666666667,TRUE,0
gemma3,Smart and sustainable DC cables,CONTEXT,3,150,0,0.008726666666666669,0.006666666666666667,0,0.03333333333333333,TRUE,0.006666666666666667
gemma3,Smart and sustainable DC cables,CONTEXT,4,150,1,0.99082,0.9933333333333333,0.9664999999999999,1,TRUE,0.00666666666666671
gemma3,Smart and sustainable DC cables,ZEROSHOT,2,150,0,0.008320000000000001,0.006666666666666667,0,0.03333333333333333,TRUE,0.006666666666666667
gemma3,Smart and sustainable DC cables,ZEROSHOT,3,150,0.15333333333333332,0.14716,0.14666666666666667,0.07333333333333333,0.23333333333333334,TRUE,0.006666666666666654
gemma3,Smart and sustainable DC cables,ZEROSHOT,4,150,0.8466666666666667,0.84452,0.8466666666666667,0.76,0.9133333333333333,TRUE,0
gemma3,Solid-state circuit breaker,CONTEXT,2,150,0,0.0020933333333333338,0,0,0.013333333333333334,TRUE,0
