base_solution,base_model,dc_solution
gemma3__DC connectors,gemma3,DC connectors
gemma3__DC measurement device,gemma3,DC measurement device
gemma3__DC solution design tool,gemma3,DC solution design tool
gemma3__DC-DC converter,gemma3,DC-DC converter
gemma3__LVAC-LVDC interlink converter,gemma3,LVAC-LVDC interlink converter
gemma3__Network design tool for DC solutions,gemma3,Network design tool for DC solutions
gemma3__Protection DC system design tool,gemma3,Protection DC system design tool
gemma3__Semiconductor-based circuit breaker,gemma3,Semiconductor-based circuit breaker
gemma3__Smart and sustainable DC cables,gemma3,Smart and sustainable DC cables
gemma3__Solid-state circuit breaker,gemma3,Solid-state circuit breaker
gemma3__Static protection system,gemma3,Static protection system
llama__DC connectors,llama,DC connectors
llama__DC measurement device,llama,DC measurement device
llama__DC solution design tool,llama,DC solution design tool
llama__DC-DC converter,llama,DC-DC converter
llama__LVAC-LVDC interlink converter,llama,LVAC-LVDC interlink converter
llama__Network design tool for DC solutions,llama,Network design tool for DC solutions
llama__Protection DC system design tool,llama,Protection DC system design tool
llama__Semiconductor-based circuit breaker,llama,Semiconductor-based circuit breaker
llama__Smart and sustainable DC cables,llama,Smart and sustainable DC cables
llama__Solid-state circuit breaker,llama,Solid-state circuit breaker
llama__Static protection system,llama,Static protection system
mistral__DC connectors,mistral,DC connectors
mistral__DC measurement device,mistral,DC measurement device
mistral__DC solution design tool,mistral,DC solution design tool
mistral__DC-DC converter,mistral,DC-DC converter
mistral__LVAC-LVDC interlink converter,mistral,LVAC-LVDC interlink converter
mistral__Network design tool for DC solutions,mistral,Network design tool for DC solutions
mistral__Protection DC system design tool,mistral,Protection DC system design tool
mistral__Semiconductor-based circuit breaker,mistral,Semiconductor-based circuit breaker
mistral__Smart and sustainable DC cables,mistral,Smart and sustainable DC cables
mistral__Solid-state circuit breaker,mistral,Solid-state circuit breaker
mistral__Static protection system,mistral,Static protection system
phi4__DC connectors,phi4,DC connectors
phi4__DC measurement device,phi4,DC measurement device
phi4__DC solution design tool,phi4,DC solution design tool
phi4__DC-DC converter,phi4,DC-DC converter
phi4__LVAC-LVDC interlink converter,phi4,LVAC-LVDC interlink converter
phi4__Network design tool for DC solutions,phi4,Network design tool for DC solutions
phi4__Protection DC system design tool,phi4,Protection DC system design tool
phi4__Semiconductor-based circuit breaker,phi4,Semiconductor-based circuit breaker
phi4__Smart and sustainable DC cables,phi4,Smart and sustainable DC cables
phi4__Solid-state circuit breaker,phi4,Solid-state circuit breaker
phi4__Static protection system,phi4,Static protection system
