variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
"b_Intercept[gemma3__DCconnectors,1]",-10.129152400220109,-10.092064191691152,0.773067224559718,0.7590351181025823,-11.454727354113233,-8.924510034690675,1.00018722360577,8528.242051078567,5936.798625030425
"b_Intercept[gemma3__DCconnectors,2]",-2.41145104499113,-2.3981299103431613,0.2910042226716466,0.2950428098726001,-2.9068928388365998,-1.9506785353159022,1.000486987516463,8969.982709791095,6170.391454949287
"b_Intercept[llama__DCconnectors,1]",-4.56300318349247,-4.50760742789602,0.6968569774895271,0.6900423883408774,-5.791144958843768,-3.5346926399836054,1.0005722555838645,10867.068448257487,5873.255877474939
"b_Intercept[llama__DCconnectors,2]",3.0003648300172032,2.98722245809553,0.3574210803109734,0.35356269836737614,2.438211136765948,3.611381690025567,1.0005562840949878,13183.721572140732,6352.440335675757
"b_Intercept[mistral__DCconnectors,1]",-5.982227631419345,-5.91753674053775,0.9104094926176262,0.896809517016887,-7.599275068619386,-4.613014820668959,1.000129930461152,9652.612502343245,5254.757621866098
"b_Intercept[mistral__DCconnectors,2]",-4.100937941064888,-4.070436120739364,0.552908186440221,0.5617382003117841,-5.049951053727379,-3.2606823778299088,0.9999943588188793,10155.286599460018,5688.83708210592
"b_Intercept[phi4__DCconnectors,1]",-6.296591691937105,-6.232447070871427,0.8518984414106704,0.822144745691724,-7.815125126791411,-5.0426677394405655,1.000106371371015,10709.82354913545,5748.372822337878
"b_Intercept[phi4__DCconnectors,2]",-2.9436530969247623,-2.9315516061852147,0.34739621461996734,0.3420596093853446,-3.5328620002230537,-2.402706956908237,1.0001799218297964,12483.568788348875,6557.267312001928
"b_Intercept[gemma3__DCmeasurementdevice,1]",-8.508385396403213,-8.457031923845872,0.8090881659872451,0.7993304999113999,-9.922075360587732,-7.270209685441186,1.0009046689548255,10100.343572596781,5404.867869855797
"b_Intercept[gemma3__DCmeasurementdevice,2]",-3.507179379827418,-3.477710583347578,0.44313054663830687,0.4374648455608028,-4.273727861595212,-2.8276034945196953,1.0003882697358595,12722.858858964244,6256.983437004505
"b_Intercept[llama__DCmeasurementdevice,1]",-5.733315711034603,-5.6444477880907336,0.8602566542475701,0.8275764046204523,-7.29040477857629,-4.479495618937335,1.0005389427599334,9462.034288047593,4870.278176692357
"b_Intercept[llama__DCmeasurementdevice,2]",2.2496642096188153,2.243351203472741,0.26581456308526413,0.2612453330322765,1.8233939687758736,2.697796837394849,1.000583200264869,10525.912954411922,6179.069035359501
"b_Intercept[mistral__DCmeasurementdevice,1]",-6.927104406743853,-6.850396800104502,0.8214883348066173,0.7852343477468896,-8.37686312523778,-5.720052782589995,1.0008533515211304,9197.923102797611,5057.696603404067
"b_Intercept[mistral__DCmeasurementdevice,2]",-1.7741343975858737,-1.7690696418194078,0.22491128491420187,0.221671742291176,-2.1554255696681124,-1.4104570313521982,1.0002317688121343,11782.915813189027,6602.237152189829
"b_Intercept[phi4__DCmeasurementdevice,1]",-5.914353850519237,-5.834589065861795,0.8380017208501443,0.8116528944520844,-7.390089747705319,-4.702175201340035,1.0001187695777505,9545.5289072705291,5321.869200663973
"b_Intercept[phi4__DCmeasurementdevice,2]",-0.7672791240975225,-0.7656358692839689,0.17292261782570667,0.17164092092131825,-1.0557050065061715,-0.484924813307214,1.0004770691711435,10887.083485486668,6737.324980757515
"b_Intercept[gemma3__DCsolutiondesigntool,1]",-5.266687223390903,-5.183856004404966,0.8658614922888144,0.8420409949543219,-6.816726096944555,-4.002916837124735,1.0001645704410627,11239.842797915979,5728.408077507262
"b_Intercept[gemma3__DCsolutiondesigntool,2]",-4.580103010277818,-4.534569823140428,0.6585601764520668,0.6461608259841846,-5.766310502808565,-3.5888411857944544,1.0000202625773076,10348.515016882748,6273.181965118861
"b_Intercept[llama__DCsolutiondesigntool,1]",-5.383804205614806,-5.281928037734414,0.9002442343742179,0.8551939397707974,-6.985425889403937,-4.104329527490117,1.0009099841991855,10039.440341688629,5176.699436295158
"b_Intercept[llama__DCsolutiondesigntool,2]",1.9274342352764415,1.921756989182522,0.23633681371453075,0.2328263038457817,1.554567653527083,2.3274740902698285,1.0004614925811928,12707.554391688931,7060.212757264102
"b_Intercept[mistral__DCsolutiondesigntool,1]",-5.276499449529442,-5.177734303470209,0.8896231921448505,0.8575360610911312,-6.87920985447189,-3.9960000092873686,1.000738696234707,9868.38193105946,5669.095446540599
"b_Intercept[mistral__DCsolutiondesigntool,2]",-2.895557167952333,-2.8797345589116654,0.34940299086572874,0.34218842795774296,-3.5026016979229864,-2.3533210517891887,1.001474850988171,8087.091490626906,5366.631158297937
"b_Intercept[phi4__DCsolutiondesigntool,1]",-5.247717281436256,-5.163891004486142,0.8927459149378012,0.8648765793274324,-6.873686407966469,-3.950101001564747,1.0005734326568734,10004.745942538577,5457.0113485305255
