prior_name,base_model,dc_solution,condition,rating,n_observed,observed_proportion,predicted_median,predicted_l95,predicted_u95,observed_within_predictive_95,absolute_difference
primary,gemma3,DC connectors,ZEROSHOT,2,150,0,0,0,0,TRUE,0
primary,gemma3,DC connectors,ZEROSHOT,3,150,0.04666666666666667,0.08,0.03333333333333333,0.15333333333333332,TRUE,0.03333333333333333
primary,gemma3,DC connectors,ZEROSHOT,4,150,0.9533333333333334,0.92,0.8466666666666667,0.9666666666666667,TRUE,0.033333333333333326
primary,gemma3,DC connectors,CONTEXT,2,150,0,0.013333333333333334,0,0.05333333333333334,TRUE,0.013333333333333334
primary,gemma3,DC connectors,CONTEXT,3,150,1,0.9533333333333334,0.8933333333333333,0.9866666666666667,FALSE,0.046666666666666634
primary,gemma3,DC connectors,CONTEXT,4,150,0,0.03333333333333333,0.006666666666666667,0.07333333333333333,FALSE,0.03333333333333333
primary,gemma3,DC measurement device,ZEROSHOT,2,150,0,0,0,0.006666666666666667,TRUE,0
primary,gemma3,DC measurement device,ZEROSHOT,3,150,0,0.02666666666666667,0,0.07333333333333333,TRUE,0.02666666666666667
primary,gemma3,DC measurement device,ZEROSHOT,4,150,1,0.9733333333333334,0.9266666666666666,1,TRUE,0.026666666666666616
primary,gemma3,DC measurement device,CONTEXT,2,150,0,0.013333333333333334,0,0.04,TRUE,0.013333333333333334
primary,gemma3,DC measurement device,CONTEXT,3,150,0.64,0.6066666666666667,0.4866666666666667,0.7133333333333334,TRUE,0.033333333333333326
primary,gemma3,DC measurement device,CONTEXT,4,150,0.36,0.38,0.2731666666666666,0.5066666666666667,TRUE,0.020000000000000018
primary,gemma3,DC solution design tool,ZEROSHOT,2,150,0,0.006666666666666667,0,0.02666666666666667,TRUE,0.006666666666666667
primary,gemma3,DC solution design tool,ZEROSHOT,3,150,0,0,0,0.02666666666666667,TRUE,0
primary,gemma3,DC solution design tool,ZEROSHOT,4,150,1,0.9933333333333333,0.96,1,TRUE,0.00666666666666671
primary,gemma3,DC solution design tool,CONTEXT,2,150,0,0,0,0.02,TRUE,0
primary,gemma3,DC solution design tool,CONTEXT,3,150,0,0,0,0.013333333333333334,TRUE,0
primary,gemma3,DC solution design tool,CONTEXT,4,150,1,1,0.98,1,TRUE,0
primary,gemma3,DC-DC converter,ZEROSHOT,2,150,0,0,0,0,TRUE,0
primary,gemma3,DC-DC converter,ZEROSHOT,3,150,0,0.04,0.006666666666666667,0.09333333333333334,FALSE,0.04
primary,gemma3,DC-DC converter,ZEROSHOT,4,150,1,0.96,0.9066666666666666,0.9933333333333333,FALSE,0.040000000000000036
primary,gemma3,DC-DC converter,CONTEXT,2,150,0,0.013333333333333334,0,0.05333333333333334,TRUE,0.013333333333333334
primary,gemma3,DC-DC converter,CONTEXT,3,150,1,0.9466666666666667,0.8866666666666667,0.9866666666666667,FALSE,0.053333333333333344
primary,gemma3,DC-DC converter,CONTEXT,4,150,0,0.03333333333333333,0.006666666666666667,0.08666666666666667,FALSE,0.03333333333333333
