prior_name,base_model,dc_solution,base_solution,comparison,log_odds_median,log_odds_l95,log_odds_u95,OR_median,OR_l95,OR_u95,posterior_probability_OR_gt_1,posterior_probability_OR_lt_1,conclusion
regularizing,gemma3,DC connectors,gemma3__DC connectors,CONTEXT vs ZEROSHOT,-4.645978087808751,-5.390888742362264,-3.968540560042626,0.009600135294681775,0.004557920778526248,0.01890099791155746,0,1,lower in Context
regularizing,gemma3,DC measurement device,gemma3__DC measurement device,CONTEXT vs ZEROSHOT,-3.238472936088174,-3.967282668619239,-2.5841322030674516,0.039223748648505946,0.018924788263616234,0.07546153648912765,0,1,lower in Context
regularizing,gemma3,DC solution design tool,gemma3__DC solution design tool,CONTEXT vs ZEROSHOT,0.5338597367422562,-0.6689007371374737,1.7896355479939003,1.7055024136866783,0.5122713981976407,5.987269999897438,0.8055,0.1945,uncertain
regularizing,gemma3,DC-DC converter,gemma3__DC-DC converter,CONTEXT vs ZEROSHOT,-5.021469244114403,-5.782232723988743,-4.338438070617941,0.006594830178462514,0.0030818269187976675,0.013056906370594113,0,1,lower in Context
regularizing,gemma3,LVAC-LVDC interlink converter,gemma3__LVAC-LVDC interlink converter,CONTEXT vs ZEROSHOT,-3.3833737655871547,-4.14183179657897,-2.725750534651781,0.03393278028349973,0.015893710825396742,0.06549702647843575,0,1,lower in Context
regularizing,gemma3,Network design tool for DC solutions,gemma3__Network design tool for DC solutions,CONTEXT vs ZEROSHOT,0.11456914226735451,-0.3817926429957829,0.6158356376258833,1.1213901756695135,0.6826365897879898,1.8512028998091936,0.66825,0.33175,uncertain
regularizing,gemma3,Protection DC system design tool,gemma3__Protection DC system design tool,CONTEXT vs ZEROSHOT,3.36968424092392,2.6525019518321376,4.181599300077407,29.06934675710951,14.189496070386694,65.47047646889925,1,0,higher in Context
regularizing,gemma3,Semiconductor-based circuit breaker,gemma3__Semiconductor-based circuit breaker,CONTEXT vs ZEROSHOT,0.5538528117408534,-0.6782249617508959,1.837456712448105,1.739943803608843,0.5075170574515008,6.280544824702349,0.799125,0.200875,uncertain
regularizing,gemma3,Smart and sustainable DC cables,gemma3__Smart and sustainable DC cables,CONTEXT vs ZEROSHOT,1.9775821231676063,1.095370756049051,2.9310541685933953,7.225252083960878,2.9902911685085107,18.747383904316774,1,0,higher in Context
regularizing,gemma3,Solid-state circuit breaker,gemma3__Solid-state circuit breaker,CONTEXT vs ZEROSHOT,0.5397766335739627,-0.7115554585561166,1.8648311597681728,1.7156236306543535,0.4908800600656555,6.454846019817232,0.80125,0.19875,uncertain
