base_model,dc_solution,base_solution,comparison,OR_median_regularizing,OR_median_primary,OR_median_weak,OR_l95_regularizing,OR_l95_primary,OR_l95_weak,OR_u95_regularizing,OR_u95_primary,OR_u95_weak,posterior_probability_OR_gt_1_regularizing,posterior_probability_OR_gt_1_primary,posterior_probability_OR_gt_1_weak,posterior_probability_OR_lt_1_regularizing,posterior_probability_OR_lt_1_primary,posterior_probability_OR_lt_1_weak,conclusion_regularizing,conclusion_primary,conclusion_weak,direction_regularizing,direction_primary,direction_weak,direction_stable,conclusion_stable
gemma3,DC connectors,gemma3__DC connectors,CONTEXT vs ZEROSHOT,0.009600135294681775,0.0029313915393806944,0.0017639543665669678,0.004557920778526248,0.0010382608859952243,5.01255591410521e-4,0.01890099791155746,0.007233491228073358,0.005093847384544832,0,0,0,1,1,1,lower in Context,lower in Context,lower in Context,below 1,below 1,below 1,TRUE,TRUE
gemma3,DC measurement device,gemma3__DC measurement device,CONTEXT vs ZEROSHOT,0.039223748648505946,0.018954411075705214,0.014289012640175607,0.018924788263616234,0.007028528683585921,0.004693406583283518,0.07546153648912765,0.04301974897418078,0.03501873810775584,0,0,0,1,1,1,lower in Context,lower in Context,lower in Context,below 1,below 1,below 1,TRUE,TRUE
gemma3,DC solution design tool,gemma3__DC solution design tool,CONTEXT vs ZEROSHOT,1.7055024136866783,3.91635072379738,9.674173761496817,0.5122713981976407,0.5521430358484213,0.7008609063859157,5.987269999897438,36.899661418581346,389.3693680582454,0.8055,0.903125,0.95,0.1945,0.096875,0.05,uncertain,uncertain,uncertain,above 1,above 1,above 1,TRUE,TRUE
gemma3,DC-DC converter,gemma3__DC-DC converter,CONTEXT vs ZEROSHOT,0.006594830178462514,0.0014986427652406201,7.500671307595158e-4,0.0030818269187976675,4.705108887362426e-4,1.9413507286684896e-4,0.013056906370594113,0.004054140034264339,0.002450365554118299,0,0,0,1,1,1,lower in Context,lower in Context,lower in Context,below 1,below 1,below 1,TRUE,TRUE
gemma3,LVAC-LVDC interlink converter,gemma3__LVAC-LVDC interlink converter,CONTEXT vs ZEROSHOT,0.03393278028349973,0.014125323328991628,0.009684070947578345,0.015893710825396742,0.004708407322531217,0.002677172799983146,0.06549702647843575,0.03397384417744422,0.027364264340942333,0,0,0,1,1,1,lower in Context,lower in Context,lower in Context,below 1,below 1,below 1,TRUE,TRUE
gemma3,Network design tool for DC solutions,gemma3__Network design tool for DC solutions,CONTEXT vs ZEROSHOT,1.1213901756695135,1.1293995471016158,1.13617099338285,0.6826365897879898,0.687748626008578,0.6829649045279697,1.8512028998091936,1.8740848086757698,1.9023016850658456,0.66825,0.67525,0.693125,0.33175,0.32475,0.306875,uncertain,uncertain,uncertain,above 1,above 1,above 1,TRUE,TRUE
gemma3,Protection DC system design tool,gemma3__Protection DC system design tool,CONTEXT vs ZEROSHOT,29.06934675710951,106.15213267073173,286.5422971136427,14.189496070386694,33.825445693313746,56.49549833715507,65.47047646889925,490.424118453637,3760.8986557700327,1,1,1,0,0,0,higher in Context,higher in Context,higher in Context,above 1,above 1,above 1,TRUE,TRUE
gemma3,Semiconductor-based circuit breaker,gemma3__Semiconductor-based circuit breaker,CONTEXT vs ZEROSHOT,1.739943803608843,3.966558680842654,9.306820677742508,0.5075170574515008,0.5393639685329883,0.6949200757877517,6.280544824702349,37.65157943909096,438.15742374005026,0.799125,0.912125,0.9485,0.200875,0.087875,0.0515,uncertain,uncertain,uncertain,above 1,above 1,above 1,TRUE,TRUE
gemma3,Smart and sustainable DC cables,gemma3__Smart and sustainable DC cables,CONTEXT vs ZEROSHOT,7.225252083960878,23.185203223302302,62.0550342464259,2.9902911685085107,5.6592958699632545,9.62338884115132,18.747383904316774,147.69962671964979,1201.6467541013405,1,1,1,0,0,0,higher in Context,higher in Context,higher in Context,above 1,above 1,above 1,TRUE,TRUE
gemma3,Solid-state circuit breaker,gemma3__Solid-state circuit breaker,CONTEXT vs ZEROSHOT,1.7156236306543535,3.8623804070044683,9.500271817431585,0.4908800600656555,0.5301100486839504,0.7770815282260018,6.454846019817232,41.681774408714624,354.8082795901217,0.80125,0.910125,0.958125,0.19875,0.089875,0.041875,uncertain,uncertain,uncertain,above 1,above 1,above 1,TRUE,TRUE
