base_model,dc_solution,condition,rating_value,n,proportion
gemma3,DC connectors,ZEROSHOT,3,7,0.04666666666666667
gemma3,DC connectors,ZEROSHOT,4,143,0.9533333333333334
gemma3,DC connectors,CONTEXT,3,150,1
gemma3,DC measurement device,ZEROSHOT,4,150,1
gemma3,DC measurement device,CONTEXT,3,96,0.64
gemma3,DC measurement device,CONTEXT,4,54,0.36
gemma3,DC solution design tool,ZEROSHOT,4,150,1
gemma3,DC solution design tool,CONTEXT,4,150,1
gemma3,DC-DC converter,ZEROSHOT,4,150,1
gemma3,DC-DC converter,CONTEXT,3,150,1
gemma3,LVAC-LVDC interlink converter,ZEROSHOT,3,50,0.3333333333333333
gemma3,LVAC-LVDC interlink converter,ZEROSHOT,4,100,0.6666666666666666
gemma3,LVAC-LVDC interlink converter,CONTEXT,3,150,1
gemma3,Network design tool for DC solutions,ZEROSHOT,3,39,0.26
gemma3,Network design tool for DC solutions,ZEROSHOT,4,111,0.74
gemma3,Network design tool for DC solutions,CONTEXT,3,37,0.24666666666666667
gemma3,Network design tool for DC solutions,CONTEXT,4,113,0.7533333333333333
gemma3,Protection DC system design tool,ZEROSHOT,3,86,0.5733333333333334
gemma3,Protection DC system design tool,ZEROSHOT,4,64,0.4266666666666667
gemma3,Protection DC system design tool,CONTEXT,4,150,1
gemma3,Semiconductor-based circuit breaker,ZEROSHOT,4,150,1
gemma3,Semiconductor-based circuit breaker,CONTEXT,4,150,1
gemma3,Smart and sustainable DC cables,ZEROSHOT,3,23,0.15333333333333332
gemma3,Smart and sustainable DC cables,ZEROSHOT,4,127,0.8466666666666667
gemma3,Smart and sustainable DC cables,CONTEXT,4,150,1
gemma3,Solid-state circuit breaker,ZEROSHOT,4,150,1
gemma3,Solid-state circuit breaker,CONTEXT,4,150,1
gemma3,Static protection system,ZEROSHOT,2,50,0.3333333333333333
gemma3,Static protection system,ZEROSHOT,3,100,0.6666666666666666
gemma3,Static protection system,CONTEXT,4,150,1
llama,DC connectors,ZEROSHOT,2,1,0.006666666666666667
llama,DC connectors,ZEROSHOT,3,143,0.9533333333333334
llama,DC connectors,ZEROSHOT,4,6,0.04
llama,DC connectors,CONTEXT,3,99,0.66
llama,DC connectors,CONTEXT,4,51,0.34
llama,DC measurement device,ZEROSHOT,3,135,0.9
llama,DC measurement device,ZEROSHOT,4,15,0.1
llama,DC measurement device,CONTEXT,3,138,0.92
llama,DC measurement device,CONTEXT,4,12,0.08
llama,DC solution design tool,ZEROSHOT,3,131,0.8733333333333333
llama,DC solution design tool,ZEROSHOT,4,19,0.12666666666666668
llama,DC solution design tool,CONTEXT,3,109,0.7266666666666667
llama,DC solution design tool,CONTEXT,4,41,0.2733333333333333
llama,DC-DC converter,ZEROSHOT,3,105,0.7
llama,DC-DC converter,ZEROSHOT,4,45,0.3
llama,DC-DC converter,CONTEXT,3,87,0.58
llama,DC-DC converter,CONTEXT,4,63,0.42
llama,LVAC-LVDC interlink converter,ZEROSHOT,3,116,0.7733333333333333
llama,LVAC-LVDC interlink converter,ZEROSHOT,4,34,0.22666666666666666
llama,LVAC-LVDC interlink converter,CONTEXT,3,128,0.8533333333333334
llama,LVAC-LVDC interlink converter,CONTEXT,4,22,0.14666666666666667
llama,Network design tool for DC solutions,ZEROSHOT,3,110,0.7333333333333333
llama,Network design tool for DC solutions,ZEROSHOT,4,40,0.26666666666666666
llama,Network design tool for DC solutions,CONTEXT,3,93,0.62
llama,Network design tool for DC solutions,CONTEXT,4,57,0.38
llama,Protection DC system design tool,ZEROSHOT,3,105,0.7
llama,Protection DC system design tool,ZEROSHOT,4,45,0.3
llama,Protection DC system design tool,CONTEXT,3,88,0.5866666666666667
llama,Protection DC system design tool,CONTEXT,4,62,0.41333333333333333
llama,Semiconductor-based circuit breaker,ZEROSHOT,2,4,0.02666666666666667
llama,Semiconductor-based circuit breaker,ZEROSHOT,3,146,0.9733333333333334
llama,Semiconductor-based circuit breaker,CONTEXT,3,46,0.30666666666666664
llama,Semiconductor-based circuit breaker,CONTEXT,4,104,0.6933333333333334
llama,Smart and sustainable DC cables,ZEROSHOT,3,81,0.54
llama,Smart and sustainable DC cables,ZEROSHOT,4,69,0.46
llama,Smart and sustainable DC cables,CONTEXT,3,69,0.46
llama,Smart and sustainable DC cables,CONTEXT,4,81,0.54
llama,Solid-state circuit breaker,ZEROSHOT,3,146,0.9733333333333334
llama,Solid-state circuit breaker,ZEROSHOT,4,4,0.02666666666666667
llama,Solid-state circuit breaker,CONTEXT,3,48,0.32
llama,Solid-state circuit breaker,CONTEXT,4,102,0.68
llama,Static protection system,ZEROSHOT,2,22,0.14666666666666667
llama,Static protection system,ZEROSHOT,3,125,0.8333333333333334
llama,Static protection system,ZEROSHOT,4,3,0.02
llama,Static protection system,CONTEXT,3,63,0.42
llama,Static protection system,CONTEXT,4,87,0.58
mistral,DC connectors,ZEROSHOT,4,150,1
mistral,DC connectors,CONTEXT,3,5,0.03333333333333333
mistral,DC connectors,CONTEXT,4,145,0.9666666666666667
mistral,DC measurement device,ZEROSHOT,3,19,0.12666666666666668
mistral,DC measurement device,ZEROSHOT,4,131,0.8733333333333333
mistral,DC measurement device,CONTEXT,3,88,0.5866666666666667
mistral,DC measurement device,CONTEXT,4,62,0.41333333333333333
mistral,DC solution design tool,ZEROSHOT,3,7,0.04666666666666667
mistral,DC solution design tool,ZEROSHOT,4,143,0.9533333333333334
mistral,DC solution design tool,CONTEXT,3,1,0.006666666666666667
