prior_name,base_model,dc_solution,condition,rating,n_observed,observed_proportion,predicted_median,predicted_l95,predicted_u95,observed_within_predictive_95,absolute_difference
weak,gemma3,DC connectors,ZEROSHOT,2,150,0,0,0,0,TRUE,0
weak,gemma3,DC connectors,ZEROSHOT,3,150,0.04666666666666667,0.07333333333333333,0.02666666666666667,0.14,TRUE,0.026666666666666665
weak,gemma3,DC connectors,ZEROSHOT,4,150,0.9533333333333334,0.9266666666666666,0.86,0.9733333333333334,TRUE,0.026666666666666727
weak,gemma3,DC connectors,CONTEXT,2,150,0,0.013333333333333334,0,0.05333333333333334,TRUE,0.013333333333333334
weak,gemma3,DC connectors,CONTEXT,3,150,1,0.96,0.9066666666666666,0.9933333333333333,FALSE,0.040000000000000036
weak,gemma3,DC connectors,CONTEXT,4,150,0,0.02,0,0.06,TRUE,0.02
weak,gemma3,DC measurement device,ZEROSHOT,2,150,0,0,0,0.006666666666666667,TRUE,0
weak,gemma3,DC measurement device,ZEROSHOT,3,150,0,0.02,0,0.06666666666666667,TRUE,0.02
weak,gemma3,DC measurement device,ZEROSHOT,4,150,1,0.98,0.9333333333333333,1,TRUE,0.020000000000000018
weak,gemma3,DC measurement device,CONTEXT,2,150,0,0.013333333333333334,0,0.04666666666666667,TRUE,0.013333333333333334
weak,gemma3,DC measurement device,CONTEXT,3,150,0.64,0.6166666666666667,0.5133333333333333,0.7266666666666667,TRUE,0.023333333333333317
weak,gemma3,DC measurement device,CONTEXT,4,150,0.36,0.36666666666666664,0.26666666666666666,0.47333333333333333,TRUE,0.006666666666666654
weak,gemma3,DC solution design tool,ZEROSHOT,2,150,0,0.006666666666666667,0,0.03333333333333333,TRUE,0.006666666666666667
weak,gemma3,DC solution design tool,ZEROSHOT,3,150,0,0,0,0.026833333333333185,TRUE,0
weak,gemma3,DC solution design tool,ZEROSHOT,4,150,1,0.9866666666666667,0.9533333333333334,1,TRUE,0.013333333333333308
weak,gemma3,DC solution design tool,CONTEXT,2,150,0,0,0,0.013333333333333334,TRUE,0
weak,gemma3,DC solution design tool,CONTEXT,3,150,0,0,0,0.006666666666666667,TRUE,0
weak,gemma3,DC solution design tool,CONTEXT,4,150,1,1,0.98,1,TRUE,0
weak,gemma3,DC-DC converter,ZEROSHOT,2,150,0,0,0,0,TRUE,0
weak,gemma3,DC-DC converter,ZEROSHOT,3,150,0,0.02666666666666667,0,0.08,TRUE,0.02666666666666667
weak,gemma3,DC-DC converter,ZEROSHOT,4,150,1,0.9733333333333334,0.92,1,TRUE,0.026666666666666616
weak,gemma3,DC-DC converter,CONTEXT,2,150,0,0.013333333333333334,0,0.05333333333333334,TRUE,0.013333333333333334
weak,gemma3,DC-DC converter,CONTEXT,3,150,1,0.96,0.9,0.9933333333333333,FALSE,0.040000000000000036
weak,gemma3,DC-DC converter,CONTEXT,4,150,0,0.02666666666666667,0,0.07333333333333333,TRUE,0.02666666666666667
weak,gemma3,LVAC-LVDC interlink converter,ZEROSHOT,2,150,0,0,0,0.006666666666666667,TRUE,0
weak,gemma3,LVAC-LVDC interlink converter,ZEROSHOT,3,150,0.3333333333333333,0.35333333333333333,0.2531666666666667,0.4666666666666667,TRUE,0.020000000000000018
weak,gemma3,LVAC-LVDC interlink converter,ZEROSHOT,4,150,0.6666666666666666,0.6466666666666666,0.5333333333333333,0.7468333333333331,TRUE,0.020000000000000018
weak,gemma3,LVAC-LVDC interlink converter,CONTEXT,2,150,0,0.013333333333333334,0,0.04666666666666667,TRUE,0.013333333333333334
weak,gemma3,LVAC-LVDC interlink converter,CONTEXT,3,150,1,0.9666666666666667,0.92,1,TRUE,0.033333333333333326
weak,gemma3,LVAC-LVDC interlink converter,CONTEXT,4,150,0,0.013333333333333334,0,0.06,TRUE,0.013333333333333334
weak,gemma3,Network design tool for DC solutions,ZEROSHOT,2,150,0,0,0,0.020166666666666513,TRUE,0
weak,gemma3,Network design tool for DC solutions,ZEROSHOT,3,150,0.26,0.26666666666666666,0.17333333333333334,0.36666666666666664,TRUE,0.006666666666666654
weak,gemma3,Network design tool for DC solutions,ZEROSHOT,4,150,0.74,0.7266666666666667,0.6266666666666667,0.82,TRUE,0.013333333333333308
weak,gemma3,Network design tool for DC solutions,CONTEXT,2,150,0,0,0,0.02,TRUE,0
weak,gemma3,Network design tool for DC solutions,CONTEXT,3,150,0.24666666666666667,0.24,0.15333333333333332,0.3333333333333333,TRUE,0.006666666666666682
weak,gemma3,Network design tool for DC solutions,CONTEXT,4,150,0.7533333333333333,0.76,0.66,0.8466666666666667,TRUE,0.00666666666666671
weak,gemma3,Protection DC system design tool,ZEROSHOT,2,150,0,0.006666666666666667,0,0.03333333333333333,TRUE,0.006666666666666667
weak,gemma3,Protection DC system design tool,ZEROSHOT,3,150,0.5733333333333334,0.56,0.4533333333333333,0.6733333333333333,TRUE,0.013333333333333308
weak,gemma3,Protection DC system design tool,ZEROSHOT,4,150,0.4266666666666667,0.4266666666666667,0.32,0.5401666666666666,TRUE,0
weak,gemma3,Protection DC system design tool,CONTEXT,2,150,0,0,0,0,TRUE,0
weak,gemma3,Protection DC system design tool,CONTEXT,3,150,0,0.006666666666666667,0,0.02666666666666667,TRUE,0.006666666666666667
weak,gemma3,Protection DC system design tool,CONTEXT,4,150,1,0.9933333333333333,0.9733333333333334,1,TRUE,0.00666666666666671
weak,gemma3,Semiconductor-based circuit breaker,ZEROSHOT,2,150,0,0.006666666666666667,0,0.03333333333333333,TRUE,0.006666666666666667
weak,gemma3,Semiconductor-based circuit breaker,ZEROSHOT,3,150,0,0,0,0.02666666666666667,TRUE,0
weak,gemma3,Semiconductor-based circuit breaker,ZEROSHOT,4,150,1,0.9866666666666667,0.9533333333333334,1,TRUE,0.013333333333333308
weak,gemma3,Semiconductor-based circuit breaker,CONTEXT,2,150,0,0,0,0.013333333333333334,TRUE,0
weak,gemma3,Semiconductor-based circuit breaker,CONTEXT,3,150,0,0,0,0.013333333333333334,TRUE,0
weak,gemma3,Semiconductor-based circuit breaker,CONTEXT,4,150,1,1,0.98,1,TRUE,0
weak,gemma3,Smart and sustainable DC cables,ZEROSHOT,2,150,0,0.006666666666666667,0,0.03333333333333333,TRUE,0.006666666666666667
weak,gemma3,Smart and sustainable DC cables,ZEROSHOT,3,150,0.15333333333333332,0.14666666666666667,0.07333333333333333,0.23333333333333334,TRUE,0.006666666666666654
weak,gemma3,Smart and sustainable DC cables,ZEROSHOT,4,150,0.8466666666666667,0.84,0.76,0.92,TRUE,0.00666666666666671
weak,gemma3,Smart and sustainable DC cables,CONTEXT,2,150,0,0,0,0.006666666666666667,TRUE,0
weak,gemma3,Smart and sustainable DC cables,CONTEXT,3,150,0,0,0,0.02,TRUE,0
weak,gemma3,Smart and sustainable DC cables,CONTEXT,4,150,1,1,0.9733333333333334,1,TRUE,0
