family,model,arm,iteration,n_rows,n_distinct_barriers,valid_top5_response
gemma3,generalist,context,0,5,5,TRUE
gemma3,generalist,context,1,5,5,TRUE
gemma3,generalist,context,2,5,5,TRUE
gemma3,generalist,context,3,5,5,TRUE
gemma3,generalist,context,4,5,5,TRUE
gemma3,generalist,context,5,5,5,TRUE
gemma3,generalist,context,6,5,5,TRUE
gemma3,generalist,context,7,5,5,TRUE
gemma3,generalist,context,8,5,5,TRUE
gemma3,generalist,context,9,5,5,TRUE
gemma3,generalist,context,10,5,5,TRUE
gemma3,generalist,context,11,5,5,TRUE
gemma3,generalist,context,12,5,5,TRUE
gemma3,generalist,context,13,5,5,TRUE
gemma3,generalist,context,14,5,5,TRUE
gemma3,generalist,context,15,5,5,TRUE
gemma3,generalist,context,16,5,5,TRUE
gemma3,generalist,context,17,5,5,TRUE
gemma3,generalist,context,18,5,5,TRUE
gemma3,generalist,context,19,5,5,TRUE
gemma3,generalist,context,20,5,5,TRUE
gemma3,generalist,context,21,5,5,TRUE
gemma3,generalist,context,22,5,5,TRUE
gemma3,generalist,context,23,5,5,TRUE
gemma3,generalist,context,24,5,5,TRUE
gemma3,generalist,context,25,5,5,TRUE
gemma3,generalist,context,26,5,5,TRUE
gemma3,generalist,context,27,5,5,TRUE
gemma3,generalist,context,28,5,5,TRUE
gemma3,generalist,context,29,5,5,TRUE
gemma3,generalist,context,30,5,5,TRUE
gemma3,generalist,context,31,5,5,TRUE
gemma3,generalist,context,32,5,5,TRUE
gemma3,generalist,context,33,5,5,TRUE
gemma3,generalist,context,34,5,5,TRUE
gemma3,generalist,context,35,5,5,TRUE
gemma3,generalist,context,36,5,5,TRUE
gemma3,generalist,context,37,5,5,TRUE
gemma3,generalist,context,38,5,5,TRUE
gemma3,generalist,context,39,5,5,TRUE
gemma3,generalist,context,40,5,5,TRUE
gemma3,generalist,context,41,5,5,TRUE
gemma3,generalist,context,42,5,5,TRUE
gemma3,generalist,context,43,5,5,TRUE
gemma3,generalist,context,44,5,5,TRUE
gemma3,generalist,context,45,5,5,TRUE
gemma3,generalist,context,46,5,5,TRUE
gemma3,generalist,context,47,5,5,TRUE
gemma3,generalist,context,48,5,5,TRUE
gemma3,generalist,context,49,5,5,TRUE
gemma3,generalist,example,0,5,5,TRUE
gemma3,generalist,example,1,5,5,TRUE
gemma3,generalist,example,2,5,5,TRUE
gemma3,generalist,example,3,5,5,TRUE
gemma3,generalist,example,4,5,5,TRUE
gemma3,generalist,example,5,5,5,TRUE
