family,model_label,comparison,jaccard
gemma3,Gemma3:12B,pooled-anchors,0.667
gemma3,Gemma3:12B,word,0.667
gemma3,Gemma3:12B,example,0.667
gemma3,Gemma3:12B,low-numeric,0.667
gemma3,Gemma3:12B,high-numeric,0.667
llama,LLaMa-Pro,pooled-anchors,1
llama,LLaMa-Pro,word,1
llama,LLaMa-Pro,example,1
llama,LLaMa-Pro,low-numeric,1
llama,LLaMa-Pro,high-numeric,1
mistral,Mistral,pooled-anchors,1
mistral,Mistral,word,1
mistral,Mistral,example,1
mistral,Mistral,low-numeric,1
mistral,Mistral,high-numeric,1
phi4,Phi4,pooled-anchors,1
phi4,Phi4,word,0.667
phi4,Phi4,example,0.667
phi4,Phi4,low-numeric,1
phi4,Phi4,high-numeric,0.667
