base_model,comparison,n_observed,observed_median,predicted_median,predicted_l95,predicted_u95,observed_within_predictive_95
gemma3,CONTEXT,150,3,3,3,3,TRUE
gemma3,ANCHOR_EXAMPLE,30,3,3,3,3,TRUE
gemma3,ANCHOR_WORD,30,3,3,3,3,TRUE
gemma3,ANCHOR_NUM_HIGH,30,3,3,3,3,TRUE
gemma3,ANCHOR_NUM_LOW,30,3,3,3,3,TRUE
llama,CONTEXT,150,3,3,3,3,TRUE
llama,ANCHOR_EXAMPLE,30,3,3,3,3,TRUE
llama,ANCHOR_WORD,30,3,3,3,4,TRUE
llama,ANCHOR_NUM_HIGH,30,3,3,3,4,TRUE
llama,ANCHOR_NUM_LOW,30,3,3,3,4,TRUE
mistral,CONTEXT,150,3,3,3,3,TRUE
mistral,ANCHOR_EXAMPLE,30,3,3,3,3,TRUE
mistral,ANCHOR_WORD,30,3,3,3,3,TRUE
mistral,ANCHOR_NUM_HIGH,30,3,3,3,3,TRUE
mistral,ANCHOR_NUM_LOW,30,3,3,3,3,TRUE
phi4,CONTEXT,150,3,3,3,3,TRUE
phi4,ANCHOR_EXAMPLE,30,3,3,3,3,TRUE
phi4,ANCHOR_WORD,30,3,3,3,3,TRUE
phi4,ANCHOR_NUM_HIGH,30,3,3,3,3,TRUE
phi4,ANCHOR_NUM_LOW,30,3,3,3,3,TRUE
