variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
"b_Intercept[gemma3,1]",-5.561032002255159,-5.493244023005737,0.8651802921525718,0.8206815100600819,-7.086978057245765,-4.295040038026299,0.9999689169614776,6307.947515118378,5056.090465274652
"b_Intercept[gemma3,2]",-4.897308893961582,-4.862125392204387,0.6570853714969491,0.6529456806659375,-6.03283514932772,-3.892626266108032,0.9998010012155862,8125.772573804104,7004.726814387772
"b_Intercept[gemma3,3]",5.881355671592736,5.80712859700216,0.90387361788396,0.8755220441543615,4.538478048613878,7.483093112544915,1.0000787442694443,9880.339374264,6969.1935502553
"b_Intercept[llama,1]",-4.09330015909055,-4.0686541239957545,0.4636083621291036,0.44288604274567706,-4.899785394757486,-3.385573760776156,1.001558044640739,5649.0474886466145,5304.1956553983955
"b_Intercept[llama,2]",-2.2904015290882347,-2.2871855848799676,0.23377451190557977,0.23262220752937546,-2.6846589412435433,-1.917285590192049,1.000743108176616,8476.501186875978,5855.9710354060935
"b_Intercept[llama,3]",1.0985332697208863,1.0966955053437695,0.17545441313592008,0.17795690764476726,0.8121115245631313,1.3912654874476749,0.9998763804431512,8119.740918213795,6997.642293185017
"b_Intercept[mistral,1]",-5.497644972440395,-5.421941304308829,0.8446108682380813,0.8132608444112384,-7.009374276286251,-4.250264965595478,1.0006446322298312,6487.303471227401,5560.42352917491
"b_Intercept[mistral,2]",-4.854463600155195,-4.8095359726659295,0.6639354586339277,0.6585282236726248,-6.022115921089632,-3.8332339025782316,1.0007332329982443,8133.908602990973,6414.746222520061
"b_Intercept[mistral,3]",5.425791607398447,5.371991466110082,0.7822272064465061,0.7792050212448712,4.238419338861838,6.765782427820801,1.0001681529091693,9586.773281149219,6322.241667031079
"b_Intercept[phi4,1]",-5.570925474013483,-5.490575304035536,0.8694050878496817,0.8221521411911495,-7.123297629520057,-4.31558472969201,1.0004505392803609,6727.9975036099195,5439.931378509947
"b_Intercept[phi4,2]",-4.906600950480529,-4.859492936702564,0.6743970189939428,0.6554703110949915,-6.098645351473358,-3.884309824777814,1.0001367138894428,8528.516322397067,5853.306793257509
"b_Intercept[phi4,3]",5.883419015408222,5.808259300640764,0.9017954081467083,0.8895519344437188,4.535226731276785,7.456114690702755,1.0011235241261671,9737.683178254485,7061.765369265612
b_base_modelgemma3:anchor_example,0.2220477258133943,0.20473558171835637,1.0759287687916965,1.1026465480067391,-1.5286486194078537,2.016165082757297,1.0011022587932406,10405.61258486452,6228.184982967486
b_base_modelllama:anchor_example,-0.6496281601649614,-0.6449924856537971,0.39163671462819194,0.3933463674242679,-1.2954715717477137,-0.011181059934657463,0.999911247310012,10695.294123669031,6436.600627591681
b_base_modelmistral:anchor_example,0.1458694122493498,0.13557263364244648,1.0522236256808981,1.0548610371286062,-1.5761967628242262,1.8980914534934317,0.9999418074395942,11068.949326615699,6010.141620426474
b_base_modelphi4:anchor_example,0.223032871649024,0.19093951981436616,1.074754377834103,1.090205083353454,-1.5018862380602795,2.011005580028778,1.0009624815559064,10807.697897016222,6134.257546764515
b_base_modelgemma3:anchor_word,0.2199236885286023,0.2035728629824506,1.0771547486442128,1.0806098360478968,-1.518333374385307,2.011833900930028,1.0001910824792695,11026.812239972503,5840.661590046443
b_base_modelllama:anchor_word,0.5352337756772134,0.5284538644957468,0.38576176507665216,0.3787173438820333,-0.10465804823792345,1.1816253900533034,0.9999205501718674,10227.645032085715,6104.478332060026
b_base_modelmistral:anchor_word,1.1180681134399895,1.126182574253579,1.026911752192339,1.0357864976769706,-0.6015086338101311,2.758702783227221,0.999962760267471,11211.024667452062,5592.482755204867
b_base_modelphi4:anchor_word,0.22426668617355885,0.1968048821823278,1.0902162537374145,1.0976239675934134,-1.5285806851650476,2.0380180821611558,1.0001146329999322,10691.039782566613,5736.336352647545
b_base_modelgemma3:anchor_num_high,0.2315556953532231,0.22896085040411096,1.082818109250899,1.122594819333057,-1.5025121978384492,2.0367860237683684,1.0005475316858021,10586.173533993993,5771.3312485576
b_base_modelllama:anchor_num_high,0.41028318930547053,0.4112310024229031,0.3970658798192448,0.4005753974675236,-0.2380313535891847,1.0579138892599778,1.000716805317839,10151.633844674827,5879.419287164065
b_base_modelmistral:anchor_num_high,0.1661154215615686,0.1555562366604613,1.0374482679339263,1.0377658455930072,-1.5264920152380057,1.8757842528738808,0.9998979841164525,10632.523660867762,5576.472257584851
b_base_modelphi4:anchor_num_high,0.22001745788487534,0.18926596498713322,1.0776548790844092,1.0963820983694483,-1.5089526688013035,2.0052081353791777,1.001037812892305,10605.140162682397,5762.516448669264
b_base_modelgemma3:anchor_num_low,0.24403794219468125,0.2313601286807908,1.0798657663081725,1.1192207621180443,-1.4850172626975022,2.0581033178784014,1.0010008968904363,10508.012997721922,6051.840499478137
b_base_modelllama:anchor_num_low,0.16877682114644693,0.17349469068290374,0.38878646981922377,0.39031556193325245,-0.47862265754203004,0.7982978140635337,1.0002698099739222,11775.974989815217,6253.00220434827
b_base_modelmistral:anchor_num_low,0.14597118858043473,0.152288684454917,1.0562445926806887,1.0897492590874784,-1.5836162195546086,1.8856992526080392,1.0005716414193182,9641.08521146834,5794.3117729247915
b_base_modelphi4:anchor_num_low,0.21379464194470865,0.2050149538949217,1.0889050814084464,1.1171045716976336,-1.5680215738138994,2.019514772845048,1.0007148678328375,10509.13148939915,6399.653026056225
disc,1,1,0,0,1,1,NA,NA,NA
