prior_name,effect_prior_sd,base_model,anchor_type,comparison,threshold_structure,log_odds_median,log_odds_l95,log_odds_u95,OR_median,OR_l95,OR_u95,posterior_probability_OR_gt_1,posterior_probability_OR_lt_1,conclusion
primary,1.5,gemma3,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,base-model-specific,0.20473558171835637,-1.8207064796180101,2.3742915670068814,1.2272005447858922,0.16191134235078075,10.74339955164336,0.577,0.423,uncertain
primary,1.5,gemma3,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,base-model-specific,0.2035728629824506,-1.8643871438490667,2.3750500153832523,1.2257744896375162,0.15499116815416306,10.751551046168071,0.574125,0.425875,uncertain
primary,1.5,gemma3,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,base-model-specific,0.22896085040411096,-1.8112167751284296,2.3525881329022202,1.257292931536862,0.16345517741803317,10.512744052528259,0.57875,0.42125,uncertain
primary,1.5,gemma3,ANCHOR_NUM_LOW,ANCHOR_NUM_LOW vs CONTEXT,base-model-specific,0.2313601286807908,-1.7845429010281308,2.430112047249898,1.2603131213249559,0.16787377851611746,11.360154887459332,0.580875,0.419125,uncertain
primary,1.5,llama,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,base-model-specific,-0.6449924856537971,-1.419023464604004,0.11191406947615855,0.5246664877240124,0.24195018183979536,1.1184167508215734,0.047125,0.952875,uncertain
primary,1.5,llama,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,base-model-specific,0.5284538644957468,-0.22886756028941882,1.296881803740899,1.696307561380007,0.7954338741035556,3.657872915984131,0.921,0.079,uncertain
primary,1.5,llama,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,base-model-specific,0.4112310024229031,-0.37850230343418195,1.1836054158846585,1.5086738238438802,0.684886405287636,3.266128752713162,0.8485,0.1515,uncertain
primary,1.5,llama,ANCHOR_NUM_LOW,ANCHOR_NUM_LOW vs CONTEXT,base-model-specific,0.17349469068290374,-0.5999145994085097,0.9254805616094032,1.1894543746533535,0.5488585101376379,2.523080528812643,0.669375,0.330625,uncertain
primary,1.5,mistral,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,base-model-specific,0.13557263364244648,-1.8910394770955457,2.20495616114607,1.1451924258283772,0.15091486912183844,9.069854527151273,0.55525,0.44475,uncertain
primary,1.5,mistral,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,base-model-specific,1.126182574253579,-0.9052560017760511,3.0859158230109087,3.083861592158825,0.40443833636025106,21.887503514932252,0.861125,0.138875,uncertain
primary,1.5,mistral,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,base-model-specific,0.1555562366604613,-1.83252889251033,2.21489575100319,1.1683076373963794,0.1600084116246963,9.160455883853723,0.560375,0.439625,uncertain
primary,1.5,mistral,ANCHOR_NUM_LOW,ANCHOR_NUM_LOW vs CONTEXT,base-model-specific,0.152288684454917,-1.8563213966327003,2.1783883583086987,1.164496359945261,0.15624637580285355,8.832061182067926,0.5585,0.4415,uncertain
primary,1.5,phi4,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,base-model-specific,0.19093951981436616,-1.857304062576559,2.3281035004841923,1.210386245510049,0.15609288826143228,10.258467897745858,0.57125,0.42875,uncertain
primary,1.5,phi4,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,base-model-specific,0.1968048821823278,-1.832228733269542,2.383595706912635,1.2175064604550623,0.16005644690481383,10.84382428414116,0.574375,0.425625,uncertain
primary,1.5,phi4,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,base-model-specific,0.18926596498713322,-1.7959857597395217,2.352351347717207,1.208362299197863,0.16596377296761555,10.510254058189961,0.570375,0.429625,uncertain
primary,1.5,phi4,ANCHOR_NUM_LOW,ANCHOR_NUM_LOW vs CONTEXT,base-model-specific,0.2050149538949217,-1.889060578523299,2.384226772298062,1.2275434214090162,0.15121379568941637,10.850669676776159,0.5725,0.4275,uncertain
