variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
"b_Intercept[gemma3,1]",-5.522422923550059,-5.441507700300105,0.8255471396656889,0.8072489761748212,-7.023819008619203,-4.322079600017816,1.0003218691383153,7625.590093201391,5609.594117459074
"b_Intercept[gemma3,2]",-4.851882694864749,-4.802996414132882,0.6175332698029661,0.6113995507405765,-5.9344404272002365,-3.933660910256581,1.0010562689044347,9164.155556080357,6697.603545575557
"b_Intercept[gemma3,3]",5.6764174590503105,5.593983277587351,0.8571921525687539,0.8336039518254268,4.427040396298742,7.200808018902205,1.0005455951552842,9941.030163517731,6843.093330182572
"b_Intercept[llama,1]",-4.092609380647555,-4.066773196299169,0.4643951379726887,0.4668842553875351,-4.874608481184126,-3.3777593032311373,1.0001403171997263,5872.0855142109285,5822.797942246496
"b_Intercept[llama,2]",-2.292793182058089,-2.2879601903708195,0.23254312589493592,0.23261528406071819,-2.686699530087435,-1.9214753203756163,0.9998821095876054,9258.261132529007,6362.436961665209
"b_Intercept[llama,3]",1.0829474479327972,1.0808111880834608,0.16830290823913055,0.16645710068168068,0.8111785625868473,1.3683250822344266,1.0004771803434342,8462.184377571408,5509.083290479908
"b_Intercept[mistral,1]",-5.5115514552722615,-5.423711151735178,0.8391502398028984,0.8245526453396135,-7.034406777020271,-4.2993385080385815,1.0001131659103981,7029.319563235042,5247.90879796093
"b_Intercept[mistral,2]",-4.843036209685028,-4.793669775507677,0.6287463485498622,0.6153540420647595,-5.950114713679525,-3.882311112153527,1.00020577871718,9294.416679853304,7051.855529685676
"b_Intercept[mistral,3]",5.136525964302782,5.079828736938368,0.6985660475682319,0.6869628126165348,4.094124460954783,6.355300419817663,1.0001455883339623,10528.413264704703,6713.541043031334
"b_Intercept[phi4,1]",-5.513439467527402,-5.436333922454274,0.8270558425050406,0.8037887123770181,-7.002636144753315,-4.313525302627206,1.0003724728305194,7562.970117195315,4931.272106906701
"b_Intercept[phi4,2]",-4.8531909509990525,-4.815348877190422,0.6188848022414993,0.612788246309299,-5.937473518503218,-3.914614055538038,1.000063887773106,9227.49144857835,6900.670153233077
"b_Intercept[phi4,3]",5.669856193031663,5.5857667013945775,0.8499233770624718,0.8305876672771637,4.425420559941929,7.170641538351385,0.9999049667912747,10628.176287575008,7208.976310632478
b_base_modelgemma3:anchor_example,0.07020165592901524,0.07412818657368013,0.6783712471626773,0.6738870567158081,-1.0556535193651442,1.191157612069313,1.002316590454527,13345.25536456475,6000.137793617519
b_base_modelllama:anchor_example,-0.5628968065068815,-0.5643977923956334,0.3651504488456988,0.370928883476663,-1.1615600756433386,0.04102314754474738,1.0009005750868003,12393.895345442696,6325.308842493548
b_base_modelmistral:anchor_example,0.030387992405625123,0.03728334357858836,0.6670814872854004,0.6718431335017495,-1.0512988393376816,1.1346858807197155,0.9999262767889179,13607.457071104544,6254.9205803483765
b_base_modelphi4:anchor_example,0.07521064316634908,0.08699172743692124,0.6681938372499071,0.678720402024354,-1.0356780504784426,1.1690361498336341,1.0010224985865306,12263.222054936079,5625.847687754974
b_base_modelgemma3:anchor_word,0.06637692964676155,0.07367402459546762,0.6782175023982179,0.6874284461047139,-1.0383174387399754,1.193660401547258,1.0000832207718424,13278.572780945526,6552.102985546707
b_base_modelllama:anchor_word,0.4421099694544802,0.44673680382628345,0.34720415475437044,0.3476792189469638,-0.12895367663478877,1.0090499513421616,1.0001890323822515,10086.850457506205,5494.679284983409
b_base_modelmistral:anchor_word,0.45649397573321165,0.4536493172286663,0.6598104950720061,0.6758476310112818,-0.6331080707644987,1.5311135234526168,1.0000145788036574,11705.664094274185,6122.985354446156
b_base_modelphi4:anchor_word,0.06948630046792525,0.06441093781600545,0.6761729101106569,0.6807081732455175,-1.040657107917942,1.1901785959025397,1.0008226502404005,12844.025180580906,5856.323234806007
b_base_modelgemma3:anchor_num_high,0.06669889104979991,0.06686346713510712,0.6771020734931487,0.6847821213117009,-1.0430811748702322,1.166104312655556,0.999903308513982,12508.923231579607,5858.297194879495
b_base_modelllama:anchor_num_high,0.34376693463746305,0.3505616570288843,0.3557576742058955,0.3609173941670351,-0.23505619808611772,0.9199110358847309,1.0001382128893161,11012.500264907616,6378.363128918118
