prior_name,effect_prior_sd,base_model,anchor_type,comparison,threshold_structure,log_odds_median,log_odds_l95,log_odds_u95,OR_median,OR_l95,OR_u95,posterior_probability_OR_gt_1,posterior_probability_OR_lt_1,conclusion
regularizing,0.75,gemma3,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,base-model-specific,0.07412818657368013,-1.260725054724548,1.4184783662640197,1.0769448465449685,0.2834484472321532,4.130830145330737,0.544875,0.455125,uncertain
primary,1.5,gemma3,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,base-model-specific,0.20473558171835637,-1.8207064796180101,2.3742915670068814,1.2272005447858922,0.16191134235078075,10.74339955164336,0.577,0.423,uncertain
weak,2.5,gemma3,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,base-model-specific,0.3667391450821702,-2.1580551741633056,3.031896829011115,1.4430214604146245,0.11554963125152819,20.736532559221107,0.612375,0.387625,uncertain
regularizing,0.75,gemma3,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,base-model-specific,0.06686346713510712,-1.2478057116638277,1.3891626399443284,1.069149496032428,0.2871341834251142,4.011489623481919,0.53775,0.46225,uncertain
primary,1.5,gemma3,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,base-model-specific,0.22896085040411096,-1.8112167751284296,2.3525881329022202,1.257292931536862,0.16345517741803317,10.512744052528259,0.57875,0.42125,uncertain
weak,2.5,gemma3,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,base-model-specific,0.37963104093981664,-2.1705234455276323,3.0026538743897593,1.461745190126303,0.11411786905211556,20.13891254402161,0.60875,0.39125,uncertain
regularizing,0.75,gemma3,ANCHOR_NUM_LOW,ANCHOR_NUM_LOW vs CONTEXT,base-model-specific,0.0688420555149209,-1.208775912930745,1.3576001722277442,1.071267041965479,0.2985625228938639,3.8868545710121545,0.5425,0.4575,uncertain
primary,1.5,gemma3,ANCHOR_NUM_LOW,ANCHOR_NUM_LOW vs CONTEXT,base-model-specific,0.2313601286807908,-1.7845429010281308,2.430112047249898,1.2603131213249559,0.16787377851611746,11.360154887459332,0.580875,0.419125,uncertain
weak,2.5,gemma3,ANCHOR_NUM_LOW,ANCHOR_NUM_LOW vs CONTEXT,base-model-specific,0.3389024444908605,-2.108417529472907,3.07847305555318,1.4034064453072483,0.12142999759043452,21.72520485836044,0.601125,0.398875,uncertain
regularizing,0.75,gemma3,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,base-model-specific,0.07367402459546762,-1.246916982421627,1.4008650485108218,1.0764558512386286,0.28738946697714207,4.058709431283396,0.53825,0.46175,uncertain
