prior_name,effect_prior_sd,base_model,comparison,rating,n_observed,observed_proportion,predicted_mean,predicted_median,predicted_l95,predicted_u95,observed_within_predictive_95,absolute_difference
primary,1.5,gemma3,ANCHOR_EXAMPLE,1,30,0,0.006466666666666668,0,0,0.06666666666666667,TRUE,0
primary,1.5,gemma3,ANCHOR_EXAMPLE,2,30,0,0.004766666666666669,0,0,0.03333333333333333,TRUE,0
primary,1.5,gemma3,ANCHOR_EXAMPLE,3,30,1,0.9813,1,0.9,1,TRUE,0
primary,1.5,gemma3,ANCHOR_EXAMPLE,4,30,0,0.007466666666666662,0,0,0.06666666666666667,TRUE,0
primary,1.5,gemma3,ANCHOR_NUM_HIGH,1,30,0,0.0062,0,0,0.06666666666666667,TRUE,0
primary,1.5,gemma3,ANCHOR_NUM_HIGH,2,30,0,0.004133333333333334,0,0,0.03333333333333333,TRUE,0
primary,1.5,gemma3,ANCHOR_NUM_HIGH,3,30,1,0.9828333333333333,1,0.9325000000000001,1,TRUE,0
primary,1.5,gemma3,ANCHOR_NUM_HIGH,4,30,0,0.006833333333333339,0,0,0.06666666666666667,TRUE,0
primary,1.5,gemma3,ANCHOR_NUM_LOW,1,30,0,0.0064666666666666674,0,0,0.06666666666666667,TRUE,0
primary,1.5,gemma3,ANCHOR_NUM_LOW,2,30,0,0.004666666666666669,0,0,0.03333333333333333,TRUE,0
primary,1.5,gemma3,ANCHOR_NUM_LOW,3,30,1,0.9810333333333333,1,0.9,1,TRUE,0
primary,1.5,gemma3,ANCHOR_NUM_LOW,4,30,0,0.007833333333333326,0,0,0.06666666666666667,TRUE,0
primary,1.5,gemma3,ANCHOR_WORD,1,30,0,0.006166666666666669,0,0,0.06666666666666667,TRUE,0
primary,1.5,gemma3,ANCHOR_WORD,2,30,0,0.004233333333333334,0,0,0.03333333333333333,TRUE,0
primary,1.5,gemma3,ANCHOR_WORD,3,30,1,0.9832,1,0.9,1,TRUE,0
primary,1.5,gemma3,ANCHOR_WORD,4,30,0,0.006399999999999991,0,0,0.06666666666666667,TRUE,0
primary,1.5,gemma3,CONTEXT,1,150,0,0.0048133333333333335,0,0,0.02666666666666667,TRUE,0
primary,1.5,gemma3,CONTEXT,2,150,0,0.0037533333333333338,0,0,0.02,TRUE,0
primary,1.5,gemma3,CONTEXT,3,150,1,0.98752,0.9933333333333333,0.96,1,TRUE,0.00666666666666671
primary,1.5,gemma3,CONTEXT,4,150,0,0.003913333333333333,0,0,0.02,TRUE,0
primary,1.5,llama,ANCHOR_EXAMPLE,1,30,0,0.035133333333333336,0.03333333333333333,0,0.13333333333333333,TRUE,0.03333333333333333
primary,1.5,llama,ANCHOR_EXAMPLE,2,30,0.13333333333333333,0.1393,0.13333333333333333,0.03333333333333333,0.3333333333333333,TRUE,0
primary,1.5,llama,ANCHOR_EXAMPLE,3,30,0.7666666666666667,0.6761333333333334,0.6666666666666666,0.5,0.8333333333333334,TRUE,0.10000000000000009
primary,1.5,llama,ANCHOR_EXAMPLE,4,30,0.1,0.14943333333333333,0.13333333333333333,0.03333333333333333,0.3333333333333333,TRUE,0.033333333333333326
primary,1.5,llama,ANCHOR_NUM_HIGH,1,30,0,0.013299999999999998,0,0,0.06666666666666667,TRUE,0
primary,1.5,llama,ANCHOR_NUM_HIGH,2,30,0.1,0.054266666666666664,0.03333333333333333,0,0.16666666666666666,TRUE,0.06666666666666668
primary,1.5,llama,ANCHOR_NUM_HIGH,3,30,0.5333333333333333,0.5917,0.6,0.36666666666666664,0.8,TRUE,0.06666666666666665
primary,1.5,llama,ANCHOR_NUM_HIGH,4,30,0.36666666666666664,0.34073333333333333,0.3333333333333333,0.13333333333333333,0.5666666666666667,TRUE,0.033333333333333326
primary,1.5,llama,ANCHOR_NUM_LOW,1,30,0,0.015600000000000003,0,0,0.06666666666666667,TRUE,0
primary,1.5,llama,ANCHOR_NUM_LOW,2,30,0.1,0.06703333333333333,0.06666666666666667,0,0.2,TRUE,0.03333333333333334
primary,1.5,llama,ANCHOR_NUM_LOW,3,30,0.6,0.62716666666666665,0.6333333333333333,0.4,0.8,TRUE,0.033333333333333326
primary,1.5,llama,ANCHOR_NUM_LOW,4,30,0.3,0.2902,0.26666666666666666,0.1,0.5333333333333333,TRUE,0.033333333333333326
primary,1.5,llama,ANCHOR_WORD,1,30,0,0.010433333333333336,0,0,0.06666666666666667,TRUE,0
primary,1.5,llama,ANCHOR_WORD,2,30,0,0.05033333333333332,0.03333333333333333,0,0.16666666666666666,TRUE,0.03333333333333333
primary,1.5,llama,ANCHOR_WORD,3,30,0.6666666666666666,0.5767666666666666,0.5666666666666667,0.3333333333333333,0.8,TRUE,0.09999999999999998
primary,1.5,llama,ANCHOR_WORD,4,30,0.3333333333333333,0.36246666666666666,0.36666666666666664,0.13333333333333333,0.6,TRUE,0.033333333333333326
primary,1.5,llama,CONTEXT,1,150,0.02666666666666667,0.01754,0.013333333333333334,0,0.04666666666666667,TRUE,0.013333333333333334
primary,1.5,llama,CONTEXT,2,150,0.06666666666666667,0.07548666666666667,0.07333333333333333,0.02666666666666667,0.14,TRUE,0.006666666666666668
primary,1.5,llama,CONTEXT,3,150,0.6466666666666666,0.6544533333333333,0.6533333333333333,0.5533333333333333,0.7533333333333333,TRUE,0.00666666666666671
primary,1.5,llama,CONTEXT,4,150,0.26,0.25252,0.25333333333333335,0.16,0.35333333333333333,TRUE,0.006666666666666654
primary,1.5,mistral,ANCHOR_EXAMPLE,1,30,0,0.007500000000000001,0,0,0.06666666666666667,TRUE,0
primary,1.5,mistral,ANCHOR_EXAMPLE,2,30,0,0.004466666666666663,0,0,0.03333333333333333,TRUE,0
primary,1.5,mistral,ANCHOR_EXAMPLE,3,30,1,0.9790666666666666,1,0.9,1,TRUE,0
primary,1.5,mistral,ANCHOR_EXAMPLE,4,30,0,0.008966666666666656,0,0,0.06666666666666667,TRUE,0
primary,1.5,mistral,ANCHOR_NUM_HIGH,1,30,0,0.006833333333333334,0,0,0.06666666666666667,TRUE,0
primary,1.5,mistral,ANCHOR_NUM_HIGH,2,30,0,0.004499999999999997,0,0,0.03333333333333333,TRUE,0
primary,1.5,mistral,ANCHOR_NUM_HIGH,3,30,1,0.9794666666666667,1,0.9,1,TRUE,0
primary,1.5,mistral,ANCHOR_NUM_HIGH,4,30,0,0.009199999999999995,0,0,0.06666666666666667,TRUE,0
primary,1.5,mistral,ANCHOR_NUM_LOW,1,30,0,0.007033333333333326,0,0,0.06666666666666667,TRUE,0
primary,1.5,mistral,ANCHOR_NUM_LOW,2,30,0,0.0040333333333333315,0,0,0.03333333333333333,TRUE,0
primary,1.5,mistral,ANCHOR_NUM_LOW,3,30,1,0.9797333333333333,1,0.9,1,TRUE,0
primary,1.5,mistral,ANCHOR_NUM_LOW,4,30,0,0.009199999999999996,0,0,0.06666666666666667,TRUE,0
primary,1.5,mistral,ANCHOR_WORD,1,30,0,0.003066666666666669,0,0,0.03333333333333333,TRUE,0
primary,1.5,mistral,ANCHOR_WORD,2,30,0,0.001666666666666665,0,0,0.03333333333333333,TRUE,0
primary,1.5,mistral,ANCHOR_WORD,3,30,0.9666666666666667,0.9750666666666666,1,0.8991666666666667,1,TRUE,0.033333333333333326
primary,1.5,mistral,ANCHOR_WORD,4,30,0.03333333333333333,0.020200000000000003,0,0,0.1,TRUE,0.03333333333333333
primary,1.5,mistral,CONTEXT,1,150,0,0.0055333333333333345,0,0,0.02666666666666667,TRUE,0
primary,1.5,mistral,CONTEXT,2,150,0,0.0037933333333333343,0,0,0.02,TRUE,0
primary,1.5,mistral,CONTEXT,3,150,1,0.9847333333333333,0.9866666666666667,0.96,1,TRUE,0.013333333333333308
primary,1.5,mistral,CONTEXT,4,150,0,0.00594,0.006666666666666667,0,0.02666666666666667,TRUE,0.006666666666666667
primary,1.5,phi4,ANCHOR_EXAMPLE,1,30,0,0.006266666666666674,0,0,0.06666666666666667,TRUE,0
primary,1.5,phi4,ANCHOR_EXAMPLE,2,30,0,0.0046999999999999984,0,0,0.03333333333333333,TRUE,0
primary,1.5,phi4,ANCHOR_EXAMPLE,3,30,1,0.9813,1,0.9,1,TRUE,0
primary,1.5,phi4,ANCHOR_EXAMPLE,4,30,0,0.007733333333333334,0,0,0.06666666666666667,TRUE,0
primary,1.5,phi4,ANCHOR_NUM_HIGH,1,30,0,0.006499999999999998,0,0,0.06666666666666667,TRUE,0
primary,1.5,phi4,ANCHOR_NUM_HIGH,2,30,0,0.003966666666666663,0,0,0.03333333333333333,TRUE,0
primary,1.5,phi4,ANCHOR_NUM_HIGH,3,30,1,0.9831,1,0.9,1,TRUE,0
primary,1.5,phi4,ANCHOR_NUM_HIGH,4,30,0,0.006433333333333329,0,0,0.06666666666666667,TRUE,0
primary,1.5,phi4,ANCHOR_NUM_LOW,1,30,0,0.006266666666666668,0,0,0.06666666666666667,TRUE,0
primary,1.5,phi4,ANCHOR_NUM_LOW,2,30,0,0.005366666666666657,0,0,0.03333333333333333,TRUE,0
primary,1.5,phi4,ANCHOR_NUM_LOW,3,30,1,0.9804666666666667,1,0.9,1,TRUE,0
primary,1.5,phi4,ANCHOR_NUM_LOW,4,30,0,0.00789999999999999,0,0,0.06666666666666667,TRUE,0
primary,1.5,phi4,ANCHOR_WORD,1,30,0,0.0058,0,0,0.03333333333333333,TRUE,0
primary,1.5,phi4,ANCHOR_WORD,2,30,0,0.004166666666666674,0,0,0.03333333333333333,TRUE,0
primary,1.5,phi4,ANCHOR_WORD,3,30,1,0.9821666666666666,1,0.9,1,TRUE,0
primary,1.5,phi4,ANCHOR_WORD,4,30,0,0.007866666666666671,0,0,0.06666666666666667,TRUE,0
primary,1.5,phi4,CONTEXT,1,150,0,0.004993333333333336,0,0,0.02666666666666667,TRUE,0
primary,1.5,phi4,CONTEXT,2,150,0,0.004060000000000002,0,0,0.02666666666666667,TRUE,0
primary,1.5,phi4,CONTEXT,3,150,1,0.9867733333333333,0.9866666666666667,0.96,1,TRUE,0.013333333333333308
primary,1.5,phi4,CONTEXT,4,150,0,0.0041733333333333344,0,0,0.02,TRUE,0
regularizing,0.75,gemma3,ANCHOR_EXAMPLE,1,30,0,0.006566666666666665,0,0,0.03333333333333333,TRUE,0
regularizing,0.75,gemma3,ANCHOR_EXAMPLE,2,30,0,0.004666666666666671,0,0,0.03333333333333333,TRUE,0
regularizing,0.75,gemma3,ANCHOR_EXAMPLE,3,30,1,0.9822333333333333,1,0.9333333333333333,1,TRUE,0
regularizing,0.75,gemma3,ANCHOR_EXAMPLE,4,30,0,0.006533333333333327,0,0,0.06666666666666667,TRUE,0
regularizing,0.75,gemma3,ANCHOR_NUM_HIGH,1,30,0,0.005633333333333336,0,0,0.06666666666666667,TRUE,0
regularizing,0.75,gemma3,ANCHOR_NUM_HIGH,2,30,0,0.004633333333333336,0,0,0.03333333333333333,TRUE,0
regularizing,0.75,gemma3,ANCHOR_NUM_HIGH,3,30,1,0.9837,1,0.9333333333333333,1,TRUE,0
regularizing,0.75,gemma3,ANCHOR_NUM_HIGH,4,30,0,0.006033333333333331,0,0,0.06666666666666667,TRUE,0
regularizing,0.75,gemma3,ANCHOR_NUM_LOW,1,30,0,0.005299999999999998,0,0,0.03333333333333333,TRUE,0
regularizing,0.75,gemma3,ANCHOR_NUM_LOW,2,30,0,0.004333333333333335,0,0,0.03333333333333333,TRUE,0
regularizing,0.75,gemma3,ANCHOR_NUM_LOW,3,30,1,0.9843333333333333,1,0.9333333333333333,1,TRUE,0
regularizing,0.75,gemma3,ANCHOR_NUM_LOW,4,30,0,0.006033333333333328,0,0,0.03333333333333333,TRUE,0
regularizing,0.75,gemma3,ANCHOR_WORD,1,30,0,0.005133333333333335,0,0,0.03333333333333333,TRUE,0
regularizing,0.75,gemma3,ANCHOR_WORD,2,30,0,0.004133333333333339,0,0,0.03333333333333333,TRUE,0
regularizing,0.75,gemma3,ANCHOR_WORD,3,30,1,0.9858,1,0.9333333333333333,1,TRUE,0
regularizing,0.75,gemma3,ANCHOR_WORD,4,30,0,0.004933333333333328,0,0,0.03333333333333333,TRUE,0
regularizing,0.75,gemma3,CONTEXT,1,150,0,0.00498,0,0,0.020166666666666513,TRUE,0
regularizing,0.75,gemma3,CONTEXT,2,150,0,0.003573333333333333,0,0,0.02,TRUE,0
regularizing,0.75,gemma3,CONTEXT,3,150,1,0.9868066666666666,0.9866666666666667,0.96,1,TRUE,0.013333333333333308
regularizing,0.75,gemma3,CONTEXT,4,150,0,0.004640000000000001,0,0,0.02,TRUE,0
regularizing,0.75,llama,ANCHOR_EXAMPLE,1,30,0,0.03386666666666667,0.03333333333333333,0,0.13333333333333333,TRUE,0.03333333333333333
regularizing,0.75,llama,ANCHOR_EXAMPLE,2,30,0.13333333333333333,0.12543333333333334,0.11666666666666667,0,0.3,TRUE,0.016666666666666663
regularizing,0.75,llama,ANCHOR_EXAMPLE,3,30,0.7666666666666667,0.6754666666666667,0.6666666666666666,0.5,0.8666666666666667,TRUE,0.10000000000000009
regularizing,0.75,llama,ANCHOR_EXAMPLE,4,30,0.1,0.16523333333333334,0.16666666666666666,0.03333333333333333,0.3333333333333333,TRUE,0.06666666666666665
regularizing,0.75,llama,ANCHOR_NUM_HIGH,1,30,0,0.014166666666666664,0,0,0.06666666666666667,TRUE,0
regularizing,0.75,llama,ANCHOR_NUM_HIGH,2,30,0.1,0.0597,0.03333333333333333,0,0.16666666666666666,TRUE,0.06666666666666668
regularizing,0.75,llama,ANCHOR_NUM_HIGH,3,30,0.5333333333333333,0.5966666666666667,0.6,0.36666666666666664,0.8,TRUE,0.06666666666666665
regularizing,0.75,llama,ANCHOR_NUM_HIGH,4,30,0.36666666666666664,0.3294666666666667,0.3333333333333333,0.13333333333333333,0.5666666666666667,TRUE,0.033333333333333326
regularizing,0.75,llama,ANCHOR_NUM_LOW,1,30,0,0.015533333333333336,0,0,0.06666666666666667,TRUE,0
regularizing,0.75,llama,ANCHOR_NUM_LOW,2,30,0.1,0.0669,0.06666666666666667,0,0.2,TRUE,0.03333333333333334
regularizing,0.75,llama,ANCHOR_NUM_LOW,3,30,0.6,0.6316666666666666,0.6333333333333333,0.4325000000000001,0.8008333333333326,TRUE,0.033333333333333326
regularizing,0.75,llama,ANCHOR_NUM_LOW,4,30,0.3,0.2859,0.26666666666666666,0.1,0.5008333333333326,TRUE,0.033333333333333326
regularizing,0.75,llama,ANCHOR_WORD,1,30,0,0.011766666666666679,0,0,0.06666666666666667,TRUE,0
regularizing,0.75,llama,ANCHOR_WORD,2,30,0,0.053433333333333326,0.03333333333333333,0,0.16666666666666666,TRUE,0.03333333333333333
regularizing,0.75,llama,ANCHOR_WORD,3,30,0.6666666666666666,0.5851,0.6,0.36666666666666664,0.8,TRUE,0.06666666666666665
regularizing,0.75,llama,ANCHOR_WORD,4,30,0.3333333333333333,0.3497,0.3333333333333333,0.13333333333333333,0.6,TRUE,0
regularizing,0.75,llama,CONTEXT,1,150,0.02666666666666667,0.017833333333333336,0.013333333333333334,0,0.04666666666666667,TRUE,0.013333333333333334
regularizing,0.75,llama,CONTEXT,2,150,0.06666666666666667,0.07514666666666667,0.07333333333333333,0.02666666666666667,0.13333333333333333,TRUE,0.006666666666666668
regularizing,0.75,llama,CONTEXT,3,150,0.6466666666666666,0.6523466666666666,0.6533333333333333,0.56,0.7466666666666667,TRUE,0.00666666666666671
regularizing,0.75,llama,CONTEXT,4,150,0.26,0.25467333333333336,0.25333333333333335,0.17333333333333334,0.3466666666666667,TRUE,0.006666666666666654
regularizing,0.75,mistral,ANCHOR_EXAMPLE,1,30,0,0.007066666666666662,0,0,0.06666666666666667,TRUE,0
regularizing,0.75,mistral,ANCHOR_EXAMPLE,2,30,0,0.004833333333333339,0,0,0.03333333333333333,TRUE,0
regularizing,0.75,mistral,ANCHOR_EXAMPLE,3,30,1,0.9790666666666666,1,0.9,1,TRUE,0
regularizing,0.75,mistral,ANCHOR_EXAMPLE,4,30,0,0.009033333333333332,0,0,0.06666666666666667,TRUE,0
regularizing,0.75,mistral,ANCHOR_NUM_HIGH,1,30,0,0.005833333333333336,0,0,0.03416666666666591,TRUE,0
regularizing,0.75,mistral,ANCHOR_NUM_HIGH,2,30,0,0.004366666666666669,0,0,0.03333333333333333,TRUE,0
regularizing,0.75,mistral,ANCHOR_NUM_HIGH,3,30,1,0.9808,1,0.9,1,TRUE,0
regularizing,0.75,mistral,ANCHOR_NUM_HIGH,4,30,0,0.008999999999999987,0,0,0.06666666666666667,TRUE,0
regularizing,0.75,mistral,ANCHOR_NUM_LOW,1,30,0,0.006433333333333334,0,0,0.06666666666666667,TRUE,0
regularizing,0.75,mistral,ANCHOR_NUM_LOW,2,30,0,0.004766666666666664,0,0,0.03333333333333333,TRUE,0
regularizing,0.75,mistral,ANCHOR_NUM_LOW,3,30,1,0.9797333333333333,1,0.9,1,TRUE,0
regularizing,0.75,mistral,ANCHOR_NUM_LOW,4,30,0,0.009066666666666667,0,0,0.06666666666666667,TRUE,0
regularizing,0.75,mistral,ANCHOR_WORD,1,30,0,0.0037666666666666647,0,0,0.03333333333333333,TRUE,0
regularizing,0.75,mistral,ANCHOR_WORD,2,30,0,0.0024333333333333316,0,0,0.03333333333333333,TRUE,0
regularizing,0.75,mistral,ANCHOR_WORD,3,30,0.9666666666666667,0.9806333333333334,1,0.9,1,TRUE,0.033333333333333326
regularizing,0.75,mistral,ANCHOR_WORD,4,30,0.03333333333333333,0.013166666666666658,0,0,0.06666666666666667,TRUE,0.03333333333333333
regularizing,0.75,mistral,CONTEXT,1,150,0,0.005186666666666666,0,0,0.02666666666666667,TRUE,0
regularizing,0.75,mistral,CONTEXT,2,150,0,0.0035866666666666664,0,0,0.02,TRUE,0
regularizing,0.75,mistral,CONTEXT,3,150,1,0.9837533333333334,0.9866666666666667,0.9533333333333334,1,TRUE,0.013333333333333308
regularizing,0.75,mistral,CONTEXT,4,150,0,0.0074733333333333336,0.006666666666666667,0,0.02666666666666667,TRUE,0.006666666666666667
regularizing,0.75,phi4,ANCHOR_EXAMPLE,1,30,0,0.006700000000000002,0,0,0.06666666666666667,TRUE,0
regularizing,0.75,phi4,ANCHOR_EXAMPLE,2,30,0,0.004533333333333331,0,0,0.03333333333333333,TRUE,0
regularizing,0.75,phi4,ANCHOR_EXAMPLE,3,30,1,0.9821,1,0.9,1,TRUE,0
regularizing,0.75,phi4,ANCHOR_EXAMPLE,4,30,0,0.006666666666666669,0,0,0.03333333333333333,TRUE,0
