prior_name,effect_prior_sd,base_model,comparison,rating,n_observed,observed_proportion,predicted_mean,predicted_median,predicted_l95,predicted_u95,observed_within_predictive_95,absolute_difference
weak,2.5,gemma3,CONTEXT,1,150,0,0.004439999999999998,0,0,0.02,TRUE,0
weak,2.5,gemma3,CONTEXT,2,150,0,0.0037066666666666663,0,0,0.02,TRUE,0
weak,2.5,gemma3,CONTEXT,3,150,1,0.9882,0.9933333333333333,0.96,1,TRUE,0.00666666666666671
weak,2.5,gemma3,CONTEXT,4,150,0,0.0036533333333333353,0,0,0.02,TRUE,0
weak,2.5,gemma3,ANCHOR_EXAMPLE,1,30,0,0.0068000000000000005,0,0,0.06666666666666667,TRUE,0
weak,2.5,gemma3,ANCHOR_EXAMPLE,2,30,0,0.004566666666666667,0,0,0.03333333333333333,TRUE,0
weak,2.5,gemma3,ANCHOR_EXAMPLE,3,30,1,0.9806666666666667,1,0.9,1,TRUE,0
weak,2.5,gemma3,ANCHOR_EXAMPLE,4,30,0,0.007966666666666669,0,0,0.06666666666666667,TRUE,0
weak,2.5,gemma3,ANCHOR_WORD,1,30,0,0.005966666666666662,0,0,0.06666666666666667,TRUE,0
weak,2.5,gemma3,ANCHOR_WORD,2,30,0,0.004533333333333332,0,0,0.03333333333333333,TRUE,0
weak,2.5,gemma3,ANCHOR_WORD,3,30,1,0.9816333333333334,1,0.9,1,TRUE,0
weak,2.5,gemma3,ANCHOR_WORD,4,30,0,0.007866666666666666,0,0,0.06666666666666667,TRUE,0
weak,2.5,gemma3,ANCHOR_NUM_HIGH,1,30,0,0.006333333333333337,0,0,0.06666666666666667,TRUE,0
weak,2.5,gemma3,ANCHOR_NUM_HIGH,2,30,0,0.00416666666666667,0,0,0.03333333333333333,TRUE,0
weak,2.5,gemma3,ANCHOR_NUM_HIGH,3,30,1,0.9803666666666667,1,0.9,1,TRUE,0
weak,2.5,gemma3,ANCHOR_NUM_HIGH,4,30,0,0.009133333333333328,0,0,0.06666666666666667,TRUE,0
weak,2.5,gemma3,ANCHOR_NUM_LOW,1,30,0,0.006166666666666671,0,0,0.06666666666666667,TRUE,0
weak,2.5,gemma3,ANCHOR_NUM_LOW,2,30,0,0.003900000000000001,0,0,0.03333333333333333,TRUE,0
weak,2.5,gemma3,ANCHOR_NUM_LOW,3,30,1,0.9804666666666667,1,0.9,1,TRUE,0
weak,2.5,gemma3,ANCHOR_NUM_LOW,4,30,0,0.009466666666666665,0,0,0.06666666666666667,TRUE,0
weak,2.5,llama,CONTEXT,1,150,0.02666666666666667,0.017859999999999997,0.013333333333333334,0,0.05333333333333334,TRUE,0.013333333333333334
weak,2.5,llama,CONTEXT,2,150,0.06666666666666667,0.07434666666666667,0.07333333333333333,0.02666666666666667,0.14,TRUE,0.006666666666666668
weak,2.5,llama,CONTEXT,3,150,0.6466666666666666,0.6549866666666666,0.6533333333333333,0.56,0.7466666666666667,TRUE,0.00666666666666671
