variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
"b_Intercept[gemma3,1]",-5.588210029007496,-5.521838208201679,0.8695983715150802,0.828474659981616,-7.169756410172483,-4.28288908190552,1.000442304684195,5714.711173721491,5189.925250112315
"b_Intercept[gemma3,2]",-4.921110178072316,-4.889537777638091,0.6923228572952245,0.6851629357534069,-6.138516001009367,-3.8493231736329068,1.0005176718106934,7192.894328542893,6544.051061114618
"b_Intercept[gemma3,3]",6.05247912947561,5.972039556804608,0.9664571554386534,0.9507046524155564,4.593968212521342,7.761674381700196,1.0001157522311483,8952.59014749184,6846.443679600123
"b_Intercept[llama,1]",-4.099600899346648,-4.072925757188177,0.48242542209070366,0.4704682044410213,-4.939061421433167,-3.3664971941614867,1.0003439167612684,5151.097522756111,4314.708075938957
"b_Intercept[llama,2]",-2.2936997841248075,-2.2886586260479707,0.24101732469618933,0.23580923062580184,-2.7017187230178403,-1.907832663091184,1.0005059295855665,8107.994847785486,6575.439567999494
"b_Intercept[llama,3]",1.101674738759168,1.0981783891280184,0.17701002749012684,0.1754471470167601,0.817758419817253,1.403396268106808,0.9999262506962122,8189.165758065633,6590.46656773269
"b_Intercept[mistral,1]",-5.514904535864408,-5.442033808520769,0.867975359832095,0.850537200389217,-7.063072453205393,-4.245768198427815,1.0003854812701194,6862.310187771249,5044.781241381486
"b_Intercept[mistral,2]",-4.849867535222408,-4.811769352241865,0.678592605453391,0.6827411440022301,-6.044187848668787,-3.8214755270255076,1.0003748725546369,8859.674426529127,7047.308261752914
"b_Intercept[mistral,3]",5.7052604284254835,5.643456776170849,0.8724461635058449,0.8779688268586376,4.371080823917782,7.238629838770605,1.0003047094651427,6732.40905522361,6899.027211505587
"b_Intercept[phi4,1]",-5.562349972156918,-5.473902542600847,0.8769201076692088,0.8319733010061995,-7.124457308737927,-4.281619781097152,0.9999111869298702,6535.994207877206,5171.273171842405
"b_Intercept[phi4,2]",-4.915752466296099,-4.8742164155470356,0.688499903818748,0.6801308845778864,-6.131904973180113,-3.868717076534998,1.000118373982105,7400.650741866249,6179.42618363404
"b_Intercept[phi4,3]",6.069548781768706,6.011736749819194,0.9531157436880967,0.9291349024500898,4.623752427709711,7.7473841682712266,1.0004679794377649,8410.512309078864,6900.917038243504
b_base_modelgemma3:anchor_example,0.40900919845102995,0.3667391450821702,1.3357290790844956,1.3580578615643748,-1.7385315146165365,2.667303641916619,0.9997245105817888,9920.57713452532,6088.771609708757
b_base_modelllama:anchor_example,-0.6786504658432073,-0.6814735344628293,0.4075911052210588,0.4174677775385326,-1.3520902024309283,-0.009031341240736457,1.000477484506853,9631.99579878766,6500.95839623654
b_base_modelmistral:anchor_example,0.2906985111678053,0.28029244058990554,1.304058838311086,1.3356994248355354,-1.8154791344426833,2.442891361873008,1.0004137673325713,9911.339113978103,6471.498421631348
b_base_modelphi4:anchor_example,0.4071449779405602,0.37189358024910496,1.3705190919690395,1.3905339460084085,-1.7889333868625519,2.7230410100634064,1.0008586996235005,9818.445423504885,5842.290245873508
b_base_modelgemma3:anchor_word,0.4099192878270934,0.4057987800949213,1.356394461315296,1.3874454108941525,-1.7900635101779356,2.6594380266321913,1.0001883781817607,9343.706056511675,6267.140200860956
b_base_modelllama:anchor_word,0.5478127973986117,0.5457776378779517,0.38617099276479777,0.38881627735097335,-0.09013362234194162,1.1783541139367952,1.0000234539788775,11043.589204882883,6079.508319600958
b_base_modelmistral:anchor_word,1.654361372614591,1.6876308392110828,1.2517880083824264,1.2582070744942608,-0.4255617211767662,3.6455755639491945,1.000236460369705,8786.999573237448,6333.336619233449
b_base_modelphi4:anchor_word,0.4000445900136943,0.3748955180517133,1.3492892775797225,1.3778334518536832,-1.7932739275430245,2.6467869492849805,1.0015472893956974,9342.605680775065,6109.449207855455
b_base_modelgemma3:anchor_num_high,0.3960111266833486,0.37963104093981664,1.3440035435334958,1.3973548115496248,-1.7528657176060662,2.6191869573056117,1.0004498440277703,9693.720441780031,6071.938994395586
b_base_modelllama:anchor_num_high,0.42287747526155695,0.42156981475071464,0.40641981069600736,0.4002728860076569,-0.24704615254519652,1.0854368283714346,1.0006149399629196,11160.618241075044,5902.777149179375
b_base_modelmistral:anchor_num_high,0.3260553285491718,0.3002530383494906,1.2898955067483264,1.2997975092673244,-1.7383622221632082,2.4747777442678935,1.000832932206623,10010.462853263487,5869.793453341062
b_base_modelphi4:anchor_num_high,0.4028038641121532,0.3766329155452637,1.3508380354426295,1.3974753264023678,-1.7698406764085324,2.646460053065214,1.0002747014135385,9115.871109301112,6416.2476178800525
b_base_modelgemma3:anchor_num_low,0.38503522943662627,0.3389024444908605,1.3379184062303424,1.3714119296521756,-1.7468292419486275,2.608897988163836,0.9999929909681964,9479.714676010812,6572.343326958314
b_base_modelllama:anchor_num_low,0.16717326209134759,0.17089052035912522,0.4112049289490965,0.40784431073960414,-0.5228699462005699,0.8349922413146544,0.9999309821804133,10106.885340194869,5902.270229780755
b_base_modelmistral:anchor_num_low,0.3180710976983578,0.2895114829220406,1.2969331242840099,1.3022648868996503,-1.7838100172312037,2.4834813384421413,0.9999138608752084,9563.176498228719,6172.434992280049
b_base_modelphi4:anchor_num_low,0.4027167610733883,0.3609223817755506,1.34712438677394,1.3573154826695628,-1.7633076767170675,2.6954556404022707,1.0004537867890715,9404.951600791694,6371.044071916128
disc,1,1,0,0,1,1,NA,NA,NA
Intercept_1[1],-5.588210029007496,-5.521838208201679,0.8695983715150802,0.828474659981616,-7.169756410172483,-4.28288908190552,1.000442304684195,5714.711173721491,5189.925250112315
Intercept_1[2],-4.921110178072316,-4.889537777638091,0.6923228572952245,0.6851629357534069,-6.138516001009367,-3.8493231736329068,1.0005176718106934,7192.894328542893,6544.051061114618
Intercept_1[3],6.05247912947561,5.972039556804608,0.9664571554386534,0.9507046524155564,4.593968212521342,7.761674381700196,1.0001157522311483,8952.59014749184,6846.443679600123
Intercept_2[1],-4.099600899346648,-4.072925757188177,0.48242542209070366,0.4704682044410213,-4.939061421433167,-3.3664971941614867,1.0003439167612684,5151.097522756111,4314.708075938957
Intercept_2[2],-2.2936997841248075,-2.2886586260479707,0.24101732469618933,0.23580923062580184,-2.7017187230178403,-1.907832663091184,1.0005059295855665,8107.994847785486,6575.439567999494
Intercept_2[3],1.101674738759168,1.0981783891280184,0.17701002749012684,0.1754471470167601,0.817758419817253,1.403396268106808,0.9999262506962122,8189.165758065633,6590.46656773269
Intercept_3[1],-5.514904535864408,-5.442033808520769,0.867975359832095,0.850537200389217,-7.063072453205393,-4.245768198427815,1.0003854812701194,6862.310187771249,5044.781241381486
Intercept_3[2],-4.849867535222408,-4.811769352241865,0.678592605453391,0.6827411440022301,-6.044187848668787,-3.8214755270255076,1.0003748725546369,8859.674426529127,7047.308261752914
Intercept_3[3],5.7052604284254835,5.643456776170849,0.8724461635058449,0.8779688268586376,4.371080823917782,7.238629838770605,1.0003047094651427,6732.40905522361,6899.027211505587
Intercept_4[1],-5.562349972156918,-5.473902542600847,0.8769201076692088,0.8319733010061995,-7.124457308737927,-4.281619781097152,0.9999111869298702,6535.994207877206,5171.273171842405
Intercept_4[2],-4.915752466296099,-4.8742164155470356,0.688499903818748,0.6801308845778864,-6.131904973180113,-3.868717076534998,1.000118373982105,7400.650741866249,6179.42618363404
Intercept_4[3],6.069548781768706,6.011736749819194,0.9531157436880967,0.9291349024500898,4.623752427709711,7.7473841682712266,1.0004679794377649,8410.512309078864,6900.917038243504
lprior,-88.42791201005276,-88.14385144727203,4.353639931476414,4.332862836139151,-95.96697952527511,-81.7606783646413,1.0008731707393295,6334.42019672849,5840.903564753471
lp__,-340.18448738289834,-339.8120258749332,3.7563845179463415,3.6181970376372057,-347.0574106822728,-334.61821313277244,1.0009180005768648,3092.3644282393325,4761.282813289906
