prior_name,effect_prior_sd,base_model,anchor_type,comparison,threshold_structure,log_odds_median,log_odds_l95,log_odds_u95,OR_median,OR_l95,OR_u95,posterior_probability_OR_gt_1,posterior_probability_OR_lt_1,conclusion
weak,2.5,gemma3,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,base-model-specific,0.3667391450821702,-2.1580551741633056,3.031896829011115,1.4430214604146245,0.11554963125152819,20.736532559221107,0.612375,0.387625,uncertain
weak,2.5,gemma3,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,base-model-specific,0.4057987800949213,-2.166357656702103,3.075569884016041,1.5005005992900744,0.11459426532703611,21.662224051291936,0.60775,0.39225,uncertain
weak,2.5,gemma3,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,base-model-specific,0.37963104093981664,-2.1705234455276323,3.0026538743897593,1.461745190126303,0.11411786905211556,20.13891254402161,0.60875,0.39125,uncertain
weak,2.5,gemma3,ANCHOR_NUM_LOW,ANCHOR_NUM_LOW vs CONTEXT,base-model-specific,0.3389024444908605,-2.108417529472907,3.07847305555318,1.4034064453072483,0.12142999759043452,21.72520485836044,0.601125,0.398875,uncertain
weak,2.5,llama,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,base-model-specific,-0.6814735344628293,-1.4788494197982338,0.11039532015183186,0.5058710249577507,0.22789975545213764,1.1167194464594974,0.0475,0.9525,uncertain
weak,2.5,llama,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,base-model-specific,0.5457776378779517,-0.21225213472244284,1.3023776304252594,1.7259500381413821,0.8087607778607605,3.67803139211384,0.919875,0.080125,uncertain
weak,2.5,llama,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,base-model-specific,0.42156981475071464,-0.3637924357431494,1.2148744132179825,1.524352665521063,0.695035445593974,3.369870826950156,0.8525,0.1475,uncertain
weak,2.5,llama,ANCHOR_NUM_LOW,ANCHOR_NUM_LOW vs CONTEXT,base-model-specific,0.17089052035912522,-0.6477331375499001,0.9732733817641879,1.1863608597798334,0.5232305309196568,2.6465941744996253,0.659875,0.340125,uncertain
weak,2.5,mistral,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,base-model-specific,0.28029244058990554,-2.1751936697161582,2.8366740738032528,1.3235168536628867,0.11358615648274967,17.058934655158986,0.57925,0.42075,uncertain
weak,2.5,mistral,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,base-model-specific,1.6876308392110828,-0.8807313550795901,4.038999452614921,5.40665638101029,0.4144796708838396,56.7695281410863,0.902875,0.097125,uncertain
weak,2.5,mistral,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,base-model-specific,0.3002530383494906,-2.124380068210703,2.9084748739882533,1.350200450674985,0.11950703405945812,18.32882755132413,0.58925,0.41075,uncertain
weak,2.5,mistral,ANCHOR_NUM_LOW,ANCHOR_NUM_LOW vs CONTEXT,base-model-specific,0.2895114829220406,-2.1552101885760795,2.946321325488123,1.3357747873836385,0.11587888329046166,19.035803290008005,0.59075,0.40925,uncertain
weak,2.5,phi4,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,base-model-specific,0.37189358024910496,-2.2080776724420548,3.1802540947373052,1.4504786545162593,0.10991174035257824,24.052867307888484,0.60525,0.39475,uncertain
weak,2.5,phi4,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,base-model-specific,0.3748955180517133,-2.124134278323821,3.066158167615172,1.4548394030570915,0.11953642858450535,21.459301220416926,0.60825,0.39175,uncertain
weak,2.5,phi4,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,base-model-specific,0.3766329155452637,-2.159740436527644,3.0797360915312715,1.457369235370145,0.11535506329494512,21.75266557431467,0.608375,0.391625,uncertain
weak,2.5,phi4,ANCHOR_NUM_LOW,ANCHOR_NUM_LOW vs CONTEXT,base-model-specific,0.3609223817755506,-2.0916229063641203,3.092930146311931,1.434652102741694,0.12348659238250004,22.041568984041383,0.611875,0.388125,uncertain
