base_model,dc_solution,comparison,rating,n_observed,observed_proportion,predicted_mean,predicted_median,predicted_l95,predicted_u95,observed_within_predictive_95,absolute_difference
gemma3,DC connectors,CONTEXT,3,150,1,0.97,0.9733333333333334,0.9266666666666666,1,TRUE,0.026666666666666616
gemma3,DC connectors,CONTEXT,4,150,0,0.030000000000000002,0.02666666666666667,0,0.07333333333333333,TRUE,0.02666666666666667
gemma3,DC connectors,ANCHOR_EXAMPLE,3,30,1,0.985,1,0.9333333333333333,1,TRUE,0
gemma3,DC connectors,ANCHOR_EXAMPLE,4,30,0,0.015,0,0,0.06666666666666667,TRUE,0
gemma3,DC connectors,ANCHOR_WORD,3,30,0,0.08646666666666666,0.06666666666666667,0,0.26666666666666666,TRUE,0.06666666666666667
gemma3,DC connectors,ANCHOR_WORD,4,30,1,0.9135333333333333,0.9333333333333333,0.7333333333333333,1,TRUE,0.06666666666666665
gemma3,DC connectors,ANCHOR_NUM_HIGH,3,30,0.8666666666666667,0.8878,0.9,0.7,1,TRUE,0.033333333333333326
gemma3,DC connectors,ANCHOR_NUM_HIGH,4,30,0.13333333333333333,0.1122,0.1,0,0.3,TRUE,0.033333333333333326
gemma3,DC connectors,ANCHOR_NUM_LOW,3,30,0.7333333333333333,0.7585,0.7666666666666667,0.5333333333333333,0.9333333333333333,TRUE,0.03333333333333344
gemma3,DC connectors,ANCHOR_NUM_LOW,4,30,0.26666666666666666,0.2415,0.23333333333333334,0.06666666666666667,0.4666666666666667,TRUE,0.033333333333333326
gemma3,DC measurement device,CONTEXT,3,150,0.64,0.62406,0.6266666666666667,0.5133333333333333,0.7333333333333333,TRUE,0.013333333333333308
gemma3,DC measurement device,CONTEXT,4,150,0.36,0.37594,0.37333333333333335,0.26666666666666666,0.4866666666666667,TRUE,0.013333333333333364
gemma3,DC measurement device,ANCHOR_EXAMPLE,3,30,0.8666666666666667,0.8459,0.8666666666666667,0.6333333333333333,1,TRUE,0
gemma3,DC measurement device,ANCHOR_EXAMPLE,4,30,0.13333333333333333,0.1541,0.13333333333333333,0,0.36666666666666664,TRUE,0
