base_model,comparison,category_checks,checks_within_predictive_95,proportion_within_predictive_95,median_absolute_difference,maximum_absolute_difference
gemma3,ANCHOR_EXAMPLE,22,22,1,0,0.03333333333333334
gemma3,ANCHOR_NUM_HIGH,22,22,1,0,0.03333333333333344
gemma3,ANCHOR_NUM_LOW,22,22,1,0,0.06666666666666668
gemma3,ANCHOR_WORD,22,22,1,0,0.06666666666666667
gemma3,CONTEXT,22,22,1,0.006666666666666689,0.02666666666666667
llama,ANCHOR_EXAMPLE,22,22,1,0,0.03333333333333333
llama,ANCHOR_NUM_HIGH,22,22,1,0,0.033333333333333326
llama,ANCHOR_NUM_LOW,22,22,1,0,0
llama,ANCHOR_WORD,22,22,1,0,0.01666666666666672
llama,CONTEXT,22,22,1,0.0033333333333332993,0.013333333333333364
mistral,ANCHOR_EXAMPLE,22,22,1,0,0.03333333333333344
mistral,ANCHOR_NUM_HIGH,22,22,1,0.033333333333333326,0.03333333333333333
mistral,ANCHOR_NUM_LOW,22,22,1,0.033333333333333326,0.03333333333333333
mistral,ANCHOR_WORD,22,22,1,0,0.03333333333333333
mistral,CONTEXT,22,22,1,0.013333333333333308,0.026666666666666727
phi4,ANCHOR_EXAMPLE,22,22,1,0,0.03333333333333333
phi4,ANCHOR_NUM_HIGH,22,22,1,0,0.03333333333333334
phi4,ANCHOR_NUM_LOW,22,22,1,0,0.06666666666666665
phi4,ANCHOR_WORD,22,22,1,0,0.03333333333333334
phi4,CONTEXT,22,22,1,0.006666666666666654,0.013333333333333334
all,all,440,440,1,0,0.06666666666666668
