variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
"b_Intercept[gemma3__DCMDCconverter,1]",3.785073569783665,3.760660273053446,0.4590474329203985,0.46039115090714644,3.0795158756374916,4.5750554768567575,1.000036122630019,7757.084752946683,5454.604472192734
"b_Intercept[llama__DCMDCconverter,1]",0.3085120284896593,0.3072230849552874,0.1614747647869498,0.16157563088085722,0.04305864295388212,0.57688703750336,1.000097079929066,8888.456033347476,6269.147256619837
"b_Intercept[mistral__DCMDCconverter,1]",-0.6353525532249871,-0.6333079973381573,0.1712115511637785,0.17083355539052025,-0.9202319712226092,-0.35471282864111786,1.0004682021962112,8754.536832169246,6055.0760126947
"b_Intercept[phi4__DCMDCconverter,1]",-5.697870935322463,-5.619001389834177,0.9324568602104697,0.9150448476841688,-7.347436699910153,-4.326719928907509,0.9999703019637178,8641.579445236199,4904.587946517882
"b_Intercept[gemma3__DCconnectors,1]",3.5195421134378337,3.5016906505063248,0.40964576982182244,0.4071530078519798,2.8828916324708564,4.230676251928453,1.000026387211842,6524.856601521677,5746.739573384117
"b_Intercept[llama__DCconnectors,1]",0.725038202054291,0.7241744599923126,0.16992457875069697,0.17119259347945542,0.4531841893441885,1.010539078039606,1.000162367163476,9952.025849550319,6236.6662631869
"b_Intercept[mistral__DCconnectors,1]",-2.745942818610838,-2.731658216310138,0.3161153822310172,0.3189267364915407,-3.2819668560266284,-2.2532664962543496,1.0009018915527876,6399.51806902205,5482.073634803218
"b_Intercept[phi4__DCconnectors,1]",-1.7783707195962537,-1.775109808057665,0.22632905055544122,0.22821115436071657,-2.1552036428472126,-1.4153206831727494,1.0008241986091255,10908.338546331821,6939.196028304688
"b_Intercept[gemma3__DCmeasurementdevice,1]",0.5077139970844043,0.507167400521774,0.1627823518373231,0.16282159228622503,0.2393159045919346,0.7746022161243531,1.0007646057993689,9902.918196299031,6238.207113430663
"b_Intercept[llama__DCmeasurementdevice,1]",2.4958230135891264,2.489927503682598,0.2857922825412081,0.28175770514229953,2.038412397384125,2.99212578525197,1.0002564249266717,9853.632904905808,5576.379796827534
"b_Intercept[mistral__DCmeasurementdevice,1]",0.4245712524398597,0.4218742784059929,0.16410735786823955,0.1626133207349057,0.15727223058561987,0.6964258466196169,1.0000454100409342,10961.254913125393,6516.016196860607
"b_Intercept[phi4__DCmeasurementdevice,1]",-0.22557458654246407,-0.22451823260669573,0.1612286779310462,0.1607608228509099,-0.4870544520835218,0.03760597856274204,1.0004534878127551,9883.35084834684,6653.127516996089
