base_model,dc_solution,base_solution,anchor_type,comparison,OR_median_regularizing,OR_median_primary,OR_median_weak,OR_l95_regularizing,OR_l95_primary,OR_l95_weak,OR_u95_regularizing,OR_u95_primary,OR_u95_weak,posterior_probability_OR_gt_1_regularizing,posterior_probability_OR_gt_1_primary,posterior_probability_OR_gt_1_weak,posterior_probability_OR_lt_1_regularizing,posterior_probability_OR_lt_1_primary,posterior_probability_OR_lt_1_weak,conclusion_regularizing,conclusion_primary,conclusion_weak,direction_regularizing,direction_primary,direction_weak,direction_stable,conclusion_stable
gemma3,DC-DC converter,gemma3__DC-DC converter,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,2.365911381442254,6.461808229418887,12.988446493663105,0.8918210184730165,1.7593904803066134,2.8151483805458186,6.010052363946064,23.60110261988141,62.113729479793086,0.95675,0.9965,0.999125,0.04325,0.0035,8.75e-4,uncertain,higher under Anchor,higher under Anchor,above 1,above 1,above 1,TRUE,FALSE
gemma3,DC-DC converter,gemma3__DC-DC converter,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,61.29296137912942,492.5963339945871,2380.9915819036305,26.720924602859824,134.70885741458386,362.44954236041235,148.72440022050887,2278.4168490108236,27130.23054867538,1,1,1,0,0,0,higher under Anchor,higher under Anchor,higher under Anchor,above 1,above 1,above 1,TRUE,TRUE
gemma3,DC-DC converter,gemma3__DC-DC converter,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,0.5761902065518245,0.40764808202831615,0.24298324911078467,0.15784237418290026,0.03586386825084153,0.0039427148933414416,1.8763166265273556,2.890630828376344,4.696202138390717,0.1795,0.202,0.204875,0.8205,0.798,0.795125,uncertain,uncertain,uncertain,below 1,below 1,below 1,TRUE,TRUE
gemma3,DC-DC converter,gemma3__DC-DC converter,ANCHOR_NUM_LOW,ANCHOR_NUM_LOW vs CONTEXT,0.5719706841934148,0.4009007161858398,0.24412956221063625,0.16206936679304637,0.03371448864793551,0.004478234598716488,1.8488510890539571,2.914922727737073,4.130645683441983,0.178875,0.20225,0.200125,0.821125,0.79775,0.799875,uncertain,uncertain,uncertain,below 1,below 1,below 1,TRUE,TRUE
gemma3,DC connectors,gemma3__DC connectors,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,0.5313173805080925,0.35251237362778365,0.21695460818365248,0.15665984877797115,0.02949102830769406,0.003798934973033906,1.6384558140436996,2.4646913036497753,3.770257124448114,0.13825,0.159875,0.174375,0.86175,0.840125,0.825625,uncertain,uncertain,uncertain,below 1,below 1,below 1,TRUE,TRUE
gemma3,DC connectors,gemma3__DC connectors,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,51.25442025807978,387.58039766132805,1927.1582356735598,22.33712097721985,109.06374887579499,309.2117350284138,124.00618258994528,1710.392765351311,21505.893907514164,1,1,1,0,0,0,higher under Anchor,higher under Anchor,higher under Anchor,above 1,above 1,above 1,TRUE,TRUE
gemma3,DC connectors,gemma3__DC connectors,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,1.635817631237151,3.9200107340817727,7.591429575317118,0.5951040347967158,0.9589106629567341,1.6329622592724296,4.111303363547725,13.520661529014653,35.10941156804769,0.834375,0.972125,0.99425,0.165625,0.027875,0.00575,uncertain,uncertain,higher under Anchor,above 1,above 1,above 1,TRUE,FALSE
gemma3,DC connectors,gemma3__DC connectors,ANCHOR_NUM_LOW,ANCHOR_NUM_LOW vs CONTEXT,3.475246755657011,9.773188495556617,18.955430841521615,1.4065325407984368,3.1624175477783094,5.401110704779923,7.996017845140985,29.90345614769827,79.87091656514089,0.996125,0.999875,1,0.003875,1.25e-4,0,higher under Anchor,higher under Anchor,higher under Anchor,above 1,above 1,above 1,TRUE,TRUE
gemma3,DC measurement device,gemma3__DC measurement device,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,0.35048725124801894,0.28384225494002224,0.2660905219230413,0.14824838908219076,0.092179642964492,0.08053349346838118,0.7786071188676186,0.7303868242515272,0.6941895910317237,0.00475,0.004,0.002,0.99525,0.996,0.998,lower under Anchor,lower under Anchor,lower under Anchor,below 1,below 1,below 1,TRUE,TRUE
gemma3,DC measurement device,gemma3__DC measurement device,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,10.044056098181173,34.61263387396783,97.93402854721676,4.261032000944627,9.651781690633896,16.043339450024508,25.374232783061927,197.68470976263433,1815.2134100734734,1,1,1,0,0,0,higher under Anchor,higher under Anchor,higher under Anchor,above 1,above 1,above 1,TRUE,TRUE
