base_model,dc_solution,comparison,rating_value,n,proportion
gemma3,DC-DC converter,CONTEXT,3,150,1
gemma3,DC-DC converter,ANCHOR_EXAMPLE,3,25,0.8333333333333334
gemma3,DC-DC converter,ANCHOR_EXAMPLE,4,5,0.16666666666666666
gemma3,DC-DC converter,ANCHOR_WORD,4,30,1
gemma3,DC-DC converter,ANCHOR_NUM_HIGH,3,30,1
gemma3,DC-DC converter,ANCHOR_NUM_LOW,3,30,1
gemma3,DC connectors,CONTEXT,3,150,1
gemma3,DC connectors,ANCHOR_EXAMPLE,3,30,1
gemma3,DC connectors,ANCHOR_WORD,4,30,1
gemma3,DC connectors,ANCHOR_NUM_HIGH,3,26,0.8666666666666667
gemma3,DC connectors,ANCHOR_NUM_HIGH,4,4,0.13333333333333333
gemma3,DC connectors,ANCHOR_NUM_LOW,3,22,0.7333333333333333
gemma3,DC connectors,ANCHOR_NUM_LOW,4,8,0.26666666666666666
gemma3,DC measurement device,CONTEXT,3,96,0.64
gemma3,DC measurement device,CONTEXT,4,54,0.36
gemma3,DC measurement device,ANCHOR_EXAMPLE,3,26,0.8666666666666667
gemma3,DC measurement device,ANCHOR_EXAMPLE,4,4,0.13333333333333333
gemma3,DC measurement device,ANCHOR_WORD,4,30,1
gemma3,DC measurement device,ANCHOR_NUM_HIGH,3,7,0.23333333333333334
gemma3,DC measurement device,ANCHOR_NUM_HIGH,4,23,0.7666666666666667
gemma3,DC measurement device,ANCHOR_NUM_LOW,3,9,0.3
gemma3,DC measurement device,ANCHOR_NUM_LOW,4,21,0.7
gemma3,DC solution design tool,CONTEXT,4,150,1
gemma3,DC solution design tool,ANCHOR_EXAMPLE,4,30,1
gemma3,DC solution design tool,ANCHOR_WORD,4,30,1
gemma3,DC solution design tool,ANCHOR_NUM_HIGH,4,30,1
gemma3,DC solution design tool,ANCHOR_NUM_LOW,4,30,1
gemma3,LVAC-LVDC interlink converter,CONTEXT,3,150,1
gemma3,LVAC-LVDC interlink converter,ANCHOR_EXAMPLE,3,30,1
gemma3,LVAC-LVDC interlink converter,ANCHOR_WORD,3,30,1
gemma3,LVAC-LVDC interlink converter,ANCHOR_NUM_HIGH,3,30,1
gemma3,LVAC-LVDC interlink converter,ANCHOR_NUM_LOW,3,30,1
gemma3,Network design tool for DC solutions,CONTEXT,3,37,0.24666666666666667
