prior_name,base_model,dc_solution,base_solution,anchor_type,comparison,log_odds_median,log_odds_l95,log_odds_u95,OR_median,OR_l95,OR_u95,posterior_probability_OR_gt_1,posterior_probability_OR_lt_1,conclusion
weak,gemma3,DC-DC converter,gemma3__DC-DC converter,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,2.5640602308554286,1.0350147996360834,4.1289669675165825,12.988446493663105,2.8151483805458186,62.113729479793086,0.999125,8.75e-4,higher under Anchor
weak,gemma3,DC-DC converter,gemma3__DC-DC converter,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,7.775272309678218,5.892885189902843,10.208403893052598,2380.9915819036305,362.44954236041235,27130.23054867538,1,0,higher under Anchor
weak,gemma3,DC-DC converter,gemma3__DC-DC converter,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,-1.4147627953707254,-5.535886372167863,1.546753141036917,0.24298324911078467,0.0039427148933414416,4.696202138390717,0.204875,0.795125,uncertain
weak,gemma3,DC-DC converter,gemma3__DC-DC converter,ANCHOR_NUM_LOW,ANCHOR_NUM_LOW vs CONTEXT,-1.4100562174548812,-5.408527579927041,1.4184334895191246,0.24412956221063625,0.004478234598716488,4.130645683441983,0.200125,0.799875,uncertain
weak,gemma3,DC connectors,gemma3__DC connectors,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,-1.528067153567622,-5.573037731409749,1.3271430861968214,0.21695460818365248,0.003798934973033906,3.770257124448114,0.174375,0.825625,uncertain
weak,gemma3,DC connectors,gemma3__DC connectors,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,7.563801779726609,5.734026259750431,9.976081733719738,1927.1582356735598,309.2117350284138,21505.893907514164,1,0,higher under Anchor
weak,gemma3,DC connectors,gemma3__DC connectors,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,2.027019913625225,0.4903956185373603,3.5584691262343595,7.591429575317118,1.6329622592724296,35.10941156804769,0.99425,0.00575,higher under Anchor
weak,gemma3,DC connectors,gemma3__DC connectors,ANCHOR_NUM_LOW,ANCHOR_NUM_LOW vs CONTEXT,2.9420903933945732,1.6866045790206068,4.380411778516139,18.955430841521615,5.401110704779923,79.87091656514089,1,0,higher under Anchor
weak,gemma3,DC measurement device,gemma3__DC measurement device,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,-1.3239187213243921,-2.5190821255118565,-0.3650101956345952,0.2660905219230413,0.08053349346838118,0.6941895910317237,0.002,0.998,lower under Anchor
weak,gemma3,DC measurement device,gemma3__DC measurement device,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,4.584294054406133,2.7752937494448187,7.503958192738782,97.93402854721676,16.043339450024508,1815.2134100734734,1,0,higher under Anchor
weak,gemma3,DC measurement device,gemma3__DC measurement device,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,1.7133720042422125,0.8415726082639111,2.6945547086246333,5.547636641526344,2.3200125815957637,14.798927638399611,1,0,higher under Anchor
