prior_name,effect_prior_sd,base_model,dc_solution,base_solution,anchor_type,comparison,response_pattern,context_probability_median,context_probability_l95,context_probability_u95,anchor_probability_median,anchor_probability_l95,anchor_probability_u95,difference_median,difference_l95,difference_u95,posterior_probability_difference_gt_0,posterior_probability_difference_lt_0,conclusion
primary,1.5,gemma3,DC connectors,gemma3__DC connectors,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.02926416492162498,0.012328560980449061,0.058926074188951766,0.01029171017378494,8.554805934967852e-4,0.0670671698778894,-0.016554639613158895,-0.04796632177600276,0.0347367535548041,0.159875,0.840125,uncertain
primary,1.5,gemma3,DC connectors,gemma3__DC connectors,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.02926416492162498,0.012328560980449061,0.058926074188951766,0.9191199775852426,0.7993901288080053,0.9783896991977222,0.8877654764652757,0.7668518142738402,0.9493199515045146,1,0,greater upper-end concentration under Anchor
primary,1.5,gemma3,DC measurement device,gemma3__DC measurement device,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.37585778736346065,0.30430177498353594,0.45331195775067445,0.14652186041845938,0.05390124753275942,0.2940063418123787,-0.22807498995423647,-0.34762323742501056,-0.06775230512749762,0.004,0.996,reduced upper-end concentration under Anchor
primary,1.5,gemma3,DC measurement device,gemma3__DC measurement device,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.37585778736346065,0.30430177498353594,0.45331195775067445,0.9542353393823448,0.855345301404045,0.9915593690417032,0.573999702191301,0.4558493089321426,0.6594376808443956,1,0,greater upper-end concentration under Anchor
primary,1.5,gemma3,DC solution design tool,gemma3__DC solution design tool,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.9963750309858768,0.984316404291187,0.9995463329262507,0.9974334465033309,0.9688322516404398,0.9999058756965964,5.898132276048185e-4,-0.02338312085968337,0.009933192338338316,0.59675,0.40325,uncertain
primary,1.5,gemma3,DC solution design tool,gemma3__DC solution design tool,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.9963750309858768,0.984316404291187,0.9995463329262507,0.9974885170059535,0.9710845296916764,0.9999027058726917,5.76251971392272e-4,-0.02179144631694435,0.010382282609977835,0.5955,0.4045,uncertain
primary,1.5,gemma3,DC-DC converter,gemma3__DC-DC converter,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.02273926636743684,0.00848336391334779,0.049446004564653374,0.13074357582696644,0.04649616017103161,0.2803170958569048,0.10656501048210643,0.021445127376900387,0.2562127323566506,0.9965,0.0035,greater upper-end concentration under Anchor
primary,1.5,gemma3,DC-DC converter,gemma3__DC-DC converter,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.02273926636743684,0.00848336391334779,0.049446004564653374,0.9161885830369569,0.7930115775080874,0.977363148273299,0.8910386695722408,0.7697533082758868,0.9547120124379107,1,0,greater upper-end concentration under Anchor
primary,1.5,gemma3,LVAC-LVDC interlink converter,gemma3__LVAC-LVDC interlink converter,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.0036461445543224946,4.498858692931235e-4,0.015472563712403936,0.002561250869610898,8.931203545323174e-5,0.031528487917028336,-5.801278284265909e-4,-0.010250560332027406,0.023960111974379715,0.405625,0.594375,uncertain
primary,1.5,gemma3,LVAC-LVDC interlink converter,gemma3__LVAC-LVDC interlink converter,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.0036461445543224946,4.498858692931235e-4,0.015472563712403936,0.002457211617927113,8.465603248775655e-5,0.0326561351751293,-6.287611927950909e-4,-0.010474166109936801,0.025560416993261528,0.398,0.602,uncertain
primary,1.5,gemma3,Network design tool for DC solutions,gemma3__Network design tool for DC solutions,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.7384452626562068,0.6682542069772942,0.8009370359568296,0.1653064409495409,0.06897038848257123,0.3141587577520676,-0.5702777800305778,-0.6917389145925379,-0.4093684367061099,0,1,reduced upper-end concentration under Anchor
primary,1.5,gemma3,Network design tool for DC solutions,gemma3__Network design tool for DC solutions,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.7384452626562068,0.6682542069772942,0.8009370359568296,0.9708183798784327,0.885937764207226,0.9960234787309364,0.2268450202520026,0.1332318936352327,0.30468700201879395,0.99975,2.5e-4,greater upper-end concentration under Anchor
primary,1.5,gemma3,Protection DC system design tool,gemma3__Protection DC system design tool,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.992133041319891,0.9754592577341061,0.9982262136886781,0.9396466221537481,0.8321717017130204,0.9865872591971069,-0.050951088991274984,-0.15778202919961723,-0.005087633709149209,0.0095,0.9905,reduced upper-end concentration under Anchor
primary,1.5,gemma3,Protection DC system design tool,gemma3__Protection DC system design tool,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.992133041319891,0.9754592577341061,0.9982262136886781,0.9954729571847336,0.9592738004361092,0.999749449636381,0.0023905491229931353,-0.02937384926769727,0.017365332884550378,0.667375,0.332625,uncertain
primary,1.5,gemma3,Semiconductor-based circuit breaker,gemma3__Semiconductor-based circuit breaker,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.9962940296566349,0.9837235704132131,0.999484214910615,0.9974241398594492,0.9696151595817807,0.9998903075619688,6.292567727946841e-4,-0.02303386438578756,0.010387527519365251,0.6005,0.3995,uncertain
