row_id,variant_id,base_model,model,dc_solution,rating,label,condition,anchor_type,anchor_level,iteration
phi4_generalist_00_20260630_181644,phi4_generalist,phi4,generalist,Solid-state circuit breaker,4,Very important,context,,,0
phi4_normative_00_20260630_181644,phi4_normative,phi4,normative,Solid-state circuit breaker,4,Very important,context,,,0
phi4_subject-matter_00_20260630_181644,phi4_subject-matter,phi4,subject-matter,Solid-state circuit breaker,4,Very important,context,,,0
llama_generalist_00_20260630_181644,llama_generalist,llama,generalist,Solid-state circuit breaker,4,Very important,context,,,0
llama_normative_00_20260630_181644,llama_normative,llama,normative,Solid-state circuit breaker,3,Important,context,,,0
llama_subject-matter_00_20260630_181644,llama_subject-matter,llama,subject-matter,Solid-state circuit breaker,4,Very important,context,,,0
mistral_generalist_00_20260630_181644,mistral_generalist,mistral,generalist,Solid-state circuit breaker,4,Very important,context,,,0
mistral_normative_00_20260630_181644,mistral_normative,mistral,normative,Solid-state circuit breaker,4,Very important,context,,,0
mistral_subject-matter_00_20260630_181644,mistral_subject-matter,mistral,subject-matter,Solid-state circuit breaker,4,Very important,context,,,0
gemma3_generalist_00_20260630_181644,gemma3_generalist,gemma3,generalist,Solid-state circuit breaker,4,Very important,context,,,0
gemma3_normative_00_20260630_181644,gemma3_normative,gemma3,normative,Solid-state circuit breaker,4,Very important,context,,,0
gemma3_subject-matter_00_20260630_181644,gemma3_subject-matter,gemma3,subject-matter,Solid-state circuit breaker,4,Very important,context,,,0
phi4_generalist_01_20260630_181850,phi4_generalist,phi4,generalist,Solid-state circuit breaker,4,Very important,context,,,1
phi4_normative_01_20260630_181850,phi4_normative,phi4,normative,Solid-state circuit breaker,4,Very important,context,,,1
phi4_subject-matter_01_20260630_181850,phi4_subject-matter,phi4,subject-matter,Solid-state circuit breaker,4,Very important,context,,,1
llama_generalist_01_20260630_181850,llama_generalist,llama,generalist,Solid-state circuit breaker,4,Very important,context,,,1
llama_normative_01_20260630_181850,llama_normative,llama,normative,Solid-state circuit breaker,4,Very important,context,,,1
llama_subject-matter_01_20260630_181850,llama_subject-matter,llama,subject-matter,Solid-state circuit breaker,3,Important,context,,,1
mistral_generalist_01_20260630_181850,mistral_generalist,mistral,generalist,Solid-state circuit breaker,4,Very important,context,,,1
