prior_name,effect_prior_sd,base_model,anchor_type,comparison,response_pattern,context_probability_median,context_probability_l95,context_probability_u95,anchor_probability_median,anchor_probability_l95,anchor_probability_u95,difference_median,difference_l95,difference_u95,posterior_probability_difference_gt_0,posterior_probability_difference_lt_0,conclusion,direction
regularizing,0.75,gemma3,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,endpoint probability: P(Y=1) + P(Y=4),0.009010009501527822,0.0026415609357138634,0.02262957252880164,0.009947976312540359,0.0027096478047110477,0.031557482123029196,3.895801707311554e-4,-0.004257332153029627,0.015551532411358471,0.628375,0.371625,uncertain,above 0
primary,1.5,gemma3,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,endpoint probability: P(Y=1) + P(Y=4),0.008132565716739495,0.002210288150322623,0.02219300733195052,0.0103359388029671,0.002371096844944854,0.04316631511845293,0.0010711396166483492,-0.0052046925249540806,0.03017825409366372,0.68825,0.31175,uncertain,above 0
weak,2.5,gemma3,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,endpoint probability: P(Y=1) + P(Y=4),0.007598343529514674,0.001970140669525656,0.021643060025521927,0.010486618561939595,0.0022170322219276606,0.05078688418816575,0.001462559266516326,-0.006088865123749889,0.04033663048227871,0.693125,0.306875,uncertain,above 0
regularizing,0.75,gemma3,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,endpoint probability: P(Y=1) + P(Y=4),0.009010009501527822,0.0026415609357138634,0.02262957252880164,0.010068325992604425,0.0026838824033492865,0.032140464419315375,4.3873597206134135e-4,-0.004211157158072253,0.016152742095872502,0.63375,0.36625,uncertain,above 0
primary,1.5,gemma3,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,endpoint probability: P(Y=1) + P(Y=4),0.008132565716739495,0.002210288150322623,0.02219300733195052,0.010298375125995064,0.0024297771240343767,0.04321181410066698,0.0010162555509707564,-0.005099055850962889,0.031100939696876533,0.682875,0.317125,uncertain,above 0
weak,2.5,gemma3,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,endpoint probability: P(Y=1) + P(Y=4),0.007598343529514674,0.001970140669525656,0.021643060025521927,0.010694859692738612,0.0023283891346627754,0.05176648452144444,0.0017573546251405604,-0.0059925552950534635,0.041455833403703735,0.710625,0.289375,uncertain,above 0
regularizing,0.75,llama,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,endpoint probability: P(Y=1) + P(Y=4),0.2715999876111319,0.21265612376648224,0.33497532487612947,0.19514686683766608,0.1269602192243044,0.2984462811961929,-0.07597088800709909,-0.15153422410738784,0.023956310081567025,0.063625,0.936375,uncertain,below 0
primary,1.5,llama,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,endpoint probability: P(Y=1) + P(Y=4),0.2686208399891442,0.2086612267973091,0.33588601570400656,0.18534639233675426,0.12047086945425649,0.28557037092868004,-0.08256336220625411,-0.1614331045908376,0.0183471677302674,0.047125,0.952875,uncertain,below 0
weak,2.5,llama,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,endpoint probability: P(Y=1) + P(Y=4),0.2683286780629247,0.20751489059319236,0.3335853496130063,0.1820762544123566,0.11693911408368975,0.28443295194837054,-0.0853058687254694,-0.16572665429290068,0.01793101315384672,0.0475,0.9525,uncertain,below 0
regularizing,0.75,llama,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,endpoint probability: P(Y=1) + P(Y=4),0.2715999876111319,0.21265612376648224,0.33497532487612947,0.35749384973679355,0.2374593520226942,0.5060280593751476,0.08625871279573888,-0.041106430752214415,0.23497859566303955,0.898375,0.101625,uncertain,above 0
