prior_name,effect_prior_sd,base_model,high_OR_median,high_OR_l95,high_OR_u95,high_probability_OR_gt_1,high_probability_OR_lt_1,high_conclusion,low_OR_median,low_OR_l95,low_OR_u95,low_probability_OR_gt_1,low_probability_OR_lt_1,low_conclusion,anchoring_pattern
regularizing,0.75,gemma3,1.069149496032428,0.2871341834251142,4.011489623481919,0.53775,0.46225,uncertain,1.071267041965479,0.2985625228938639,3.8868545710121545,0.5425,0.4575,uncertain,no supported adjustment
primary,1.5,gemma3,1.257292931536862,0.16345517741803317,10.51274405252826,0.57875,0.42125,uncertain,1.260313121324956,0.16787377851611746,11.360154887459332,0.580875,0.419125,uncertain,no supported adjustment
weak,2.5,gemma3,1.461745190126303,0.11411786905211556,20.13891254402161,0.60875,0.39125,uncertain,1.4034064453072483,0.12142999759043452,21.72520485836044,0.601125,0.398875,uncertain,no supported adjustment
regularizing,0.75,llama,1.4198648017283944,0.7050238439471255,2.827604109521041,0.829,0.171,uncertain,1.137845906248638,0.5641705702141041,2.2305896124808986,0.6455,0.3545,uncertain,no supported adjustment
primary,1.5,llama,1.5086738238438802,0.684886405287636,3.266128752713162,0.8485,0.1515,uncertain,1.1894543746533537,0.5488585101376379,2.523080528812643,0.669375,0.330625,uncertain,no supported adjustment
weak,2.5,llama,1.524352665521063,0.695035445593974,3.369870826950156,0.8525,0.1475,uncertain,1.1863608597798334,0.5232305309196568,2.6465941744996253,0.659875,0.340125,uncertain,no supported adjustment
regularizing,0.75,mistral,1.0355460361785769,0.2908359754659069,3.7625732286363847,0.521625,0.478375,uncertain,1.0109013254575845,0.267690265202533,3.824839402617848,0.50675,0.49325,uncertain,no supported adjustment
primary,1.5,mistral,1.1683076373963794,0.1600084116246963,9.160455883853723,0.560375,0.439625,uncertain,1.164496359945261,0.15624637580285355,8.832061182067926,0.5585,0.4415,uncertain,no supported adjustment
weak,2.5,mistral,1.350200450674985,0.11950703405945812,18.32882755132413,0.58925,0.41075,uncertain,1.3357747873836383,0.11587888329046166,19.035803290008005,0.59075,0.40925,uncertain,no supported adjustment
regularizing,0.75,phi4,1.0674317660559056,0.29193485062188274,4.0735120802513,0.534,0.466,uncertain,1.0518049134375873,0.2800642258176461,4.040355066793162,0.530125,0.469875,uncertain,no supported adjustment
primary,1.5,phi4,1.208362299197863,0.16596377296761555,10.51025405818996,0.570375,0.429625,uncertain,1.2275434214090162,0.15121379568941637,10.85066967677616,0.5725,0.4275,uncertain,no supported adjustment
weak,2.5,phi4,1.457369235370145,0.11535506329494512,21.75266557431467,0.608375,0.391625,uncertain,1.434652102741694,0.12348659238250004,22.041568984041383,0.611875,0.388125,uncertain,no supported adjustment
