prior_name,effect_prior_sd,base_model,dc_solution,base_solution,high_OR_median,high_OR_l95,high_OR_u95,high_probability_OR_gt_1,high_probability_OR_lt_1,high_conclusion,low_OR_median,low_OR_l95,low_OR_u95,low_probability_OR_gt_1,low_probability_OR_lt_1,low_conclusion,anchoring_pattern
primary,1.5,gemma3,DC connectors,gemma3__DC connectors,3.9200107340817727,0.958910662956734,13.520661529014651,0.972125,0.027875,uncertain,9.773188495556616,3.1624175477783094,29.90345614769827,0.999875,1.25e-4,higher under Anchor,directionally inconsistent
primary,1.5,gemma3,DC measurement device,gemma3__DC measurement device,4.947206111771128,2.2098580680213167,12.034877130346397,1,0,higher under Anchor,3.6093811156934192,1.6542475327530828,8.280237951871204,0.99975,2.5e-4,higher under Anchor,directionally inconsistent
primary,1.5,gemma3,DC solution design tool,gemma3__DC solution design tool,1.390313444216221,0.11764269030688644,22.44690952722501,0.59725,0.40275,uncertain,1.4241859667732104,0.13079033231556245,20.891246794845493,0.609625,0.390375,uncertain,no supported adjustment
primary,1.5,gemma3,DC-DC converter,gemma3__DC-DC converter,0.40764808202831615,0.03586386825084153,2.890630828376344,0.202,0.798,uncertain,0.4009007161858398,0.03371448864793551,2.914922727737073,0.20225,0.79775,uncertain,no supported adjustment
primary,1.5,gemma3,LVAC-LVDC interlink converter,gemma3__LVAC-LVDC interlink converter,0.7230000508328223,0.04772137654688689,8.051871489178131,0.400125,0.599875,uncertain,0.7089753452006307,0.04650485383580206,7.94726996155954,0.4005,0.5995,uncertain,no supported adjustment
primary,1.5,gemma3,Network design tool for DC solutions,gemma3__Network design tool for DC solutions,0.29023047733092394,0.13127439454132042,0.6353692702833799,8.75e-4,0.999125,lower under Anchor,0.04191864226473264,0.01247966728678255,0.11733775860268846,0,1,lower under Anchor,directionally inconsistent
primary,1.5,gemma3,Protection DC system design tool,gemma3__Protection DC system design tool,1.6731346351854763,0.1818086974599092,23.19098402472763,0.65775,0.34225,uncertain,1.6798448125445815,0.17666261233433034,24.53259752867579,0.664875,0.335125,uncertain,no supported adjustment
primary,1.5,gemma3,Semiconductor-based circuit breaker,gemma3__Semiconductor-based circuit breaker,1.4108832290434281,0.13280956950476694,21.11291800717116,0.596,0.404,uncertain,1.4259123003002852,0.12191828373781698,22.381685844484693,0.603125,0.396875,uncertain,no supported adjustment
primary,1.5,gemma3,Smart and sustainable DC cables,gemma3__Smart and sustainable DC cables,0.10161300488550236,0.03230732210113203,0.3021785462594698,0,1,lower under Anchor,0.00732892892831403,0.00222905497331261,0.02105289748622111,0,1,lower under Anchor,directionally inconsistent
primary,1.5,gemma3,Solid-state circuit breaker,gemma3__Solid-state circuit breaker,1.4462594921851732,0.12697760093048666,23.4885284043462,0.606875,0.393125,uncertain,1.387585578353037,0.1230145310589514,23.920355151401992,0.6025,0.3975,uncertain,no supported adjustment
primary,1.5,gemma3,Static protection system,gemma3__Static protection system,1.4355317622184214,0.1225766663607452,21.68465553050097,0.607625,0.392375,uncertain,1.4019969113836872,0.1247096861122925,20.279052198985756,0.600375,0.399625,uncertain,no supported adjustment
primary,1.5,llama,DC connectors,llama__DC connectors,0.7511377452217295,0.30843655952678106,1.722248810000368,0.254625,0.745375,uncertain,0.26202576319544857,0.07462245929591461,0.7120189165324803,0.00475,0.99525,lower under Anchor,low-arm-only adjustment
primary,1.5,llama,DC measurement device,llama__DC measurement device,1.6087497302224048,0.46513996393207346,4.78017325054976,0.780625,0.219375,uncertain,0.47083213804537094,0.07294023256491734,1.9142448893822777,0.163,0.837,uncertain,no supported adjustment
primary,1.5,llama,DC solution design tool,llama__DC solution design tool,1.5119946370482111,0.6645233277966353,3.416509792744021,0.842625,0.157375,uncertain,0.3323599268498832,0.10260554831862435,0.906776299335212,0.01425,0.98575,lower under Anchor,low-arm-only adjustment
primary,1.5,llama,DC-DC converter,llama__DC-DC converter,1.7382644494373474,0.7947453738749296,3.738985587893476,0.919375,0.080625,uncertain,1.974425866537599,0.9319672359647548,4.389945930912239,0.961125,0.038875,uncertain,no supported adjustment
primary,1.5,llama,LVAC-LVDC interlink converter,llama__LVAC-LVDC interlink converter,3.7863911740391782,1.6738746280049397,8.475268511153548,0.9995,5e-4,higher under Anchor,1.5223775085819078,0.5765511177757418,3.707351455594697,0.807625,0.192375,uncertain,high-arm-only adjustment
primary,1.5,llama,Network design tool for DC solutions,llama__Network design tool for DC solutions,1.0919022419984592,0.49193781855430935,2.337759269363506,0.5875,0.4125,uncertain,0.9550842183127436,0.415929375891304,2.0644176795559335,0.4555,0.5445,uncertain,no supported adjustment
primary,1.5,llama,Protection DC system design tool,llama__Protection DC system design tool,2.038148486349384,0.9561791948856794,4.559738429852992,0.96625,0.03375,uncertain,1.3764106936131444,0.6534161454328382,3.025309548842887,0.792125,0.207875,uncertain,no supported adjustment
primary,1.5,llama,Semiconductor-based circuit breaker,llama__Semiconductor-based circuit breaker,0.5371121083308641,0.2488285239151154,1.1772076162917486,0.05675,0.94325,uncertain,0.8053605215518009,0.37050683580628263,1.794139186948443,0.294375,0.705625,uncertain,no supported adjustment
primary,1.5,llama,Smart and sustainable DC cables,llama__Smart and sustainable DC cables,1.9259657310279232,0.8744765713554464,4.5114597638598974,0.94975,0.05025,uncertain,0.7553503407736817,0.35665383882703927,1.6210423787292578,0.230625,0.769375,uncertain,no supported adjustment
primary,1.5,llama,Solid-state circuit breaker,llama__Solid-state circuit breaker,2.2760918356960804,0.9248089691305802,6.518206801398943,0.96175,0.03825,uncertain,0.735719176848962,0.3431336368434949,1.6205807075863032,0.216,0.784,uncertain,no supported adjustment
primary,1.5,llama,Static protection system,llama__Static protection system,1.6630750968817862,0.7330953398467247,3.851723077640771,0.88875,0.11125,uncertain,1.2427414781511503,0.5757199942420835,2.762361281666871,0.706,0.294,uncertain,no supported adjustment
primary,1.5,mistral,DC connectors,mistral__DC connectors,0.03431569244101487,0.01285870879132644,0.08333719086693996,0,1,lower under Anchor,0.0297750309072636,0.01079963121039204,0.07453589355308331,0,1,lower under Anchor,directionally inconsistent
primary,1.5,mistral,DC measurement device,mistral__DC measurement device,0.098460121511655,0.02043113443951104,0.325099870140943,0,1,lower under Anchor,0.20214543145744385,0.05860625441157413,0.5376485983707213,5e-4,0.9995,lower under Anchor,directionally inconsistent
primary,1.5,mistral,DC solution design tool,mistral__DC solution design tool,1.682104112759042,0.166611668085048,23.34505907467627,0.65675,0.34325,uncertain,1.658711448538538,0.15288409101494602,24.062859955427538,0.6505,0.3495,uncertain,no supported adjustment
primary,1.5,mistral,DC-DC converter,mistral__DC-DC converter,0.07848748683443489,0.02520094998119599,0.20386800752494305,0,1,lower under Anchor,0.2125590861505344,0.08964918900734115,0.4767743746116927,0,1,lower under Anchor,directionally inconsistent
primary,1.5,mistral,LVAC-LVDC interlink converter,mistral__LVAC-LVDC interlink converter,0.09138622146677694,0.02800153994488727,0.2339245826302948,0,1,lower under Anchor,0.02853745944198407,0.00498359609473729,0.10374885736173611,0,1,lower under Anchor,directionally inconsistent
primary,1.5,mistral,Network design tool for DC solutions,mistral__Network design tool for DC solutions,0.400397970258782,0.0536957350184818,4.186164629766192,0.2145,0.7855,uncertain,1.6141858795600017,0.15048184983406443,22.254551281724048,0.645,0.355,uncertain,no supported adjustment
primary,1.5,mistral,Protection DC system design tool,mistral__Protection DC system design tool,0.19155096534692825,0.0836317727427902,0.44357427754273193,0,1,lower under Anchor,0.1903689028007664,0.08441992904778836,0.43186646887650065,1.25e-4,0.999875,lower under Anchor,directionally inconsistent
primary,1.5,mistral,Semiconductor-based circuit breaker,mistral__Semiconductor-based circuit breaker,0.2420732942918974,0.0658191495715124,0.9743614262376272,0.022625,0.977375,lower under Anchor,0.18263351078940288,0.05241934964169547,0.6620552738681817,0.007,0.993,lower under Anchor,directionally inconsistent
primary,1.5,mistral,Smart and sustainable DC cables,mistral__Smart and sustainable DC cables,0.16923628454286027,0.0213344556539114,0.8361279651962235,0.014125,0.985875,lower under Anchor,0.16920037864723336,0.0198179215240054,0.8839017893373389,0.015,0.985,lower under Anchor,directionally inconsistent
primary,1.5,mistral,Solid-state circuit breaker,mistral__Solid-state circuit breaker,1.4831467914035494,0.11896871392016786,21.899909190653997,0.614,0.386,uncertain,1.4098780976023462,0.11757364152785664,20.853044140552218,0.600875,0.399125,uncertain,no supported adjustment
primary,1.5,mistral,Static protection system,mistral__Static protection system,1.9235955642754208,0.21476443734427647,26.683295068830805,0.694125,0.305875,uncertain,0.10374120333280484,0.02193316292925123,0.4953522065069196,0.002125,0.997875,lower under Anchor,low-arm-only adjustment
primary,1.5,phi4,DC connectors,phi4__DC connectors,1.5487396481327531,0.5333786436475367,5.482035567317157,0.773625,0.226375,uncertain,3.6106749358893144,0.9563891121031084,20.70771600540765,0.971625,0.028375,uncertain,no supported adjustment
primary,1.5,phi4,DC measurement device,phi4__DC measurement device,1.586190550534051,0.7316629657406174,3.5858769890527147,0.8705,0.1295,uncertain,0.4168376877373451,0.184360537026725,0.9003701306281247,0.012875,0.987125,lower under Anchor,low-arm-only adjustment
primary,1.5,phi4,DC solution design tool,phi4__DC solution design tool,1.38302497264727,0.11608600866159452,21.60939197828496,0.60125,0.39875,uncertain,1.4416872256791953,0.1276930612362899,22.92505482242619,0.609,0.391,uncertain,no supported adjustment
primary,1.5,phi4,DC-DC converter,phi4__DC-DC converter,1.385328980883691,0.11700768830343762,23.59072400902219,0.602125,0.397875,uncertain,1.421776288285968,0.11861170690821254,22.59895721254945,0.5995,0.4005,uncertain,no supported adjustment
primary,1.5,phi4,LVAC-LVDC interlink converter,phi4__LVAC-LVDC interlink converter,1.6721721138318155,0.574499682332396,6.143960382397334,0.824,0.176,uncertain,0.5517868531588672,0.23145886761563972,1.3512717244379036,0.097,0.903,uncertain,no supported adjustment
primary,1.5,phi4,Network design tool for DC solutions,phi4__Network design tool for DC solutions,1.807934957671986,0.20129092259166437,24.025332251557217,0.69325,0.30675,uncertain,0.2555099879068947,0.04684395189895956,1.755119923232434,0.08025,0.91975,uncertain,no supported adjustment
primary,1.5,phi4,Protection DC system design tool,phi4__Protection DC system design tool,1.8578350481592831,0.2106335278438635,22.99852386944241,0.70525,0.29475,uncertain,0.08004897933735602,0.01916769752245214,0.32117185731422354,2.5e-4,0.99975,lower under Anchor,low-arm-only adjustment
primary,1.5,phi4,Semiconductor-based circuit breaker,phi4__Semiconductor-based circuit breaker,1.416592322301316,0.11955093424602434,21.506981797006993,0.60775,0.39225,uncertain,1.3813052639742076,0.12169921675715124,22.68357372491924,0.595875,0.404125,uncertain,no supported adjustment
primary,1.5,phi4,Smart and sustainable DC cables,phi4__Smart and sustainable DC cables,0.18021159145294924,0.04071350389892728,0.9574390627070184,0.02175,0.97825,lower under Anchor,0.12205800329092688,0.02916228083507923,0.5720603914270506,0.004,0.996,lower under Anchor,directionally inconsistent
