prior_name,effect_prior_sd,base_model,dc_solution,base_solution,high_OR_median,high_OR_l95,high_OR_u95,high_probability_OR_gt_1,high_probability_OR_lt_1,high_conclusion,low_OR_median,low_OR_l95,low_OR_u95,low_probability_OR_gt_1,low_probability_OR_lt_1,low_conclusion,anchoring_pattern
regularizing,0.75,gemma3,DC connectors,gemma3__DC connectors,1.635817631237151,0.5951040347967158,4.111303363547725,0.834375,0.165625,uncertain,3.475246755657011,1.4065325407984368,7.996017845140985,0.996125,0.003875,higher under Anchor,directionally inconsistent
primary,1.5,gemma3,DC connectors,gemma3__DC connectors,3.9200107340817727,0.958910662956734,13.520661529014651,0.972125,0.027875,uncertain,9.773188495556616,3.1624175477783094,29.90345614769827,0.999875,1.25e-4,higher under Anchor,directionally inconsistent
weak,2.5,gemma3,DC connectors,gemma3__DC connectors,7.591429575317118,1.6329622592724296,35.10941156804769,0.99425,0.00575,higher under Anchor,18.955430841521615,5.401110704779923,79.87091656514089,1,0,higher under Anchor,directionally inconsistent
regularizing,0.75,gemma3,DC measurement device,gemma3__DC measurement device,3.4736859233828703,1.657895773046402,7.563318717221103,0.99975,2.5e-4,higher under Anchor,2.6915891343748495,1.3256951029012616,5.619224575814448,0.997375,0.002625,higher under Anchor,directionally inconsistent
primary,1.5,gemma3,DC measurement device,gemma3__DC measurement device,4.947206111771128,2.2098580680213167,12.034877130346397,1,0,higher under Anchor,3.6093811156934192,1.6542475327530828,8.280237951871204,0.99975,2.5e-4,higher under Anchor,directionally inconsistent
weak,2.5,gemma3,DC measurement device,gemma3__DC measurement device,5.547636641526344,2.3200125815957637,14.798927638399611,1,0,higher under Anchor,3.953475861342072,1.739051448738849,9.555194261453844,0.99925,7.5e-4,higher under Anchor,directionally inconsistent
regularizing,0.75,gemma3,DC solution design tool,gemma3__DC solution design tool,1.0862384914824306,0.25931476394799474,4.657164013837588,0.548375,0.451625,uncertain,1.0951075746617729,0.2717655458154602,4.6275804772147975,0.55325,0.44675,uncertain,no supported adjustment
primary,1.5,gemma3,DC solution design tool,gemma3__DC solution design tool,1.390313444216221,0.11764269030688644,22.44690952722501,0.59725,0.40275,uncertain,1.4241859667732104,0.13079033231556245,20.891246794845493,0.609625,0.390375,uncertain,no supported adjustment
weak,2.5,gemma3,DC solution design tool,gemma3__DC solution design tool,2.3469885385536062,0.08187115765569784,192.01858576678543,0.665625,0.334375,uncertain,2.4787138694975295,0.08333702490043204,203.20261993936884,0.676625,0.323375,uncertain,no supported adjustment
regularizing,0.75,gemma3,DC-DC converter,gemma3__DC-DC converter,0.5761902065518245,0.15784237418290026,1.8763166265273556,0.1795,0.8205,uncertain,0.5719706841934148,0.16206936679304637,1.8488510890539571,0.178875,0.821125,uncertain,no supported adjustment
primary,1.5,gemma3,DC-DC converter,gemma3__DC-DC converter,0.40764808202831615,0.03586386825084153,2.890630828376344,0.202,0.798,uncertain,0.4009007161858398,0.03371448864793551,2.914922727737073,0.20225,0.79775,uncertain,no supported adjustment
weak,2.5,gemma3,DC-DC converter,gemma3__DC-DC converter,0.24298324911078467,0.00394271489334144,4.696202138390717,0.204875,0.795125,uncertain,0.24412956221063625,0.00447823459871648,4.130645683441983,0.200125,0.799875,uncertain,no supported adjustment
regularizing,0.75,gemma3,LVAC-LVDC interlink converter,gemma3__LVAC-LVDC interlink converter,0.9187030941270232,0.2120312869640411,3.8349527253122737,0.457625,0.542375,uncertain,0.9137315659120396,0.2215234807044159,3.674993093037685,0.451625,0.548375,uncertain,no supported adjustment
primary,1.5,gemma3,LVAC-LVDC interlink converter,gemma3__LVAC-LVDC interlink converter,0.7230000508328223,0.04772137654688689,8.051871489178131,0.400125,0.599875,uncertain,0.7089753452006307,0.04650485383580206,7.94726996155954,0.4005,0.5995,uncertain,no supported adjustment
weak,2.5,gemma3,LVAC-LVDC interlink converter,gemma3__LVAC-LVDC interlink converter,0.4148484668672375,0.00535231952898359,11.097021115327609,0.322125,0.677875,uncertain,0.3928468036771649,0.00503899054687407,12.00560932038395,0.315,0.685,uncertain,no supported adjustment
regularizing,0.75,gemma3,Network design tool for DC solutions,gemma3__Network design tool for DC solutions,0.39186448316123024,0.19580042546433343,0.7987197543007791,0.00575,0.99425,lower under Anchor,0.10058513137471758,0.04402373834136038,0.21541423601689683,0,1,lower under Anchor,directionally inconsistent
primary,1.5,gemma3,Network design tool for DC solutions,gemma3__Network design tool for DC solutions,0.29023047733092394,0.13127439454132042,0.6353692702833799,8.75e-4,0.999125,lower under Anchor,0.04191864226473264,0.01247966728678255,0.11733775860268846,0,1,lower under Anchor,directionally inconsistent
weak,2.5,gemma3,Network design tool for DC solutions,gemma3__Network design tool for DC solutions,0.259611278525883,0.1157737162616818,0.5853243276701704,5e-4,0.9995,lower under Anchor,0.02820916941285712,0.00566042289885104,0.09193769917982658,0,1,lower under Anchor,directionally inconsistent
regularizing,0.75,gemma3,Protection DC system design tool,gemma3__Protection DC system design tool,1.2208545256970629,0.3271696493369025,4.668212237786255,0.614,0.386,uncertain,1.2111788998844255,0.3205341925239778,4.781719655438773,0.602375,0.397625,uncertain,no supported adjustment
primary,1.5,gemma3,Protection DC system design tool,gemma3__Protection DC system design tool,1.6731346351854763,0.1818086974599092,23.19098402472763,0.65775,0.34225,uncertain,1.6798448125445815,0.17666261233433034,24.53259752867579,0.664875,0.335125,uncertain,no supported adjustment
weak,2.5,gemma3,Protection DC system design tool,gemma3__Protection DC system design tool,2.7517092340543536,0.11389887000618668,242.31978229466037,0.7055,0.2945,uncertain,2.914515767523703,0.1254042132292359,220.9755999833692,0.720375,0.279625,uncertain,no supported adjustment
regularizing,0.75,gemma3,Semiconductor-based circuit breaker,gemma3__Semiconductor-based circuit breaker,1.0989370446066666,0.2635539279017242,4.828840576778657,0.5535,0.4465,uncertain,1.104772293202309,0.27250731727018557,4.52244188080342,0.553375,0.446625,uncertain,no supported adjustment
primary,1.5,gemma3,Semiconductor-based circuit breaker,gemma3__Semiconductor-based circuit breaker,1.4108832290434281,0.13280956950476694,21.11291800717116,0.596,0.404,uncertain,1.4259123003002852,0.12191828373781698,22.381685844484693,0.603125,0.396875,uncertain,no supported adjustment
