prior_name,effect_prior_sd,base_model,dc_solution,base_solution,anchor_type,comparison,response_pattern,context_probability_median,context_probability_l95,context_probability_u95,anchor_probability_median,anchor_probability_l95,anchor_probability_u95,difference_median,difference_l95,difference_u95,posterior_probability_difference_gt_0,posterior_probability_difference_lt_0,conclusion,direction
regularizing,0.75,gemma3,DC connectors,gemma3__DC connectors,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.06218301508597973,0.036424527864657455,0.09871285824144023,0.034092313002993924,0.00953673107346557,0.09762642484139408,-0.02702666327829223,-0.06585317121638562,0.03115270336482136,0.13825,0.86175,uncertain,below 0
primary,1.5,gemma3,DC connectors,gemma3__DC connectors,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.02926416492162498,0.012328560980449061,0.058926074188951766,0.01029171017378494,8.554805934967852e-4,0.0670671698778894,-0.016554639613158895,-0.04796632177600276,0.0347367535548041,0.159875,0.840125,uncertain,below 0
weak,2.5,gemma3,DC connectors,gemma3__DC connectors,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.016749508005841518,0.0050281463459080295,0.0423706468675885,0.0037120358084085092,5.468242930681266e-5,0.05226071028659405,-0.01082524503971899,-0.036303292288298185,0.033726081132361745,0.174375,0.825625,uncertain,below 0
regularizing,0.75,gemma3,DC connectors,gemma3__DC connectors,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.06218301508597973,0.036424527864657455,0.09871285824144023,0.7712935021634446,0.617931269774184,0.8828020272180465,0.7073396139287322,0.5536001318276982,0.817985892049185,1,0,greater upper-end concentration under Anchor,above 0
primary,1.5,gemma3,DC connectors,gemma3__DC connectors,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.02926416492162498,0.012328560980449061,0.058926074188951766,0.9191199775852426,0.7993901288080053,0.9783896991977222,0.8877654764652757,0.7668518142738402,0.9493199515045146,1,0,greater upper-end concentration under Anchor,above 0
weak,2.5,gemma3,DC connectors,gemma3__DC connectors,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.016749508005841518,0.0050281463459080295,0.0423706468675885,0.9685375883022259,0.8757964802452032,0.996820638887249,0.9490823904048447,0.8554863830855048,0.9833052940770053,1,0,greater upper-end concentration under Anchor,above 0
regularizing,0.75,gemma3,DC measurement device,gemma3__DC measurement device,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.4006923232575367,0.32925750026918643,0.47387674096766064,0.1910549364759036,0.09224967271225787,0.3360712430595782,-0.20955556227866368,-0.3274309205295691,-0.0566806182530077,0.00475,0.99525,reduced upper-end concentration under Anchor,below 0
primary,1.5,gemma3,DC measurement device,gemma3__DC measurement device,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.37585778736346065,0.30430177498353594,0.45331195775067445,0.14652186041845938,0.05390124753275942,0.2940063418123787,-0.22807498995423647,-0.34762323742501056,-0.06775230512749762,0.004,0.996,reduced upper-end concentration under Anchor,below 0
weak,2.5,gemma3,DC measurement device,gemma3__DC measurement device,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.36855872236508114,0.2931586079757072,0.4453227492663308,0.13366965249351898,0.04571089687848042,0.27774582894509114,-0.23162782200089144,-0.35107061475321066,-0.07575795487197408,0.002,0.998,reduced upper-end concentration under Anchor,below 0
regularizing,0.75,gemma3,DC measurement device,gemma3__DC measurement device,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.4006923232575367,0.32925750026918643,0.47387674096766064,0.8696860442309037,0.7443924294689771,0.9433144892456511,0.4660750303765999,0.3321075808827813,0.5661799771145576,1,0,greater upper-end concentration under Anchor,above 0
primary,1.5,gemma3,DC measurement device,gemma3__DC measurement device,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.37585778736346065,0.30430177498353594,0.45331195775067445,0.9542353393823448,0.855345301404045,0.9915593690417032,0.573999702191301,0.4558493089321426,0.6594376808443956,1,0,greater upper-end concentration under Anchor,above 0
