base_model,dc_solution,base_solution,anchor_type,comparison,directions,conclusions,direction_stable,conclusion_stable,difference_median_min,difference_median_max,minimum_probability_difference_gt_0,maximum_probability_difference_gt_0
gemma3,DC connectors,gemma3__DC connectors,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,regularizing: below 0; primary: below 0; weak: below 0,regularizing: uncertain; primary: uncertain; weak: uncertain,TRUE,TRUE,-0.02702666327829223,-0.01082524503971899,0.13825,0.174375
gemma3,DC connectors,gemma3__DC connectors,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,regularizing: above 0; primary: above 0; weak: above 0,regularizing: greater upper-end concentration under Anchor; primary: greater upper-end concentration under Anchor; weak: greater upper-end concentration under Anchor,TRUE,TRUE,0.7073396139287322,0.9490823904048447,1,1
gemma3,DC measurement device,gemma3__DC measurement device,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,regularizing: below 0; primary: below 0; weak: below 0,regularizing: reduced upper-end concentration under Anchor; primary: reduced upper-end concentration under Anchor; weak: reduced upper-end concentration under Anchor,TRUE,TRUE,-0.23162782200089144,-0.20955556227866368,0.002,0.00475
gemma3,DC measurement device,gemma3__DC measurement device,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,regularizing: above 0; primary: above 0; weak: above 0,regularizing: greater upper-end concentration under Anchor; primary: greater upper-end concentration under Anchor; weak: greater upper-end concentration under Anchor,TRUE,TRUE,0.4660750303765999,0.6084174919018168,1,1
gemma3,DC solution design tool,gemma3__DC solution design tool,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,regularizing: above 0; primary: above 0; weak: above 0,regularizing: uncertain; primary: uncertain; weak: uncertain,TRUE,TRUE,1.814115098413005e-4,0.0013653074532989917,0.546125,0.677
gemma3,DC solution design tool,gemma3__DC solution design tool,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,regularizing: above 0; primary: above 0; weak: above 0,regularizing: uncertain; primary: uncertain; weak: uncertain,TRUE,TRUE,2.403820709769855e-4,0.0012843139794675995,0.552875,0.67625
gemma3,DC-DC converter,gemma3__DC-DC converter,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,regularizing: above 0; primary: above 0; weak: above 0,regularizing: uncertain; primary: greater upper-end concentration under Anchor; weak: greater upper-end concentration under Anchor,TRUE,FALSE,0.05963097815424612,0.13148352232881166,0.95675,0.999125
gemma3,DC-DC converter,gemma3__DC-DC converter,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,regularizing: above 0; primary: above 0; weak: above 0,regularizing: greater upper-end concentration under Anchor; primary: greater upper-end concentration under Anchor; weak: greater upper-end concentration under Anchor,TRUE,TRUE,0.7089607846029489,0.9516778279764732,1,1
gemma3,LVAC-LVDC interlink converter,gemma3__LVAC-LVDC interlink converter,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,regularizing: below 0; primary: below 0; weak: below 0,regularizing: uncertain; primary: uncertain; weak: uncertain,TRUE,TRUE,-0.0013697309763411325,-1.7351348787142395e-4,0.32,0.459625
gemma3,LVAC-LVDC interlink converter,gemma3__LVAC-LVDC interlink converter,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,regularizing: below 0; primary: below 0; weak: below 0,regularizing: uncertain; primary: uncertain; weak: uncertain,TRUE,TRUE,-0.0013399177819227726,-1.8800663371820736e-4,0.317875,0.45225
gemma3,Network design tool for DC solutions,gemma3__Network design tool for DC solutions,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,regularizing: below 0; primary: below 0; weak: below 0,regularizing: reduced upper-end concentration under Anchor; primary: reduced upper-end concentration under Anchor; weak: reduced upper-end concentration under Anchor,TRUE,TRUE,-0.6054482983418369,-0.45891813484939015,0,0
