row_id,variant_id,source,model,rating,label
he01_s1,he01,human,s1,3,feasible
he02_s1,he02,human,s1,3,feasible
he03_s1,he03,human,s1,3,feasible
he04_s1,he04,human,s1,4,very feasible
he05_s1,he05,human,s1,4,very feasible
he06_s1,he06,human,s1,3,feasible
he07_s1,he07,human,s1,3,feasible
he08_s1,he08,human,s1,3,feasible
he09_s1,he09,human,s1,3,feasible
he10_s1,he10,human,s1,3,feasible
he11_s1,he11,human,s1,3,feasible
he12_s2,he13,human,s2,4,very feasible
he13_s2,he14,human,s2,3,feasible
he14_s2,he15,human,s2,4,very feasible
he15_s2,he16,human,s2,4,very feasible
he18_s2,he17,human,s2,3,feasible
he19_s2,he18,human,s2,3,feasible
he20_s2,he19,human,s2,3,feasible
he21_s2,he20,human,s2,3,feasible
he22_s2,he21,human,s2,3,feasible
he23_s2,he22,human,s2,3,feasible
he24_s2,he23,human,s2,4,very feasible
