dc_solution,n_h,n_l,beta,se,p_tost,w1,w1_lo,w1_hi,clm_equiv,w1_equiv,note
DC-DC converter,12,1200,-0.6978091850999528,0.7772227464613255,0.7293075857356325,0.030000000000000006,0.005416666666666667,0.07416666666666667,Not equivalent / NA,Equivalent,ok
DC connectors,23,1200,0.5560729093640172,0.4597230233725602,0.7655271484386382,0.06147644927536232,0.013985507246376809,0.151563179347826,Not equivalent / NA,Inconclusive,ok
DC measurement device,11,1200,0.9441581984081471,0.6794613523014633,0.8556905464035787,0.05452651515151516,0.006571969696969687,0.11813020833333326,Not equivalent / NA,Inconclusive,ok
DC solution design tool,12,1200,-0.7037711887089708,0.6149618148759466,0.7827624817664812,0.04250000000000002,0.001041666666666663,0.10666666666666667,Not equivalent / NA,Inconclusive,ok
LVAC-LVDC interlink converter,23,1200,-1.7451259822121163,0.5158177699226829,0.9984143178920453,0.12801630434782607,0.09082427536231884,0.15958854166666658,Not equivalent / NA,Inconclusive,ok
Network design tool for DC solutions,11,1200,-0.40546482917199017,0.6796691646227524,0.6057465686683097,0.02181818181818182,7.007575757575768e-4,0.08708333333333333,Not equivalent / NA,Equivalent,ok
Protection DC system design tool,12,1200,-0.8032582968189078,0.6150962908289856,0.82719236998571255,0.048541666666666664,0.0039583333333333415,0.11208333333333333,Not equivalent / NA,Inconclusive,ok
Semiconductor-based circuit breaker,12,1200,NA,NA,NA,0.13645833333333332,0.12895833333333334,0.14416666666666667,Not equivalent / NA,Not equivalent,insufficient categories
Smart and sustainable DC cables,23,1200,0.5047939316003321,0.4396247318588503,0.739128491404234,0.052590579710144934,0.007028985507246371,0.1349284420289855,Not equivalent / NA,Inconclusive,ok
Solid-state circuit breaker,11,1200,-1.255297546570048,0.7925642626138684,0.903592547312182,0.11625,0.049109848484848485,0.18339535984848476,Not equivalent / NA,Inconclusive,ok
Static protection system,12,1200,-4.141072633740503,1.0474310241958888,0.9999081773788031,0.219375,0.17479166666666665,0.24604166666666666,Not equivalent / NA,Not equivalent,ok
