category,prob,condition,base_model,dc_solution
0,2.1178860979993028e-4,ZEROSHOT,gemma3,DC connectors
1,0.0022888935317615304,ZEROSHOT,gemma3,DC connectors
2,0.3487755434208747,ZEROSHOT,gemma3,DC connectors
3,0.6487237744375638,ZEROSHOT,gemma3,DC connectors
0,8.23063280222732e-5,CONTEXT,gemma3,DC connectors
1,8.908831707595694e-4,CONTEXT,gemma3,DC connectors
2,0.17285946237712585,CONTEXT,gemma3,DC connectors
3,0.8261673481240923,CONTEXT,gemma3,DC connectors
0,0.0016739971743688162,ZEROSHOT,llama,DC connectors
1,0.017784074719224892,ZEROSHOT,llama,DC connectors
2,0.791371627176416,ZEROSHOT,llama,DC connectors
3,0.18917030092999032,ZEROSHOT,llama,DC connectors
0,4.300321652024999e-4,CONTEXT,llama,DC connectors
1,0.004635597921680587,CONTEXT,llama,DC connectors
2,0.5186803780281308,CONTEXT,llama,DC connectors
3,0.47625399188498607,CONTEXT,llama,DC connectors
0,5.710307312787195e-4,ZEROSHOT,mistral,DC connectors
1,0.006145301019112214,ZEROSHOT,mistral,DC connectors
2,0.5868623990808056,ZEROSHOT,mistral,DC connectors
3,0.4064212691688035,ZEROSHOT,mistral,DC connectors
0,1.8981464380860764e-4,CONTEXT,mistral,DC connectors
1,0.0020519436166541237,CONTEXT,mistral,DC connectors
2,0.3244916676135636,CONTEXT,mistral,DC connectors
3,0.6732665741259737,CONTEXT,mistral,DC connectors
0,9.32722432660868e-5,ZEROSHOT,phi4,DC connectors
1,0.0010094472695145803,ZEROSHOT,phi4,DC connectors
2,0.1914327473949501,ZEROSHOT,phi4,DC connectors
3,0.8074645330922693,ZEROSHOT,phi4,DC connectors
0,1.995094516066438e-5,CONTEXT,phi4,DC connectors
1,2.161082410102166e-4,CONTEXT,phi4,DC connectors
2,0.0482887635512889,CONTEXT,phi4,DC connectors
3,0.9514751772625403,CONTEXT,phi4,DC connectors
0,2.1178860979993028e-4,ZEROSHOT,gemma3,DC measurement device
1,0.0022888935317615304,ZEROSHOT,gemma3,DC measurement device
2,0.3487755434208747,ZEROSHOT,gemma3,DC measurement device
3,0.6487237744375638,ZEROSHOT,gemma3,DC measurement device
0,8.23063280222732e-5,CONTEXT,gemma3,DC measurement device
1,8.908831707595694e-4,CONTEXT,gemma3,DC measurement device
2,0.17285946237712585,CONTEXT,gemma3,DC measurement device
3,0.8261673481240923,CONTEXT,gemma3,DC measurement device
0,0.0016739971743688162,ZEROSHOT,llama,DC measurement device
1,0.017784074719224892,ZEROSHOT,llama,DC measurement device
2,0.791371627176416,ZEROSHOT,llama,DC measurement device
3,0.18917030092999032,ZEROSHOT,llama,DC measurement device
0,4.300321652024999e-4,CONTEXT,llama,DC measurement device
1,0.004635597921680587,CONTEXT,llama,DC measurement device
2,0.5186803780281308,CONTEXT,llama,DC measurement device
3,0.47625399188498607,CONTEXT,llama,DC measurement device
0,5.710307312787195e-4,ZEROSHOT,mistral,DC measurement device
1,0.006145301019112214,ZEROSHOT,mistral,DC measurement device
2,0.5868623990808056,ZEROSHOT,mistral,DC measurement device
3,0.4064212691688035,ZEROSHOT,mistral,DC measurement device
0,1.8981464380860764e-4,CONTEXT,mistral,DC measurement device
1,0.0020519436166541237,CONTEXT,mistral,DC measurement device
2,0.3244916676135636,CONTEXT,mistral,DC measurement device
3,0.6732665741259737,CONTEXT,mistral,DC measurement device
0,9.32722432660868e-5,ZEROSHOT,phi4,DC measurement device
1,0.0010094472695145803,ZEROSHOT,phi4,DC measurement device
2,0.1914327473949501,ZEROSHOT,phi4,DC measurement device
3,0.8074645330922693,ZEROSHOT,phi4,DC measurement device
0,1.995094516066438e-5,CONTEXT,phi4,DC measurement device
1,2.161082410102166e-4,CONTEXT,phi4,DC measurement device
2,0.0482887635512889,CONTEXT,phi4,DC measurement device
3,0.9514751772625403,CONTEXT,phi4,DC measurement device
0,2.1178860979993028e-4,ZEROSHOT,gemma3,DC solution design tool
1,0.0022888935317615304,ZEROSHOT,gemma3,DC solution design tool
2,0.3487755434208747,ZEROSHOT,gemma3,DC solution design tool
3,0.6487237744375638,ZEROSHOT,gemma3,DC solution design tool
0,8.23063280222732e-5,CONTEXT,gemma3,DC solution design tool
1,8.908831707595694e-4,CONTEXT,gemma3,DC solution design tool
2,0.17285946237712585,CONTEXT,gemma3,DC solution design tool
3,0.8261673481240923,CONTEXT,gemma3,DC solution design tool
0,0.0016739971743688162,ZEROSHOT,llama,DC solution design tool
1,0.017784074719224892,ZEROSHOT,llama,DC solution design tool
2,0.791371627176416,ZEROSHOT,llama,DC solution design tool
3,0.18917030092999032,ZEROSHOT,llama,DC solution design tool
0,4.300321652024999e-4,CONTEXT,llama,DC solution design tool
1,0.004635597921680587,CONTEXT,llama,DC solution design tool
2,0.5186803780281308,CONTEXT,llama,DC solution design tool
3,0.47625399188498607,CONTEXT,llama,DC solution design tool
0,5.710307312787195e-4,ZEROSHOT,mistral,DC solution design tool
1,0.006145301019112214,ZEROSHOT,mistral,DC solution design tool
2,0.5868623990808056,ZEROSHOT,mistral,DC solution design tool
3,0.4064212691688035,ZEROSHOT,mistral,DC solution design tool
0,1.8981464380860764e-4,CONTEXT,mistral,DC solution design tool
1,0.0020519436166541237,CONTEXT,mistral,DC solution design tool
2,0.3244916676135636,CONTEXT,mistral,DC solution design tool
3,0.6732665741259737,CONTEXT,mistral,DC solution design tool
0,9.32722432660868e-5,ZEROSHOT,phi4,DC solution design tool
1,0.0010094472695145803,ZEROSHOT,phi4,DC solution design tool
2,0.1914327473949501,ZEROSHOT,phi4,DC solution design tool
3,0.8074645330922693,ZEROSHOT,phi4,DC solution design tool
0,1.995094516066438e-5,CONTEXT,phi4,DC solution design tool
