dc_solution,median_zeroshot,median_context,median_delta,n_pairs,prop_improved,prop_not improved,prop_same,prop_not_improved
DC connectors,4.0,3.0,0.0,1200,0.1,0.36333333333333334,0.5366666666666666,0.0
DC measurement device,3.0,4.0,0.0,1200,0.16916666666666666,0.10083333333333333,0.73,0.0
DC solution design tool,3.0,4.0,0.0,1200,0.3925,0.020833333333333332,0.5866666666666667,0.0
DC-DC converter,4.0,4.0,0.0,1200,0.0925,0.1775,0.73,0.0
LVAC-LVDC interlink converter,3.0,3.0,0.0,1200,0.2125,0.25666666666666665,0.5308333333333334,0.0
Network design tool for DC solutions,4.0,4.0,0.0,1200,0.24583333333333332,0.058333333333333334,0.6958333333333333,0.0
Protection DC system design tool,3.0,4.0,0.0,1200,0.4,0.04416666666666667,0.5558333333333333,0.0
Semiconductor-based circuit breaker,3.0,4.0,0.0,1200,0.455,0.0,0.545,0.0
Smart and sustainable DC cables,4.0,4.0,0.0,1200,0.21,0.14833333333333334,0.6416666666666667,0.0
Solid-state circuit breaker,4.0,4.0,0.0,1200,0.43,0.0025,0.5675,0.0
Static protection system,3.0,4.0,1.0,1200,0.7808333333333334,0.0025,0.21666666666666667,0.0
