base_family,arm,barrier_id,mean_pct,sd_rate,n_iter,ci95_pct
phi4,context,1,20,0,50,0
phi4,context,2,6.266666666666667,0.032043054935734706,50,0.8881881682516504
phi4,context,3,4.3999999999999995,0.031901208046560436,50,0.8842563730804169
phi4,context,4,19.933333333333334,0.00471404520791032,50,0.13066666666666674
phi4,context,5,2.4,0.02431837206629277,50,0.6740708831833307
phi4,context,6,11.733333333333333,0.037640138753084765,50,1.0433314163986647
phi4,context,7,0.2,0.007996597916069841,50,0.22165438562470777
phi4,context,8,11.533333333333333,0.041079536811789906,50,1.1386666666666667
phi4,context,9,1.3333333333333333,0.017817416127494958,50,0.49387357806539023
phi4,context,10,19.53333333333333,0.013485525960482192,50,0.37379970869734813
phi4,context,11,2.666666666666667,0.03011693009684171,50,0.8347987115999215
phi4,word,1,20,0,10,0
phi4,word,2,3.3333333333333335,0.03142696805273545,10,1.947863660399817
phi4,word,3,1,0.016101529717988266,10,0.9979831513459384
phi4,word,4,20,0,10,0
phi4,word,5,3,0.02459549291242073,10,1.5244444444444445
phi4,word,6,10.666666666666666,0.03442651863295482,10,2.133777731491124
phi4,word,7,1,0.016101529717988266,10,0.9979831513459384
phi4,word,8,17.333333333333336,0.026293687924887187,10,1.6296996617948725
phi4,word,9,2,0.023306863292670035,10,1.444574353132574
phi4,word,10,20,0,10,0
phi4,word,11,1.6666666666666667,0.023570226039551584,10,1.4608977452998626
phi4,example,1,20,0,10,0
phi4,example,2,11,0.035311663515712674,10,2.1886395797107716
phi4,example,3,8,0.023306863292670038,10,1.4445743531325743
phi4,example,4,20,0,10,0
phi4,example,5,2.6666666666666665,0.021081851067789193,10,1.3066666666666664
phi4,example,6,10.333333333333334,0.04567734398020992,10,2.831111111111111
phi4,example,7,0,0,10,0
phi4,example,8,8.333333333333334,0.023570226039551587,10,1.4608977452998628
phi4,example,9,1.3333333333333333,0.01721325931647741,10,1.066888865745562
phi4,example,10,16.666666666666664,0.022222222222222227,10,1.377347603095561
phi4,example,11,1.6666666666666667,0.017568209223157664,10,1.088888888888889
phi4,low-numeric,1,20,0,10,0
phi4,low-numeric,2,10,0.03142696805273545,10,1.947863660399817
phi4,low-numeric,3,0.6666666666666666,0.01405456737852613,10,0.871111111111111
phi4,low-numeric,4,20,0,10,0
phi4,low-numeric,5,5,0.023570226039551587,10,1.4608977452998628
phi4,low-numeric,6,12.333333333333334,0.041722185234485745,10,2.585967832288257
phi4,low-numeric,7,0,0,10,0
phi4,low-numeric,8,9.666666666666666,0.04567734398020992,10,2.831111111111111
phi4,low-numeric,9,1.3333333333333333,0.01721325931647741,10,1.066888865745562
phi4,low-numeric,10,19.333333333333332,0.014054567378526138,10,0.8711111111111115
phi4,low-numeric,11,1.6666666666666667,0.017568209223157664,10,1.088888888888889
phi4,high-numeric,1,20,0,10,0
phi4,high-numeric,2,7.666666666666666,0.035311663515712674,10,2.1886395797107716
phi4,high-numeric,3,2,0.023306863292670035,10,1.444574353132574
phi4,high-numeric,4,20,0,10,0
phi4,high-numeric,5,4.666666666666667,0.03912625969257558,10,2.425070700254854
phi4,high-numeric,6,11.333333333333332,0.03583225665910466,10,2.2209062770315238
phi4,high-numeric,7,0.6666666666666666,0.01405456737852613,10,0.871111111111111
phi4,high-numeric,8,10.666666666666666,0.04097575314352394,10,2.539703491977064
phi4,high-numeric,9,1.6666666666666667,0.023570226039551584,10,1.4608977452998626
phi4,high-numeric,10,19.666666666666668,0.010540925533894605,10,0.6533333333333338
phi4,high-numeric,11,1.6666666666666667,0.017568209223157664,10,1.088888888888889
llama,context,1,17.866666666666667,0.024980718187817153,50,0.6924301809970127
llama,context,2,13.333333333333334,0.03688555567816587,50,1.02241544067631
llama,context,3,16.266666666666666,0.03204305493573471,50,0.8881881682516506
llama,context,4,18.133333333333333,0.0234834819160723,50,0.6509289089020741
llama,context,5,13.4,0.037790447388621896,50,1.0474977592126655
llama,context,6,7.333333333333333,0.040963453652583935,50,1.1354490056556676
llama,context,7,6.133333333333333,0.0364899886869867,50,1.0114508830827569
llama,context,8,2.3333333333333335,0.025421614885788837,50,0.7046512139586033
llama,context,9,2.6,0.02633294583371141,50,0.7299120190513069
llama,context,10,1.2,0.021038782889880498,50,0.5831653091343635
llama,context,11,1.4000000000000001,0.021391502328777335,50,0.592942193172694
llama,word,1,18.333333333333336,0.02357022603955159,10,1.4608977452998628
llama,word,2,16,0.03063121944908938,10,1.8985426509643821
llama,word,3,19.333333333333332,0.014054567378526138,10,0.8711111111111115
llama,word,4,15,0.04230985058813282,10,2.622391708270322
llama,word,5,8,0.04216370213557839,10,2.6133333333333333
llama,word,6,6,0.030631219449089385,10,1.8985426509643821
llama,word,7,2.3333333333333335,0.027442420078285484,10,1.70089881830856
llama,word,8,1.6666666666666667,0.017568209223157664,10,1.088888888888889
llama,word,9,0.3333333333333333,0.010540925533894597,10,0.6533333333333332
llama,word,10,7.666666666666666,0.04458311699497529,10,2.7632902199201177
llama,word,11,5.333333333333334,0.03220305943597653,10,1.9959663026918768
llama,example,1,15.333333333333332,0.017213259316477405,10,1.0668888657455617
llama,example,2,9.666666666666666,0.02459549291242073,10,1.5244444444444445
llama,example,3,16.666666666666664,0.03142696805273545,10,1.947863660399817
llama,example,4,18,0.05018484351393874,10,3.1104888266542194
llama,example,5,5.333333333333333,0.05488484015657097,10,3.40179763661712
llama,example,6,6.333333333333334,0.02918650119236377,10,1.8089980857021584
llama,example,7,10.666666666666666,0.04661372658534006,10,2.8891487062651477
llama,example,8,4,0.03442651863295482,10,2.133777731491124
llama,example,9,2,0.023306863292670035,10,1.444574353132574
llama,example,10,6.333333333333332,0.04288946459026396,10,2.6583165563153393
