base_model,scenario,estimate,SE,OR,CI_low,CI_high,z,p
gemma3-12b,ANCHOR_WORD - CONTEXT,1.0389687075610986e-14,0.6171640712271022,1.0000000000000104,0.298304178572808,3.3522829106329395,1.683456241215283e-14,0.9999999999999866
gemma3-12b,ANCHOR_EXAMPLE - CONTEXT,9.041720781689561e-15,0.6171640712271019,1.000000000000009,0.29830417857280767,3.352282910632934,1.465043284796535e-14,0.9999999999999883
gemma3-12b,ANCHOR_NUM_LOW - CONTEXT,1.0869751376604792e-14,0.6171640712271033,1.0000000000000109,0.29830417857280744,3.3522829106329484,1.7612417642836107e-14,0.9999999999999859
gemma3-12b,ANCHOR_NUM_HIGH - CONTEXT,9.492433955263807e-15,0.6171640712271032,1.0000000000000095,0.2983041785728071,3.3522829106329435,1.5380730016233875e-14,0.9999999999999877
llama-pro,ANCHOR_WORD - CONTEXT,1.316020471820948,0.3164988342887837,3.728553928740027,2.005077586693213,6.933454591375761,4.15805787967032,3.2096471045078884e-5
llama-pro,ANCHOR_EXAMPLE - CONTEXT,1.0451527285157693,0.3335250047914345,2.8438328248522717,1.4791146792963237,5.467720149701142,3.1336562881375025,0.0017264295205698704
llama-pro,ANCHOR_NUM_LOW - CONTEXT,0.8514052531480244,0.34035545451063126,2.3429369592053066,1.20238677710022,4.565380873572819,2.501517874517948,0.012366219983534581
llama-pro,ANCHOR_NUM_HIGH - CONTEXT,1.4152949588636303,0.31629515661979024,4.117700839229686,2.2152304791779955,7.654038873501107,4.474602058370808,7.655375435035825e-6
mistral,ANCHOR_WORD - CONTEXT,0.306994672059093,0.6094717104503731,1.359333725602924,0.41165490887897804,4.488682480657008,0.5037061881547172,0.6144678591924241
mistral,ANCHOR_EXAMPLE - CONTEXT,-9.087383610431764e-17,0.6171640712270965,0.9999999999999999,0.2983041785728081,3.352282910632868,-1.472442099936809e-16,0.9999999999999999
mistral,ANCHOR_NUM_LOW - CONTEXT,1.0815489919165886e-16,0.6171640712270966,1,0.2983041785728081,3.352282910632868,1.7524497007192327e-16,0.9999999999999999
mistral,ANCHOR_NUM_HIGH - CONTEXT,-2.2373717136911117e-16,0.6171640712270965,0.9999999999999998,0.29830417857280805,3.3522829106328675,-3.625246215714704e-16,0.9999999999999997
phi4,ANCHOR_WORD - CONTEXT,9.863076342420187e-17,0.6171640712270965,1,0.2983041785728081,3.352282910632868,1.598128731442452e-16,0.9999999999999999
phi4,ANCHOR_EXAMPLE - CONTEXT,-3.3851772218860174e-16,0.6171640712270965,0.9999999999999997,0.298304178572808,3.3522829106328667,-5.485052321913894e-16,0.9999999999999996
phi4,ANCHOR_NUM_LOW - CONTEXT,-3.3810931743344224e-16,0.6171640712270966,0.9999999999999997,0.298304178572808,3.3522829106328667,-5.478434879742519e-16,0.9999999999999996
phi4,ANCHOR_NUM_HIGH - CONTEXT,-1.482505726562405e-16,0.6171640712270966,0.9999999999999999,0.29830417857280805,3.3522829106328675,-2.4021257809366067e-16,0.9999999999999998
