base_model,scenario,p_ge3
gemma3-12b,CONTEXT,0.9730177624760952
gemma3-12b,ANCHOR_WORD,0.9730177624760954
gemma3-12b,ANCHOR_EXAMPLE,0.9730177624760954
gemma3-12b,ANCHOR_NUM_LOW,0.9730177624760955
gemma3-12b,ANCHOR_NUM_HIGH,0.9730177624760954
llama-pro,CONTEXT,0.9955459810590964
llama-pro,ANCHOR_WORD,0.9988015235537511
llama-pro,ANCHOR_EXAMPLE,0.9984292611923488
llama-pro,ANCHOR_NUM_LOW,0.9980940933812827
llama-pro,ANCHOR_NUM_HIGH,0.9989146636874557
mistral,CONTEXT,0.9730177624760954
mistral,ANCHOR_WORD,0.9800077979641214
mistral,ANCHOR_EXAMPLE,0.9730177624760954
mistral,ANCHOR_NUM_LOW,0.9730177624760954
mistral,ANCHOR_NUM_HIGH,0.9730177624760954
phi4,CONTEXT,0.9730177624760955
phi4,ANCHOR_WORD,0.9730177624760955
phi4,ANCHOR_EXAMPLE,0.9730177624760954
phi4,ANCHOR_NUM_LOW,0.9730177624760954
phi4,ANCHOR_NUM_HIGH,0.9730177624760954
