source,base_model,model,variant_id,iteration,condition,bias_type,anchor_level,rating,label,scenario,rating_ord,id_key
HUMAN,human,human,s1,0,NEU,NA,NA,3,feasible,NEU,3,H_s1
HUMAN,human,human,s1,0,NEU,NA,NA,3,feasible,NEU,3,H_s1
HUMAN,human,human,s1,0,NEU,NA,NA,3,feasible,NEU,3,H_s1
HUMAN,human,human,s1,0,NEU,NA,NA,4,very feasible,NEU,4,H_s1
HUMAN,human,human,s1,0,NEU,NA,NA,4,very feasible,NEU,4,H_s1
HUMAN,human,human,s1,0,NEU,NA,NA,3,feasible,NEU,3,H_s1
HUMAN,human,human,s1,0,NEU,NA,NA,3,feasible,NEU,3,H_s1
HUMAN,human,human,s1,0,NEU,NA,NA,3,feasible,NEU,3,H_s1
HUMAN,human,human,s1,0,NEU,NA,NA,3,feasible,NEU,3,H_s1
HUMAN,human,human,s1,0,NEU,NA,NA,3,feasible,NEU,3,H_s1
HUMAN,human,human,s1,0,NEU,NA,NA,3,feasible,NEU,3,H_s1
HUMAN,human,human,s2,0,NEU,NA,NA,4,very feasible,NEU,4,H_s2
HUMAN,human,human,s2,0,NEU,NA,NA,3,feasible,NEU,3,H_s2
HUMAN,human,human,s2,0,NEU,NA,NA,4,very feasible,NEU,4,H_s2
HUMAN,human,human,s2,0,NEU,NA,NA,4,very feasible,NEU,4,H_s2
HUMAN,human,human,s2,0,NEU,NA,NA,3,feasible,NEU,3,H_s2
HUMAN,human,human,s2,0,NEU,NA,NA,3,feasible,NEU,3,H_s2
HUMAN,human,human,s2,0,NEU,NA,NA,3,feasible,NEU,3,H_s2
HUMAN,human,human,s2,0,NEU,NA,NA,3,feasible,NEU,3,H_s2
HUMAN,human,human,s2,0,NEU,NA,NA,3,feasible,NEU,3,H_s2
HUMAN,human,human,s2,0,NEU,NA,NA,3,feasible,NEU,3,H_s2
HUMAN,human,human,s2,0,NEU,NA,NA,4,very feasible,NEU,4,H_s2
LLM,phi4,generalist,phi4_generalist,0,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_generalist
LLM,phi4,generalist2,phi4_generalist2,0,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_generalist2
LLM,phi4,normative,phi4_normative,0,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_normative
LLM,phi4,normative2,phi4_normative2,0,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_normative2
LLM,phi4,subject_matter,phi4_subject_matter,0,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_subject_matter
LLM,phi4,subject_matter2,phi4_subject_matter2,0,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_subject_matter2
LLM,phi4,generalist,phi4_generalist,1,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_generalist
LLM,phi4,generalist2,phi4_generalist2,1,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_generalist2
LLM,phi4,normative,phi4_normative,1,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_normative
LLM,phi4,normative2,phi4_normative2,1,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_normative2
LLM,phi4,subject_matter,phi4_subject_matter,1,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_subject_matter
LLM,phi4,subject_matter2,phi4_subject_matter2,1,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_subject_matter2
LLM,phi4,generalist,phi4_generalist,2,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_generalist
LLM,phi4,generalist2,phi4_generalist2,2,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_generalist2
LLM,phi4,normative,phi4_normative,2,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_normative
LLM,phi4,normative2,phi4_normative2,2,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_normative2
LLM,phi4,subject_matter,phi4_subject_matter,2,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_subject_matter
LLM,phi4,subject_matter2,phi4_subject_matter2,2,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_subject_matter2
LLM,phi4,generalist,phi4_generalist,3,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_generalist
LLM,phi4,generalist2,phi4_generalist2,3,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_generalist2
LLM,phi4,normative,phi4_normative,3,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_normative
LLM,phi4,normative2,phi4_normative2,3,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_normative2
LLM,phi4,subject_matter,phi4_subject_matter,3,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_subject_matter
LLM,phi4,subject_matter2,phi4_subject_matter2,3,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_subject_matter2
LLM,phi4,generalist,phi4_generalist,4,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_generalist
LLM,phi4,generalist2,phi4_generalist2,4,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_generalist2
LLM,phi4,normative,phi4_normative,4,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_normative
LLM,phi4,normative2,phi4_normative2,4,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_normative2
LLM,phi4,subject_matter,phi4_subject_matter,4,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_subject_matter
LLM,phi4,subject_matter2,phi4_subject_matter2,4,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_subject_matter2
LLM,phi4,generalist,phi4_generalist,5,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_generalist
LLM,phi4,generalist2,phi4_generalist2,5,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_generalist2
LLM,phi4,normative,phi4_normative,5,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_normative
LLM,phi4,normative2,phi4_normative2,5,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_normative2
LLM,phi4,subject_matter,phi4_subject_matter,5,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_subject_matter
LLM,phi4,subject_matter2,phi4_subject_matter2,5,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_subject_matter2
LLM,phi4,generalist,phi4_generalist,6,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_generalist
LLM,phi4,generalist2,phi4_generalist2,6,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_generalist2
LLM,phi4,normative,phi4_normative,6,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_normative
LLM,phi4,normative2,phi4_normative2,6,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_normative2
LLM,phi4,subject_matter,phi4_subject_matter,6,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_subject_matter
LLM,phi4,subject_matter2,phi4_subject_matter2,6,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_subject_matter2
LLM,phi4,generalist,phi4_generalist,7,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_generalist
LLM,phi4,generalist2,phi4_generalist2,7,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_generalist2
LLM,phi4,normative,phi4_normative,7,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_normative
LLM,phi4,normative2,phi4_normative2,7,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_normative2
LLM,phi4,subject_matter,phi4_subject_matter,7,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_subject_matter
LLM,phi4,subject_matter2,phi4_subject_matter2,7,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_subject_matter2
LLM,phi4,generalist,phi4_generalist,8,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_generalist
LLM,phi4,generalist2,phi4_generalist2,8,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_generalist2
LLM,phi4,normative,phi4_normative,8,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_normative
LLM,phi4,normative2,phi4_normative2,8,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_normative2
LLM,phi4,subject_matter,phi4_subject_matter,8,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_subject_matter
LLM,phi4,subject_matter2,phi4_subject_matter2,8,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_subject_matter2
LLM,phi4,generalist,phi4_generalist,9,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_generalist
LLM,phi4,generalist2,phi4_generalist2,9,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_generalist2
LLM,phi4,normative,phi4_normative,9,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_normative
LLM,phi4,normative2,phi4_normative2,9,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_normative2
LLM,phi4,subject_matter,phi4_subject_matter,9,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_subject_matter
LLM,phi4,subject_matter2,phi4_subject_matter2,9,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_subject_matter2
LLM,phi4,generalist,phi4_generalist,10,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_generalist
LLM,phi4,generalist2,phi4_generalist2,10,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_generalist2
LLM,phi4,normative,phi4_normative,10,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_normative
LLM,phi4,normative2,phi4_normative2,10,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_normative2
LLM,phi4,subject_matter,phi4_subject_matter,10,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_subject_matter
LLM,phi4,subject_matter2,phi4_subject_matter2,10,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_subject_matter2
LLM,phi4,generalist,phi4_generalist,11,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_generalist
LLM,phi4,generalist2,phi4_generalist2,11,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_generalist2
LLM,phi4,normative,phi4_normative,11,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_normative
LLM,phi4,normative2,phi4_normative2,11,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_normative2
LLM,phi4,subject_matter,phi4_subject_matter,11,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_subject_matter
LLM,phi4,subject_matter2,phi4_subject_matter2,11,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_subject_matter2
LLM,phi4,generalist,phi4_generalist,12,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_generalist
LLM,phi4,generalist2,phi4_generalist2,12,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_generalist2
LLM,phi4,normative,phi4_normative,12,NEU,NA,NA,3,Feasible,NEU,3,L_phi4_normative
