base_model,scenario,n,n_levels,levels
phi4,NEU,300,1,3
phi4,BIAS_WORD,60,1,3
phi4,BIAS_EXAMPLE,60,1,3
phi4,BIAS_NUM_LOW,60,1,3
phi4,BIAS_NUM_HIGH,60,1,3
llama-pro,NEU,300,4,"1,2,3,4"
llama-pro,BIAS_WORD,60,3,"2,3,4"
llama-pro,BIAS_EXAMPLE,60,4,"1,2,3,4"
llama-pro,BIAS_NUM_LOW,60,3,"2,3,4"
llama-pro,BIAS_NUM_HIGH,60,3,"2,3,4"
mistral,NEU,300,1,3
mistral,BIAS_WORD,60,2,"3,4"
mistral,BIAS_EXAMPLE,60,1,3
mistral,BIAS_NUM_LOW,60,1,3
mistral,BIAS_NUM_HIGH,60,1,3
gemma3-12b,NEU,300,1,3
gemma3-12b,BIAS_WORD,60,1,3
gemma3-12b,BIAS_EXAMPLE,60,1,3
gemma3-12b,BIAS_NUM_LOW,60,1,3
gemma3-12b,BIAS_NUM_HIGH,60,1,3
