condition5,base_model,dc_solution,prob_ge_top,top_k
CONTEXT,gemma3,DC connectors,0.9472769979243477,4
ANCHOR_WORD,gemma3,DC connectors,0.9686690369477146,4
ANCHOR_EXAMPLE,gemma3,DC connectors,0.9490283342154195,4
ANCHOR_LOW_NUM,gemma3,DC connectors,0.9153533553706795,4
ANCHOR_HIGH_NUM,gemma3,DC connectors,0.9033065622597399,4
CONTEXT,llama,DC connectors,0.44680414591967565,4
ANCHOR_WORD,llama,DC connectors,0.5294164644834594,4
ANCHOR_EXAMPLE,llama,DC connectors,0.3718203349733955,4
ANCHOR_LOW_NUM,llama,DC connectors,0.49255755260318357,4
ANCHOR_HIGH_NUM,llama,DC connectors,0.5999664757645995,4
CONTEXT,mistral,DC connectors,0.7972463779054639,4
ANCHOR_WORD,mistral,DC connectors,0.5902671570785154,4
ANCHOR_EXAMPLE,mistral,DC connectors,0.745138034869486,4
ANCHOR_LOW_NUM,mistral,DC connectors,0.31703360064709707,4
ANCHOR_HIGH_NUM,mistral,DC connectors,0.6964587131262256,4
CONTEXT,phi4,DC connectors,0.992485909557278,4
ANCHOR_WORD,phi4,DC connectors,0.9992916603191423,4
ANCHOR_EXAMPLE,phi4,DC connectors,0.9929161303384064,4
ANCHOR_LOW_NUM,phi4,DC connectors,0.979918262612028,4
ANCHOR_HIGH_NUM,phi4,DC connectors,0.9943045633227955,4
CONTEXT,gemma3,DC measurement device,0.9472769979243477,4
ANCHOR_WORD,gemma3,DC measurement device,0.9686690369477146,4
ANCHOR_EXAMPLE,gemma3,DC measurement device,0.9490283342154195,4
ANCHOR_LOW_NUM,gemma3,DC measurement device,0.9153533553706795,4
ANCHOR_HIGH_NUM,gemma3,DC measurement device,0.9033065622597399,4
CONTEXT,llama,DC measurement device,0.44680414591967565,4
ANCHOR_WORD,llama,DC measurement device,0.5294164644834594,4
ANCHOR_EXAMPLE,llama,DC measurement device,0.3718203349733955,4
ANCHOR_LOW_NUM,llama,DC measurement device,0.49255755260318357,4
ANCHOR_HIGH_NUM,llama,DC measurement device,0.5999664757645995,4
CONTEXT,mistral,DC measurement device,0.7972463779054639,4
ANCHOR_WORD,mistral,DC measurement device,0.5902671570785154,4
ANCHOR_EXAMPLE,mistral,DC measurement device,0.745138034869486,4
ANCHOR_LOW_NUM,mistral,DC measurement device,0.31703360064709707,4
ANCHOR_HIGH_NUM,mistral,DC measurement device,0.6964587131262256,4
CONTEXT,phi4,DC measurement device,0.992485909557278,4
ANCHOR_WORD,phi4,DC measurement device,0.9992916603191423,4
ANCHOR_EXAMPLE,phi4,DC measurement device,0.9929161303384064,4
ANCHOR_LOW_NUM,phi4,DC measurement device,0.979918262612028,4
ANCHOR_HIGH_NUM,phi4,DC measurement device,0.9943045633227955,4
CONTEXT,gemma3,DC solution design tool,0.9472769979243477,4
ANCHOR_WORD,gemma3,DC solution design tool,0.9686690369477146,4
ANCHOR_EXAMPLE,gemma3,DC solution design tool,0.9490283342154195,4
ANCHOR_LOW_NUM,gemma3,DC solution design tool,0.9153533553706795,4
ANCHOR_HIGH_NUM,gemma3,DC solution design tool,0.9033065622597399,4
CONTEXT,llama,DC solution design tool,0.44680414591967565,4
ANCHOR_WORD,llama,DC solution design tool,0.5294164644834594,4
ANCHOR_EXAMPLE,llama,DC solution design tool,0.3718203349733955,4
ANCHOR_LOW_NUM,llama,DC solution design tool,0.49255755260318357,4
ANCHOR_HIGH_NUM,llama,DC solution design tool,0.5999664757645995,4
CONTEXT,mistral,DC solution design tool,0.7972463779054639,4
ANCHOR_WORD,mistral,DC solution design tool,0.5902671570785154,4
ANCHOR_EXAMPLE,mistral,DC solution design tool,0.745138034869486,4
ANCHOR_LOW_NUM,mistral,DC solution design tool,0.31703360064709707,4
ANCHOR_HIGH_NUM,mistral,DC solution design tool,0.6964587131262256,4
CONTEXT,phi4,DC solution design tool,0.992485909557278,4
ANCHOR_WORD,phi4,DC solution design tool,0.9992916603191423,4
ANCHOR_EXAMPLE,phi4,DC solution design tool,0.9929161303384064,4
ANCHOR_LOW_NUM,phi4,DC solution design tool,0.979918262612028,4
ANCHOR_HIGH_NUM,phi4,DC solution design tool,0.9943045633227955,4
CONTEXT,gemma3,DC-DC converter,0.9472769979243477,4
ANCHOR_WORD,gemma3,DC-DC converter,0.9686690369477146,4
ANCHOR_EXAMPLE,gemma3,DC-DC converter,0.9490283342154195,4
ANCHOR_LOW_NUM,gemma3,DC-DC converter,0.9153533553706795,4
ANCHOR_HIGH_NUM,gemma3,DC-DC converter,0.9033065622597399,4
CONTEXT,llama,DC-DC converter,0.44680414591967565,4
ANCHOR_WORD,llama,DC-DC converter,0.5294164644834594,4
ANCHOR_EXAMPLE,llama,DC-DC converter,0.3718203349733955,4
ANCHOR_LOW_NUM,llama,DC-DC converter,0.49255755260318357,4
ANCHOR_HIGH_NUM,llama,DC-DC converter,0.5999664757645995,4
CONTEXT,mistral,DC-DC converter,0.7972463779054639,4
ANCHOR_WORD,mistral,DC-DC converter,0.5902671570785154,4
ANCHOR_EXAMPLE,mistral,DC-DC converter,0.745138034869486,4
ANCHOR_LOW_NUM,mistral,DC-DC converter,0.31703360064709707,4
ANCHOR_HIGH_NUM,mistral,DC-DC converter,0.6964587131262256,4
CONTEXT,phi4,DC-DC converter,0.992485909557278,4
ANCHOR_WORD,phi4,DC-DC converter,0.9992916603191423,4
ANCHOR_EXAMPLE,phi4,DC-DC converter,0.9929161303384064,4
ANCHOR_LOW_NUM,phi4,DC-DC converter,0.979918262612028,4
ANCHOR_HIGH_NUM,phi4,DC-DC converter,0.9943045633227955,4
CONTEXT,gemma3,LVAC-LVDC interlink converter,0.9472769979243477,4
ANCHOR_WORD,gemma3,LVAC-LVDC interlink converter,0.9686690369477146,4
ANCHOR_EXAMPLE,gemma3,LVAC-LVDC interlink converter,0.9490283342154195,4
ANCHOR_LOW_NUM,gemma3,LVAC-LVDC interlink converter,0.9153533553706795,4
ANCHOR_HIGH_NUM,gemma3,LVAC-LVDC interlink converter,0.9033065622597399,4
CONTEXT,llama,LVAC-LVDC interlink converter,0.44680414591967565,4
ANCHOR_WORD,llama,LVAC-LVDC interlink converter,0.5294164644834594,4
ANCHOR_EXAMPLE,llama,LVAC-LVDC interlink converter,0.3718203349733955,4
ANCHOR_LOW_NUM,llama,LVAC-LVDC interlink converter,0.49255755260318357,4
ANCHOR_HIGH_NUM,llama,LVAC-LVDC interlink converter,0.5999664757645995,4
CONTEXT,mistral,LVAC-LVDC interlink converter,0.7972463779054639,4
ANCHOR_WORD,mistral,LVAC-LVDC interlink converter,0.5902671570785154,4
ANCHOR_EXAMPLE,mistral,LVAC-LVDC interlink converter,0.745138034869486,4
ANCHOR_LOW_NUM,mistral,LVAC-LVDC interlink converter,0.31703360064709707,4
ANCHOR_HIGH_NUM,mistral,LVAC-LVDC interlink converter,0.6964587131262256,4
CONTEXT,phi4,LVAC-LVDC interlink converter,0.992485909557278,4
ANCHOR_WORD,phi4,LVAC-LVDC interlink converter,0.9992916603191423,4
ANCHOR_EXAMPLE,phi4,LVAC-LVDC interlink converter,0.9929161303384064,4
ANCHOR_LOW_NUM,phi4,LVAC-LVDC interlink converter,0.979918262612028,4
ANCHOR_HIGH_NUM,phi4,LVAC-LVDC interlink converter,0.9943045633227955,4
CONTEXT,gemma3,Network design tool for DC solutions,0.9472769979243477,4
ANCHOR_WORD,gemma3,Network design tool for DC solutions,0.9686690369477146,4
ANCHOR_EXAMPLE,gemma3,Network design tool for DC solutions,0.9490283342154195,4
ANCHOR_LOW_NUM,gemma3,Network design tool for DC solutions,0.9153533553706795,4
ANCHOR_HIGH_NUM,gemma3,Network design tool for DC solutions,0.9033065622597399,4
CONTEXT,llama,Network design tool for DC solutions,0.44680414591967565,4
ANCHOR_WORD,llama,Network design tool for DC solutions,0.5294164644834594,4
ANCHOR_EXAMPLE,llama,Network design tool for DC solutions,0.3718203349733955,4
ANCHOR_LOW_NUM,llama,Network design tool for DC solutions,0.49255755260318357,4
ANCHOR_HIGH_NUM,llama,Network design tool for DC solutions,0.5999664757645995,4
CONTEXT,mistral,Network design tool for DC solutions,0.7972463779054639,4
ANCHOR_WORD,mistral,Network design tool for DC solutions,0.5902671570785154,4
ANCHOR_EXAMPLE,mistral,Network design tool for DC solutions,0.745138034869486,4
ANCHOR_LOW_NUM,mistral,Network design tool for DC solutions,0.31703360064709707,4
ANCHOR_HIGH_NUM,mistral,Network design tool for DC solutions,0.6964587131262256,4
CONTEXT,phi4,Network design tool for DC solutions,0.992485909557278,4
ANCHOR_WORD,phi4,Network design tool for DC solutions,0.9992916603191423,4
ANCHOR_EXAMPLE,phi4,Network design tool for DC solutions,0.9929161303384064,4
ANCHOR_LOW_NUM,phi4,Network design tool for DC solutions,0.979918262612028,4
ANCHOR_HIGH_NUM,phi4,Network design tool for DC solutions,0.9943045633227955,4
CONTEXT,gemma3,Protection DC system design tool,0.9472769979243477,4
ANCHOR_WORD,gemma3,Protection DC system design tool,0.9686690369477146,4
ANCHOR_EXAMPLE,gemma3,Protection DC system design tool,0.9490283342154195,4
ANCHOR_LOW_NUM,gemma3,Protection DC system design tool,0.9153533553706795,4
ANCHOR_HIGH_NUM,gemma3,Protection DC system design tool,0.9033065622597399,4
CONTEXT,llama,Protection DC system design tool,0.44680414591967565,4
ANCHOR_WORD,llama,Protection DC system design tool,0.5294164644834594,4
ANCHOR_EXAMPLE,llama,Protection DC system design tool,0.3718203349733955,4
ANCHOR_LOW_NUM,llama,Protection DC system design tool,0.49255755260318357,4
ANCHOR_HIGH_NUM,llama,Protection DC system design tool,0.5999664757645995,4
CONTEXT,mistral,Protection DC system design tool,0.7972463779054639,4
ANCHOR_WORD,mistral,Protection DC system design tool,0.5902671570785154,4
ANCHOR_EXAMPLE,mistral,Protection DC system design tool,0.745138034869486,4
ANCHOR_LOW_NUM,mistral,Protection DC system design tool,0.31703360064709707,4
ANCHOR_HIGH_NUM,mistral,Protection DC system design tool,0.6964587131262256,4
CONTEXT,phi4,Protection DC system design tool,0.992485909557278,4
