row_id,base_model,variant_id,model,barrier_id,official_label,model_label,label_status,barrier_id_status,is_hallucinated,iteration,timestamp,truncated
generalist_llama_51_b1,llama,generalist_llama,generalist,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,51,20250808_103537,no
generalist_llama_51_b2,llama,generalist_llama,generalist,2,reduced reliability in DC devices,reduced reliability in DC devices,matched,correct_id,False,51,20250808_103537,no
generalist_llama_51_b3,llama,generalist_llama,generalist,3,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,wrong_id_matchable,False,51,20250808_103537,no
generalist_llama_51_b4,llama,generalist_llama,generalist,4,lack of pilot projects,lack of pilot projects,matched,wrong_id_matchable,False,51,20250808_103537,no
generalist_llama_51_b5,llama,generalist_llama,generalist,5,public perception of DC and readiness to 'champion' installations from DC projects,public perception of DC and readiness to 'champion' installations from DC projects,matched,wrong_id_matchable,False,51,20250808_103537,no
generalist2_llama_51_b1,llama,generalist2_llama,generalist2,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,51,20250808_103537,no
generalist2_llama_51_b2,llama,generalist2_llama,generalist2,2,reduced reliability in DC devices,reduced reliability in DC devices,matched,correct_id,False,51,20250808_103537,no
generalist2_llama_51_b3,llama,generalist2_llama,generalist2,3,lack of use-cases in which DC is advantageous,lack of use-cases in which DC is advantageous,matched,correct_id,False,51,20250808_103537,no
generalist2_llama_51_b4,llama,generalist2_llama,generalist2,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,False,51,20250808_103537,no
generalist2_llama_51_b5,llama,generalist2_llama,generalist2,5,lack of pilot projects,lack of pilot projects,matched,correct_id,False,51,20250808_103537,no
normative_llama_51_b1,llama,normative_llama,normative,1,,"Power losses, quality, and safety issues: The performance of DC systems is highly dependent on managing power losses and maintaining electrical quality to ensure safety and reliability in applications.",hallucinated_label,outside_range_id,True,51,20250808_103537,no
normative_llama_51_b2,llama,normative_llama,normative,2,,"Reduced reliability in DC devices: DC systems may be more prone to equipment failures or reduced reliability compared to traditional AC systems, which could impact the effectiveness of demonstration projects.",hallucinated_label,outside_range_id,True,51,20250808_103537,no
normative_llama_51_b3,llama,normative_llama,normative,3,,Lack of use-cases in which DC is advantageous: The benefits and advantages of DC technologies in different industries need to be further explored and demonstrated to increase acceptance and adoption.,hallucinated_label,outside_range_id,True,51,20250808_103537,no
normative_llama_51_b4,llama,normative_llama,normative,4,,"Uncertain utility interaction (net metering, utility ownership, and agreed standards): Clear policies and regulations regarding net metering, utility ownership, and agreed standards are essential for the successful integration of DC technologies into energy systems.",hallucinated_label,outside_range_id,True,51,20250808_103537,no
normative_llama_51_b5,llama,normative_llama,normative,5,,Lack of pilot projects: Demonstration projects and pilot applications are crucial in validating the feasibility and advantages of DC solutions and promoting wider adoption in different sectors.,hallucinated_label,outside_range_id,True,51,20250808_103537,no
normative2_llama_51_b1,llama,normative2_llama,normative2,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,51,20250808_103537,no
normative2_llama_51_b2,llama,normative2_llama,normative2,2,reduced reliability in DC devices,reduced reliability in DC devices,matched,correct_id,False,51,20250808_103537,no
normative2_llama_51_b3,llama,normative2_llama,normative2,3,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertainty in utility interaction (net metering, utility ownership, and agreed standards)",matched,wrong_id_matchable,False,51,20250808_103537,no
normative2_llama_51_b4,llama,normative2_llama,normative2,4,lack of pilot projects,lack of pilot projects,matched,wrong_id_matchable,False,51,20250808_103537,no
normative2_llama_51_b5,llama,normative2_llama,normative2,5,public perception of DC and readiness to 'champion' installations from DC projects,public perception of DC and readiness to 'champion' installations from DC projects,matched,wrong_id_matchable,False,51,20250808_103537,no
subject_matter_llama_51_b1,llama,subject_matter_llama,subject_matter,1,"power losses, quality and safety issues","Power losses, quality, and safety issues (Barrier 1)",matched,correct_id,False,51,20250808_103537,no
